path,bytes,sha256
.gitignore,60,4c1b72c3e44cc19aec1ce8eb0476bf1e36b95ddd117e3705834cccb20c4e160d
analysis/core/00_audit_source_schema.R,6347,b2f489ba2827c673d06dd83f3a682cb70beb3016e79c2e91005f25c1fa6a746b
analysis/core/01_build_gate0_panel.R,40080,db87785dbfaec525f4c8a7162ad91ef29c2451c6a8cdca27413cb55994e30af9
analysis/core/02_audit_elsa_wave11.R,5989,ea586114d1d518f31ecd3579f9757ff160617f14dd1cc0bd35850faf46a3198e
analysis/core/02c_audit_charls2020_schema.R,3693,a27a83377365f1f0f00eac48df8152ab231b97f1a4577a214aa8871e8798e7ab
analysis/core/02d_audit_charls2020_adapter.R,12042,1836418810a90f71318b817ee225c6fa494ea17523496277c628384547f07893
analysis/core/03_build_formal_risksets.R,10854,547720fd8340f0be0f3be3d93a54e95eb0abb977afd753feac660006fe7b2f28
analysis/core/04_fit_formal_models_and_decompose.R,19114,6458fa9b5defadf57a81b6df124adb2bf9c23eeffea97121945bf07057653cbb
analysis/core/05_life_tables_shapley_from_checkpoint.R,11771,b25df3b58ea151178ce73459367b0e1a89d28711dca4685b00ff78a8277e0379
analysis/core/06_bootstrap_cohort.R,16754,fc372600dc81af06ae79dbaee583e29a2e0288cc75ccc507092edc662bfc388a
analysis/core/06c_merge_hrs_final_shards.R,2378,05d92a98ba4693242e2ae67855b1b574d870337fcb3bc7439001ae831503f5cb
analysis/core/07_summarize_bootstrap.R,11297,e4b04ea3947cb08e4fd6ea0c16854207e5ce232ea47afdfcbc843b1bf999ac36
analysis/core/08_sensitivity_point_models.R,18968,c16af8cb9d3999f33d3aa768d11fed692d8f9bf89a670eaa976e893e86826800
analysis/core/08b_build_threshold_sensitivity_risksets.R,10938,26e66d7960e580030954c382da8999990e80b9de7f52d8bc4931555dbaa06727
analysis/core/08d_diagnose_permissive_partial_stop.R,3646,9c9427372838d27d8174351dc73f1adacb5529f511e4466dd371ecb8cc985388
analysis/core/09_build_submission_tables_and_figure.R,21777,76a532c98eac31d5f21ef1941181e1aef40a05951daf0d47f726e04274f27cf8
analysis/core/11_write_final_reports.R,23552,5fab21037bf0073e26105804d9f7a8212d4889d01b5dfa8a144928f4e35f0024
analysis/core/13_exploratory_upgrade_support.R,10037,f96d5829e56b2a13994bc4efedb11f8a67494b666fe793c6b255afebab8f1a01
analysis/core/14_exploratory_upgrade_point_models.R,28812,d0a8d5b0b0dccacadf2fa2dad1edf5d0118857f080836d98610d388213acaf05
analysis/core/14a_recheck_age_interaction_stop.R,3044,41cc236cb184ce21ffed749373ec5ecba1b30c6d1508a0309b1dc2274b132e9c
analysis/core/15_bootstrap_exploratory_upgrade.R,25531,c99c3e04601f5bd99c5478fe72f6c6b5036057107d8321232ac531678d5c8e2e
analysis/core/16_summarize_exploratory_bootstrap.R,22477,33d535d52d292c23e96ed077735465ddd9cf13dc48f319c82a4b222b1d5527a8
analysis/core/18_audit_recovery_exhaustion_support.R,2645,77ef3f6384a302a1aa8b01f920b6260ac16607241345b060200966898abe8816
analysis/core/19_summarize_exploratory_sensitivities.R,6244,86613245cd32671504076ee7adc304d75c66bb55738bbfb2a603107613dc2a9d
analysis/core/20_write_exploratory_interim_reports.R,11596,3ff4f86dffd1269b4e8226fd369f0f56e6da634174341cce78bd50b5b4216a58
analysis/core/21_build_exploratory_figure.R,22136,b4a8b403cad666d355fdd854cf43783d306815862a478af74205ac623d39faba
analysis/core/22_write_exploratory_final_report_and_tables.R,10634,714f1fdacb5710d3984b804366b60979744bee5784fe17f16eade3902cbe6dfd
analysis/core/23_build_manuscript_table1.R,5534,296e81b6b571878e9a168f3ba178d2b00009ea86c089437cf313aaddde38bf79
analysis/revision_v1_1/38_build_revision_panel_and_risksets.R,18878,d5d20cccabaf8076302a10f020e40143f4bd317a186cda838b556fb89ebf77d8
analysis/revision_v1_1/39_fit_revision_point_models.R,28179,8ff23eee9187c0952a59d960a685bf7f95c6bc578b1a2a2150b474fccd0e878b
analysis/revision_v1_1/40_bootstrap_low_education_household.R,27237,015084b1a6fe4f711e797dd76d6748103b2a85ebeb25c06d859c493f169e27c8
analysis/revision_v1_1/41_build_threshold_revision_risksets.R,9925,3fb34aa79a7fdd5df69b7520b641926f88ba504f82b7253dc5baf8f057d5adb5
analysis/revision_v1_1/42_summarize_lowedu_household_bootstrap.R,14738,16528a0a30895307ee0cc6c9e52f97d34a9cf9c123d1f57c2f6b4f65d17404e4
analysis/revision_v1_1/43_confirmed_state_transition_sensitivity.R,9304,c5f619f7ead631ca8900b93394532b75711d39a1bb70e4840b79fca69d80b10a
analysis/revision_v1_1/44_build_flow_missingness_and_support_tables.R,9401,35e739888b8b73ec8bc43be1936b8214f086070b8ae1fca1a438700aaab5b370
analysis/revision_v1_1/45_continuous_time_panel_msm_sensitivity.R,13600,320d77adb7c59c50dae2cc33eb6bea4d1cf9aa082c919da0e189782358138815
analysis/revision_v1_1/46_enriched_covariate_transition_sensitivity.R,16393,ae3c0309ba4e3cb6e22f9c6bc102fbe7e6479bd49892528e0106851d21fa33bf
analysis/revision_v1_1/47_nondeath_observation_ipcw_sensitivity.R,10983,722745d776e40fb3aaf7d7f1dfe1c15e626cd2df86acfd41507a51fcdc0124a4
analysis/revision_v1_1/48_internal_survival_calibration.R,9335,1275aff66bf883e0221670313c9d0d69a3517d1302f0a096553d673f5b5e55d0
analysis/revision_v1_1/49_build_focused_baseline_and_support.R,7345,8ba78c06dd4d742c8c76507206762c88a92e3ea04608d88836fc63a6e2e5fe28
analysis/revision_v1_1/51_build_functional_state_dictionary.R,7074,4f05b6f41a5af2048503d3cf8b0216397a4338f77721b20caf6074815760be0a
analysis/revision_v1_1/52_summarize_stratified_psu_bootstrap.R,4390,7dbb22640a7687a2e74c826594b62e05691cc1fd0d0fc22a052d1e8202f7f215
analysis/revision_v1_1/53_consolidate_revision_evidence.R,10791,68f92ba3ff95a83cda0a0ee8e65bf5d49a5985ef1d85dd027238663dc919435b
analysis/revision_v1_1/54_build_revision_tables.R,15512,29b8abf5bcfeff9948b90eec32c82978b2e4b1f83beb10d56272d34eee62e294
analysis/revision_v1_1/55_generate_manuscript_insertion_blocks.R,12321,8ef6f18f5ae6553f048740ef3708b6885a8ce92b2cb228c339ac654ac30884df
analysis/revision_v1_1/56_build_v1_1_vector_figures.R,39238,2773aada2f845e41f05cf5b0cb33e2eef508c400c6389e4d67f54dc4639ca920
CITATION.cff,805,dab1eaa681e14a4bfd35c6d566a1b567c30b58012d1a52a989759dfc4b85ef3d
contracts/BOOTSTRAP_EXECUTION_SHARD_NOTE_v1.2.1_HRS.md,971,67f0db31ec62d6b526f801e1a3a94e9968521a0951388efb989762654fec5467
contracts/BOOTSTRAP_IMPLEMENTATION_FREEZE_v1.2.md,2498,6bdf5a443f139dcb96be3ef1dc2dc3eeaabe0062f93947637c3049dcfe71ba66
contracts/CHARLS2020_ADAPTER_FREEZE_v1.0.2.md,4017,d0747aada6d6ad3f711d7975b0c92bc95fcf510d57a89aef34d76f5595ee8585
contracts/DATA_SOURCE_MANIFEST_v1.0.csv,1637,728c9651f2e8bf02e80806fccae6808ef993f7138e58f17e15220194c3cc462a
contracts/EXPLORATORY_BOOTSTRAP_SHARD_NOTE_v2.3.md,2353,c4f28373bd1afc9240f1fcfc5679a5c92485bfbcb33b51a4595f1d4322a341b1
contracts/EXPLORATORY_UPGRADE_ADDENDUM_v2.1.md,4412,1ea839396322d2040d5cfc4acde25b69b61f623613fb33f52d11fed7d4d4c9e7
contracts/EXPLORATORY_UPGRADE_ADDENDUM_v2.2.md,3090,8787b6d7301b2e61708e5f8f1dfd89a43246cb361254ad9e5a088e1dda324a23
contracts/EXPLORATORY_UPGRADE_ADDENDUM_v2.4.md,2238,c02e41fa09ba1ec55eaf74305d26ae338593c7da193ad8238ac858653924b37d
contracts/EXPLORATORY_UPGRADE_CHARTER_v2.0.md,5568,434745b2784055d6cdc438faadde94bea47753e5ecbf9597a68a7d56361f1cbb
contracts/FORMAL_MODEL_AMENDMENT_v1.1_SPARSE_ORIGIN_POOLING.md,1825,a4c540198e9c5c871b36329e914ddb9ff5fa47809622f7d60e5d367847d24a69
contracts/FORMAL_MODEL_IMPLEMENTATION_FREEZE_v1.0.md,5243,9ed475fd5ca8bf944d5fdda81623e9abb97dcc20972e12d5097608ad3826f10e
contracts/FROZEN_ANALYSIS_CONTRACT_v1.0.md,14609,9a35ebba11b9a791a6ecfdf7c107b91fc3aa6eff2c1b29057418543aecd38075
contracts/IMPLEMENTATION_CLARIFICATION_v1.0.5_PANDEMIC_SENSITIVITIES.md,1638,b90d1f46d3a249185a4ce3a40005fb1eaf39e157897bffcf96d407241e6aece6
contracts/IMPLEMENTATION_CORRECTION_v1.0.3_CHARLS2020_PROXY_SKIP.md,1581,c8e230ed4af6d7cfa858b697a1f978199482ff3ded7f258c17ea43a380142491
contracts/IMPLEMENTATION_CORRECTION_v1.0.4_PANDEMIC_SENSITIVITY_PATH.md,1371,d247785fd7aa644cb48ada403d111edc289ea5c56669a8c2162484bd7f1d7561
contracts/MEASUREMENT_CORRECTION_v1.0.1_ELSA_W11_TOILETING.md,2040,e3c9beffc2b50623e4c3f35da953ca787a99b1a4c8123e52a09c1ffba7e57f47
contracts/REVISION_ANALYSIS_CONTRACT_v1.1.md,6545,6348777a1d2ceb58c047f2248f48e784ccfbaec3a1c00550ed603c96f9d6ddbc
contracts/STATE_TRANSITION_DICTIONARY_v1.0.csv,1774,25dd7c835c5602c2205a52954d69023674d02428d67686621ed98b184a265ad5
contracts/THRESHOLD_SENSITIVITY_STOP_v1.0.6_PERMISSIVE_PARTIAL.md,1183,02654156c8494617b59c5147b1068ac261ccd0aac1aa2221af240c801f5d7e5e
contracts/VARIABLE_MAPPING_v1.0.csv,8294,937e4a215b5ecc72a26a2b698a9df169770bdb5a727f7db6ca17348fdbf65827
environment/project_r_library_manifest.csv,255,fa2d24f8e874a1cc57c279b95c7b284a5da45c22d24c25feef101436f05500d9
environment/sessionInfo_00_project_dependencies.txt,923,47b2756ff3964a2aece8b0706ceb70b9fa5c006a40cd9ddf6f0c3586997d3db5
environment/sessionInfo_38_revision_risksets.txt,945,f4b8a4121647ee5e05f7d160343c6bd925f6e3f8c987c42d8f3d8cafd91546e8
environment/sessionInfo_39_revision_point_models.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_adl_only.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_age100_hazard.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_age110_tail.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_at_least_two.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_common_calendar.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_common_interval.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_entry_age_60_64.txt,698,43642dfa483b02b64fde259858d1125cbff1c6a8871b76181360b87e71377cca
environment/sessionInfo_39_revision_point_models_incident_inception.txt,698,43642dfa483b02b64fde259858d1125cbff1c6a8871b76181360b87e71377cca
environment/sessionInfo_39_revision_point_models_mortality_common_waves.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_piecewise_exponential.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_pre_covid.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_self_report_only.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_two_year_interval.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_unweighted.txt,668,c7c6541d214d1c6a357886ead598a778d95474b0e158235c74b0f2e2c51e7caf
environment/sessionInfo_39_revision_point_models_wealth_pre_difficulty.txt,698,43642dfa483b02b64fde259858d1125cbff1c6a8871b76181360b87e71377cca
environment/sessionInfo_40_adl_only_final_charls.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_adl_only_final_elsa.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_adl_only_final_hrs.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_adl_only_final_mhas.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_adl_only_test_charls.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_at_least_two_final_charls.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_at_least_two_final_elsa.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_at_least_two_final_hrs.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_at_least_two_final_mhas.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_at_least_two_test_charls.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_final_charls.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_final_elsa.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_final_hrs.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_final_mhas.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_test_charls.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_test_elsa.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_test_hrs.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_40_test_mhas.txt,672,48b9c5acf204bcb35d0bc2f3489e2fff7193e690127209ef971e2b319c9557a6
environment/sessionInfo_41_adl_only.txt,662,67e07dc621cdf143f6312bc871b39d08dbc72ba1318d722ee9453aac814d1c50
environment/sessionInfo_41_at_least_two.txt,662,67e07dc621cdf143f6312bc871b39d08dbc72ba1318d722ee9453aac814d1c50
environment/sessionInfo_42_bootstrap_summary.txt,662,67e07dc621cdf143f6312bc871b39d08dbc72ba1318d722ee9453aac814d1c50
environment/sessionInfo_42_bootstrap_summary_primary_education_primary.txt,662,67e07dc621cdf143f6312bc871b39d08dbc72ba1318d722ee9453aac814d1c50
environment/sessionInfo_42_bootstrap_summary_primary_wealth_primary.txt,662,67e07dc621cdf143f6312bc871b39d08dbc72ba1318d722ee9453aac814d1c50
environment/sessionInfo_42_bootstrap_summary_wealth_within_low_education_adl_only.txt,662,67e07dc621cdf143f6312bc871b39d08dbc72ba1318d722ee9453aac814d1c50
environment/sessionInfo_42_bootstrap_summary_wealth_within_low_education_at_least_two.txt,662,67e07dc621cdf143f6312bc871b39d08dbc72ba1318d722ee9453aac814d1c50
environment/sessionInfo_42_bootstrap_summary_wealth_within_low_education_primary.txt,662,67e07dc621cdf143f6312bc871b39d08dbc72ba1318d722ee9453aac814d1c50
environment/sessionInfo_43_confirmed_state.txt,737,b9802ab41ae15aa79b5cefb3da7c9a37626b52fc9dc1a479a1317e1949d67cd4
environment/sessionInfo_44_flow_missingness.txt,662,67e07dc621cdf143f6312bc871b39d08dbc72ba1318d722ee9453aac814d1c50
environment/sessionInfo_45_continuous_time_charls.txt,957,62917bf820729823ef047005ee03f331f822cbd6a5ca5bc60dd0aa650f56d301
environment/sessionInfo_45_continuous_time_elsa.txt,957,62917bf820729823ef047005ee03f331f822cbd6a5ca5bc60dd0aa650f56d301
environment/sessionInfo_45_continuous_time_hrs.txt,957,62917bf820729823ef047005ee03f331f822cbd6a5ca5bc60dd0aa650f56d301
