cohort,series,point,ci_low,ci_high
CHARLS,high_fdfle,13.8305713239148,13.1077342519671,14.6738127355092
ELSA,high_fdfle,18.4726568098181,17.5349344747229,19.6898500524925
HRS,high_fdfle,15.8281364082911,14.8020169665637,16.7362677314516
MHAS,high_fdfle,15.9522001497057,15.0070211959407,17.1009659207532
CHARLS,low_fdfle,11.6533977809079,11.0154633452632,12.2908914887148
ELSA,low_fdfle,11.8384860178403,11.1251772021987,12.4643788012788
HRS,low_fdfle,11.2647352022648,10.7131810356369,11.7529030484422
MHAS,low_fdfle,15.015740359462,14.0870616854128,16.1097933645223
CHARLS,high_difficulty,9.8624050639442,8.88139734850233,10.9545013517783
ELSA,high_difficulty,7.72102501462158,6.63495872015908,9.19382802270445
HRS,high_difficulty,7.31660879276714,6.37777321306973,8.33627604364632
MHAS,high_difficulty,7.71944318584399,6.48411334579591,8.9735054733645
CHARLS,low_difficulty,11.196824734498,10.299547738653,12.1714635989536
ELSA,low_difficulty,9.35251287432367,8.45087514891751,10.3223115684944
HRS,low_difficulty,8.67508898119821,8.18392160278355,9.20782335924363
MHAS,low_difficulty,7.46753069480548,6.36133602280348,8.59691751242411
