cohort,series,row_label,component_order,point,ci_low,ci_high
CHARLS,initial,Initial state,1,-0.489830194139038,-0.626950501387027,-0.38240679620583
CHARLS,onset,Onset,2,-0.518763735980437,-0.883098058228074,-0.190013205842712
CHARLS,recovery,Recovery,3,-0.294670689539387,-0.793464299151475,0.189986936553367
CHARLS,relapse,Relapse,4,-0.671252804828536,-1.16367487907376,-0.118957725171245
CHARLS,post,Post-diff. death,5,-0.138562819667643,-0.431851555235301,0.180315948121945
CHARLS,pre,Pre-diff. death,6,-0.064093298851927,-0.282513237203432,0.169215883216483
ELSA,initial,Initial state,1,-1.38937648279744,-1.66266767797071,-1.08320856008589
ELSA,onset,Onset,2,-1.92035979030856,-2.49883836834692,-1.37026300683093
ELSA,recovery,Recovery,3,-1.08873178916717,-1.69956109417293,-0.601984301069915
ELSA,relapse,Relapse,4,-0.780730166486967,-1.32551285590093,-0.348932513520123
ELSA,post,Post-diff. death,5,-0.712491434921777,-1.13413206333255,-0.380744995824421
ELSA,pre,Pre-diff. death,6,-0.74248112829581,-1.2760115912274,-0.236936758241381
HRS,initial,Initial state,1,-1.18067886930526,-1.4703264193166,-0.893675469508634
HRS,onset,Onset,2,-1.29781612820792,-1.84951621315267,-0.746676059695252
HRS,recovery,Recovery,3,-0.843749179325583,-1.46592495087963,-0.272502616041528
HRS,relapse,Relapse,4,-0.25917380642043,-0.676029702386636,0.151772070279766
HRS,post,Post-diff. death,5,-0.200763204644677,-0.525093049253562,0.086765428627807
HRS,pre,Pre-diff. death,6,-0.781220018122411,-1.11090368112435,-0.354368031729034
MHAS,initial,Initial state,1,-0.0721099625039204,-0.221797654150707,0.0239942900901808
MHAS,onset,Onset,2,-0.534336635791804,-1.39164637559718,0.147157048156081
MHAS,recovery,Recovery,3,0.00294372034789114,-0.522751292486903,0.53130888122584
MHAS,relapse,Relapse,4,0.349993891700807,-0.331407940060211,1.14301814215274
MHAS,post,Post-diff. death,5,-0.021937533626731,-0.413270285847052,0.331330367023172
MHAS,pre,Pre-diff. death,6,-0.661013270369986,-1.22920203756552,-0.0666113826607906
