cohort,series,row_label,point,ci_low,ci_high
CHARLS,broad,Broad (any),-0.965923494367923,-1.69361532821476,-0.227071277755234
CHARLS,adl,ADL only,-0.291974964305658,-0.838716270821577,0.358920051974665
CHARLS,two,At least two,-0.181177419209495,-0.794259735619032,0.452568016237411
ELSA,broad,Broad (any),-1.86946195565414,-2.76533977927872,-1.22102230391519
ELSA,adl,ADL only,-1.24582853732636,-2.16347100318433,-0.582838429982856
ELSA,two,At least two,-1.14942363147227,-2.01097881846431,-0.487937514087027
HRS,broad,Broad (any),-1.10292298574601,-1.91905364466571,-0.456740345733794
HRS,adl,ADL only,-1.56264304099307,-2.18821020834525,-0.854360717274125
HRS,two,At least two,-0.612600102886588,-1.31563611032365,0.0171064498735275
MHAS,broad,Broad (any),0.352937612048698,-0.506711445531341,1.36635881422182
MHAS,adl,ADL only,0.442769639912391,-0.383310553943115,1.37635030033915
MHAS,two,At least two,-0.319539797256998,-0.985059437671188,0.515907025078513
