cohort,concept,n_variables,variables,available
CHARLS,person_id,1,ID,TRUE
CHARLS,in_wave,4,inw1;inw2;inw3;inw4,TRUE
CHARLS,interview_status,8,r1iwstat;r2iwstat;r3iwstat;r4iwstat;s1iwstat;s2iwstat;s3iwstat;s4iwstat,TRUE
CHARLS,interview_time,0,"",FALSE
CHARLS,age,8,r1agey;r2agey;r3agey;r4agey;s1agey;s2agey;s3agey;s4agey,TRUE
CHARLS,sex,1,ragender,TRUE
CHARLS,education,15,radadeducl;raeducl;ramomeducl;s1dadeducl;s1educl;s1momeducl;s2dadeducl;s2educl;s2momeducl;s3dadeducl;s3educl;s3momeducl;s4dadeducl;s4educl;s4momeducl,TRUE
CHARLS,adl_count,4,r1adlfive;r2adlfive;r3adlfive;r4adlfive,TRUE
CHARLS,iadl_count,6,r2iadla;r2iadlza;r3iadla;r3iadlza;r4iadla;r4iadlza,TRUE
CHARLS,adl_item,20,r1batha;r1beda;r1dressa;r1eata;r1toilta;r2batha;r2beda;r2dressa;r2eata;r2toilta;r3batha;r3beda;r3dressa;r3eata;r3toilta;r4batha;r4beda;r4dressa;r4eata;r4toilta,TRUE
CHARLS,iadl_item,19,r1mealsa;r1medsa;r1moneya;r1shopa;r2mealsa;r2medsa;r2moneya;r2phonea;r2shopa;r3mealsa;r3medsa;r3moneya;r3phonea;r3shopa;r4mealsa;r4medsa;r4moneya;r4phonea;r4shopa,TRUE
CHARLS,proxy,0,"",FALSE
CHARLS,respondent_weight,11,r1wtresp;r1wtrespa;r1wtrespb;r2wtresp;r2wtrespa;r2wtrespb;r3wtresp;r3wtrespa;r3wtrespb;r4wtresp;r4wtrespb,TRUE
CHARLS,household_wealth,4,h3atotb;h4atotb;hh1atotb;hh2atotb,TRUE
CHARLS,death,64,h1dchild;h1ddau;h1dson;h2dchild;h2ddau;h2dson;h3dchild;h3ddau;h3dson;h4dchild;h4ddau;h4dson;r1chdeathe;r1dadage;r1decbro;r1decsib;r1decsis;r1momage;r2chdeathe;r2dadage;r2decbro;r2decsib;r2decsis;r2momage;r3chdeathe;r3dadage;r3decbro;r3decsib;r3decsis;r3momage;r4chdeathe;r4dadage;r4decbro;r4decsib;r4decsis;r4momage;radmonth;radyear;s1chdeathe;s1dadage;s1decbro;s1decsib;s1decsis;s1dmonth;s1dyear;s1momage;s2chdeathe;s2dadage;s2decbro;s2decsib;s2decsis;s2momage;s3chdeathe;s3dadage;s3decbro;s3decsib;s3decsis;s3momage;s4chdeathe;s4dadage;s4decbro;s4decsib;s4decsis;s4momage,TRUE
ELSA,person_id,1,idauniq,TRUE
ELSA,in_wave,10,inw1;inw10;inw2;inw3;inw4;inw5;inw6;inw7;inw8;inw9,TRUE
ELSA,interview_status,20,r10iwstat;r1iwstat;r2iwstat;r3iwstat;r4iwstat;r5iwstat;r6iwstat;r7iwstat;r8iwstat;r9iwstat;s10iwstat;s1iwstat;s2iwstat;s3iwstat;s4iwstat;s5iwstat;s6iwstat;s7iwstat;s8iwstat;s9iwstat,TRUE
ELSA,interview_time,88,hh1iwhhf;hh1iwhhm;hh1iwhhy;hh2iwhhf;hh2iwhhm;hh2iwhhy;hh3iwhhf;hh3iwhhm;hh3iwhhy;hh4iwhhf;hh4iwhhm;hh4iwhhy;r10iwf;r10iwm;r10iwy;r1iwf;r1iwm;r1iwy;r2iwf;r2iwm;r2iwnrsm;r2iwnrsy;r2iwy;r3iwf;r3iwm;r3iwy;r4iwf;r4iwm;r4iwnrsm;r4iwnrsy;r4iwy;r5iwf;r5iwm;r5iwy;r6iwf;r6iwm;r6iwnrsm;r6iwnrsy;r6iwy;r7iwf;r7iwm;r7iwy;r8iwf;r8iwm;r8iwnrsm;r8iwnrsy;r8iwy;r9iwf;r9iwm;r9iwy;s10iwf;s10iwm;s10iwy;s1iwf;s1iwm;s1iwy;s2iwf;s2iwm;s2iwnrsm;s2iwnrsy;s2iwy;s3iwf;s3iwm;s3iwy;s4iwf;s4iwm;s4iwnrsm;s4iwnrsy;s4iwy;s5iwf;s5iwm;s5iwy;s6iwf;s6iwm;s6iwnrsm;s6iwnrsy;s6iwy;s7iwf;s7iwm;s7iwy;s8iwf;s8iwm;s8iwnrsm;s8iwnrsy;s8iwy;s9iwf;s9iwm;s9iwy,TRUE
ELSA,age,10,r10agey;r1agey;r2agey;r3agey;r4agey;r5agey;r6agey;r7agey;r8agey;r9agey,TRUE
ELSA,sex,1,ragender,TRUE
ELSA,education,12,raeducl;raedyrs_e;s10edyrs_e;s1edyrs_e;s2edyrs_e;s3edyrs_e;s4edyrs_e;s5edyrs_e;s6edyrs_e;s7edyrs_e;s8edyrs_e;s9edyrs_e,TRUE
ELSA,adl_count,30,r10adla;r10adlfive;r10adlfivea;r1adla;r1adlfive;r1adlfivea;r2adla;r2adlfive;r2adlfivea;r3adla;r3adlfive;r3adlfivea;r4adla;r4adlfive;r4adlfivea;r5adla;r5adlfive;r5adlfivea;r6adla;r6adlfive;r6adlfivea;r7adla;r7adlfive;r7adlfivea;r8adla;r8adlfive;r8adlfivea;r9adla;r9adlfive;r9adlfivea,TRUE
ELSA,iadl_count,40,r10iadla;r10iadlfoura;r10iadlza;r10iadlzaa;r1iadla;r1iadlfoura;r1iadlza;r1iadlzaa;r2iadla;r2iadlfoura;r2iadlza;r2iadlzaa;r3iadla;r3iadlfoura;r3iadlza;r3iadlzaa;r4iadla;r4iadlfoura;r4iadlza;r4iadlzaa;r5iadla;r5iadlfoura;r5iadlza;r5iadlzaa;r6iadla;r6iadlfoura;r6iadlza;r6iadlzaa;r7iadla;r7iadlfoura;r7iadlza;r7iadlzaa;r8iadla;r8iadlfoura;r8iadlza;r8iadlzaa;r9iadla;r9iadlfoura;r9iadlza;r9iadlzaa,TRUE
ELSA,adl_item,60,r10batha;r10beda;r10dressa;r10eata;r10toilta;r10walkra;r1batha;r1beda;r1dressa;r1eata;r1toilta;r1walkra;r2batha;r2beda;r2dressa;r2eata;r2toilta;r2walkra;r3batha;r3beda;r3dressa;r3eata;r3toilta;r3walkra;r4batha;r4beda;r4dressa;r4eata;r4toilta;r4walkra;r5batha;r5beda;r5dressa;r5eata;r5toilta;r5walkra;r6batha;r6beda;r6dressa;r6eata;r6toilta;r6walkra;r7batha;r7beda;r7dressa;r7eata;r7toilta;r7walkra;r8batha;r8beda;r8dressa;r8eata;r8toilta;r8walkra;r9batha;r9beda;r9dressa;r9eata;r9toilta;r9walkra,TRUE
ELSA,iadl_item,50,r10mealsa;r10medsa;r10moneya;r10phonea;r10shopa;r1mealsa;r1medsa;r1moneya;r1phonea;r1shopa;r2mealsa;r2medsa;r2moneya;r2phonea;r2shopa;r3mealsa;r3medsa;r3moneya;r3phonea;r3shopa;r4mealsa;r4medsa;r4moneya;r4phonea;r4shopa;r5mealsa;r5medsa;r5moneya;r5phonea;r5shopa;r6mealsa;r6medsa;r6moneya;r6phonea;r6shopa;r7mealsa;r7medsa;r7moneya;r7phonea;r7shopa;r8mealsa;r8medsa;r8moneya;r8phonea;r8shopa;r9mealsa;r9medsa;r9moneya;r9phonea;r9shopa,TRUE
ELSA,proxy,20,r10proxy;r1proxy;r2proxy;r3proxy;r4proxy;r5proxy;r6proxy;r7proxy;r8proxy;r9proxy;s10proxy;s1proxy;s2proxy;s3proxy;s4proxy;s5proxy;s6proxy;s7proxy;s8proxy;s9proxy,TRUE
ELSA,respondent_weight,19,r10lwtresp;r10wtresp;r1wtresp;r2lwtresp;r2wtresp;r3lwtresp;r3wtresp;r4lwtresp;r4wtresp;r5lwtresp;r5wtresp;r6lwtresp;r6wtresp;r7lwtresp;r7wtresp;r8lwtresp;r8wtresp;r9lwtresp;r9wtresp,TRUE
ELSA,household_wealth,10,h10atotb;h1atotb;h2atotb;h3atotb;h4atotb;h5atotb;h6atotb;h7atotb;h8atotb;h9atotb,TRUE
ELSA,death,40,r10dadage;r10momage;r1dadage;r1momage;r2dadage;r2momage;r3dadage;r3momage;r4dadage;r4momage;r5dadage;r5momage;r6dadage;r6momage;r7dadage;r7momage;r8dadage;r8momage;r9dadage;r9momage;s10dadage;s10momage;s1dadage;s1momage;s2dadage;s2momage;s3dadage;s3momage;s4dadage;s4momage;s5dadage;s5momage;s6dadage;s6momage;s7dadage;s7momage;s8dadage;s8momage;s9dadage;s9momage,TRUE
HRS,person_id,1,hhidpn,TRUE
HRS,in_wave,16,inw1;inw10;inw11;inw12;inw13;inw14;inw15;inw16;inw2;inw3;inw4;inw5;inw6;inw7;inw8;inw9,TRUE
HRS,interview_status,32,r10iwstat;r11iwstat;r12iwstat;r13iwstat;r14iwstat;r15iwstat;r16iwstat;r1iwstat;r2iwstat;r3iwstat;r4iwstat;r5iwstat;r6iwstat;r7iwstat;r8iwstat;r9iwstat;s10iwstat;s11iwstat;s12iwstat;s13iwstat;s14iwstat;s15iwstat;s16iwstat;s1iwstat;s2iwstat;s3iwstat;s4iwstat;s5iwstat;s6iwstat;s7iwstat;s8iwstat;s9iwstat,TRUE
HRS,interview_time,1,rexityr,TRUE
HRS,age,16,r10agey_b;r11agey_b;r12agey_b;r13agey_b;r14agey_b;r15agey_b;r16agey_b;r1agey_b;r2agey_b;r3agey_b;r4agey_b;r5agey_b;r6agey_b;r7agey_b;r8agey_b;r9agey_b,TRUE
HRS,sex,1,ragender,TRUE
HRS,education,18,raeduc;raedyrs;s10edyrs;s11edyrs;s12edyrs;s13edyrs;s14edyrs;s15edyrs;s16edyrs;s1edyrs;s2edyrs;s3edyrs;s4edyrs;s5edyrs;s6edyrs;s7edyrs;s8edyrs;s9edyrs,TRUE
HRS,adl_count,15,r10adl5a;r11adl5a;r12adl5a;r13adl5a;r14adl5a;r15adl5a;r16adl5a;r2adl5a;r3adl5a;r4adl5a;r5adl5a;r6adl5a;r7adl5a;r8adl5a;r9adl5a,TRUE
HRS,iadl_count,15,r10iadl5a;r11iadl5a;r12iadl5a;r13iadl5a;r14iadl5a;r15iadl5a;r16iadl5a;r2iadl5a;r3iadl5a;r4iadl5a;r5iadl5a;r6iadl5a;r7iadl5a;r8iadl5a;r9iadl5a,TRUE
HRS,adl_item,185,r10bath;r10batha;r10bed;r10beda;r10dress;r10dressa;r10eat;r10eata;r10toilt;r10toilta;r10walkr;r10walkra;r11bath;r11batha;r11bed;r11beda;r11dress;r11dressa;r11eat;r11eata;r11toilt;r11toilta;r11walkr;r11walkra;r12bath;r12batha;r12bed;r12beda;r12dress;r12dressa;r12eat;r12eata;r12toilt;r12toilta;r12walkr;r12walkra;r13bath;r13batha;r13bed;r13beda;r13dress;r13dressa;r13eat;r13eata;r13toilt;r13toilta;r13walkr;r13walkra;r14bath;r14batha;r14bed;r14beda;r14dress;r14dressa;r14eat;r14eata;r14toilt;r14toilta;r14walkr;r14walkra;r15bath;r15batha;r15bed;r15beda;r15dress;r15dressa;r15eat;r15eata;r15toilt;r15toilta;r15walkr;r15walkra;r16bath;r16batha;r16bed;r16beda;r16dress;r16dressa;r16eat;r16eata;r16toilt;r16toilta;r16walkr;r16walkra;r1bath;r1bed;r1dress;r1eat;r1walkr;r2bath;r2batha;r2bed;r2beda;r2dress;r2dressa;r2eat;r2eata;r2toilt;r2toilta;r2walkr;r2walkra;r3bath;r3batha;r3bed;r3beda;r3dress;r3dressa;r3eat;r3eata;r3toilt;r3toilta;r3walkr;r3walkra;r4bath;r4batha;r4bed;r4beda;r4dress;r4dressa;r4eat;r4eata;r4toilt;r4toilta;r4walkr;r4walkra;r5bath;r5batha;r5bed;r5beda;r5dress;r5dressa;r5eat;r5eata;r5toilt;r5toilta;r5walkr;r5walkra;r6bath;r6batha;r6bed;r6beda;r6dress;r6dressa;r6eat;r6eata;r6toilt;r6toilta;r6walkr;r6walkra;r7bath;r7batha;r7bed;r7beda;r7dress;r7dressa;r7eat;r7eata;r7toilt;r7toilta;r7walkr;r7walkra;r8bath;r8batha;r8bed;r8beda;r8dress;r8dressa;r8eat;r8eata;r8toilt;r8toilta;r8walkr;r8walkra;r9bath;r9batha;r9bed;r9beda;r9dress;r9dressa;r9eat;r9eata;r9toilt;r9toilta;r9walkr;r9walkra,TRUE
