cohort,origin_wave,destination_wave,scheduled_outcome,n,persons
CHARLS,3,4,observed_function,8081,8081
CHARLS,4,5,observed_function,9495,9495
CHARLS,2,3,observed_function,7028,7028
CHARLS,1,2,observed_function,5950,5950
CHARLS,1,2,recorded_death,330,330
CHARLS,3,4,recorded_death,712,712
CHARLS,1,2,known_non_death_nonresponse_or_missing_function,829,829
CHARLS,2,3,recorded_death,420,420
CHARLS,2,3,known_non_death_nonresponse_or_missing_function,785,785
CHARLS,4,5,recorded_death,531,531
CHARLS,3,4,known_non_death_nonresponse_or_missing_function,744,744
CHARLS,4,5,unknown_vital_or_observation_status,692,692
CHARLS,4,5,known_non_death_nonresponse_or_missing_function,10,10
ELSA,7,8,known_non_death_nonresponse_or_missing_function,1185,1185
ELSA,5,6,known_non_death_nonresponse_or_missing_function,701,701
ELSA,9,10,known_non_death_nonresponse_or_missing_function,2205,2205
ELSA,6,7,known_non_death_nonresponse_or_missing_function,1238,1238
ELSA,4,5,observed_function,6226,6226
ELSA,5,6,observed_function,6557,6557
ELSA,6,7,observed_function,6421,6421
ELSA,7,8,observed_function,6221,6221
ELSA,8,9,observed_function,6009,6009
ELSA,3,4,observed_function,4783,4783
ELSA,4,5,known_non_death_nonresponse_or_missing_function,717,717
ELSA,9,10,observed_function,4341,4341
ELSA,10,11,observed_function,4381,4381
ELSA,10,11,unknown_vital_or_observation_status,1328,1328
ELSA,1,2,observed_function,5401,5401
ELSA,2,3,known_non_death_nonresponse_or_missing_function,928,928
ELSA,1,2,known_non_death_nonresponse_or_missing_function,1281,1281
ELSA,2,3,recorded_death,314,314
ELSA,2,3,observed_function,5001,5001
ELSA,8,9,known_non_death_nonresponse_or_missing_function,1046,1046
ELSA,3,4,known_non_death_nonresponse_or_missing_function,788,788
ELSA,4,5,recorded_death,377,377
ELSA,5,6,recorded_death,270,270
ELSA,3,4,recorded_death,335,335
ELSA,1,2,recorded_death,427,427
ELSA,8,9,recorded_death,45,45
ELSA,10,11,recorded_death,78,78
ELSA,9,10,recorded_death,119,119
ELSA,7,8,recorded_death,1,1
ELSA,10,11,known_non_death_nonresponse_or_missing_function,1,1
HRS,5,6,observed_function,10231,10231
HRS,6,7,observed_function,10506,10506
HRS,7,8,observed_function,10248,10248
HRS,8,9,observed_function,10084,10084
HRS,9,10,observed_function,9854,9854
HRS,10,11,observed_function,10655,10655
HRS,11,12,observed_function,10579,10579
HRS,12,13,observed_function,10080,10080
HRS,13,14,known_non_death_nonresponse_or_missing_function,1990,1990
HRS,4,5,recorded_death,1017,1017
HRS,13,14,observed_function,9414,9414
HRS,14,15,observed_function,8907,8907
HRS,15,16,observed_function,8387,8387
HRS,6,7,known_non_death_nonresponse_or_missing_function,1449,1449
HRS,10,11,recorded_death,825,825
HRS,4,5,observed_function,10317,10317
HRS,12,13,recorded_death,1052,1052
HRS,14,15,known_non_death_nonresponse_or_missing_function,1341,1341
HRS,15,16,known_non_death_nonresponse_or_missing_function,2026,2026
HRS,3,4,observed_function,7948,7948
HRS,8,9,known_non_death_nonresponse_or_missing_function,1159,1159
HRS,13,14,recorded_death,891,891
HRS,12,13,known_non_death_nonresponse_or_missing_function,1445,1445
HRS,5,6,known_non_death_nonresponse_or_missing_function,1388,1388
HRS,7,8,known_non_death_nonresponse_or_missing_function,1250,1250
HRS,9,10,recorded_death,1059,1059
HRS,11,12,known_non_death_nonresponse_or_missing_function,1213,1213
HRS,4,5,known_non_death_nonresponse_or_missing_function,1490,1490
HRS,10,11,known_non_death_nonresponse_or_missing_function,1125,1125
HRS,15,16,recorded_death,766,766
HRS,14,15,recorded_death,857,857
HRS,11,12,recorded_death,978,978
HRS,6,7,recorded_death,961,961
HRS,3,4,known_non_death_nonresponse_or_missing_function,1121,1121
HRS,5,6,recorded_death,1084,1084
HRS,8,9,recorded_death,931,931
HRS,7,8,recorded_death,942,942
HRS,9,10,known_non_death_nonresponse_or_missing_function,1121,1121
HRS,3,4,recorded_death,950,950
HRS,2,3,observed_function,5078,5078
HRS,2,3,recorded_death,715,715
HRS,2,3,known_non_death_nonresponse_or_missing_function,1050,1050
MHAS,4,5,observed_function,6414,6414
MHAS,5,6,observed_function,6263,6263
MHAS,4,5,recorded_death,785,785
MHAS,1,2,observed_function,4577,4577
MHAS,2,3,recorded_death,1926,1926
MHAS,3,4,observed_function,6458,6458
MHAS,2,3,observed_function,3191,3191
MHAS,1,2,known_non_death_nonresponse_or_missing_function,977,977
MHAS,4,5,known_non_death_nonresponse_or_missing_function,1613,1613
MHAS,2,3,known_non_death_nonresponse_or_missing_function,1282,1282
MHAS,5,6,recorded_death,952,952
MHAS,5,6,known_non_death_nonresponse_or_missing_function,1330,1330
MHAS,3,4,recorded_death,733,733
MHAS,1,2,recorded_death,339,339
MHAS,3,4,known_non_death_nonresponse_or_missing_function,1182,1182
