cohort,variable,available,label
CHARLS,ID,TRUE,ID:person identifier/12-char
CHARLS,ragender,TRUE,ragender:r gender
CHARLS,raeducl,TRUE,raeducl:r harmonized education levels
CHARLS,radyear,TRUE,radyear:r death year
CHARLS,radmonth,TRUE,radmonth:r death month
CHARLS,inw1,TRUE,inw1:In wave 1
CHARLS,r1iwstat,TRUE,r1iwstat:w1 r interview status
CHARLS,r1agey,TRUE,r1agey:w1 r age in years
CHARLS,r1dressa,TRUE,r1dressa:w1 r Some Diff-Dressing
CHARLS,r1batha,TRUE,"r1batha:w1 r Some Diff-Bathing, shower"
CHARLS,r1eata,TRUE,r1eata:w1 r Some Diff-Eating
CHARLS,r1beda,TRUE,r1beda:w1 r Some Diff-Get in/out bed
CHARLS,r1toilta,TRUE,r1toilta:w1 r Some Diff-Using the toilet
CHARLS,r1shopa,TRUE,r1shopa:w1 r Some Diff-Shop for grocery
CHARLS,r1mealsa,TRUE,r1mealsa:w1 r Some Diff-Prepare hot meal
CHARLS,r1medsa,TRUE,r1medsa:w1 r Some Diff-Take medications
CHARLS,r1moneya,TRUE,r1moneya:w1 r Some Diff-Managing money
CHARLS,h1atotb,FALSE,
CHARLS,r1wtresp,TRUE,r1wtresp:w1 individual weight without non-response adjustment
CHARLS,inw2,TRUE,inw2:In wave 2
CHARLS,r2iwstat,TRUE,r2iwstat:w2 r interview status
CHARLS,r2agey,TRUE,r2agey:w2 r age in years
CHARLS,r2dressa,TRUE,r2dressa:w2 r Some Diff-Dressing
CHARLS,r2batha,TRUE,"r2batha:w2 r Some Diff-Bathing, shower"
CHARLS,r2eata,TRUE,r2eata:w2 r Some Diff-Eating
CHARLS,r2beda,TRUE,r2beda:w2 r Some Diff-Get in/out bed
CHARLS,r2toilta,TRUE,r2toilta:w2 r Some Diff-Using the toilet
CHARLS,r2shopa,TRUE,r2shopa:w2 r Some Diff-Shop for grocery
CHARLS,r2mealsa,TRUE,r2mealsa:w2 r Some Diff-Prepare hot meal
CHARLS,r2medsa,TRUE,r2medsa:w2 r Some Diff-Take medications
CHARLS,r2moneya,TRUE,r2moneya:w2 r Some Diff-Managing money
CHARLS,h2atotb,FALSE,
CHARLS,r2wtresp,TRUE,r2wtresp:w2 individual weight without non-response adjustment
CHARLS,inw3,TRUE,inw3:In wave 3
CHARLS,r3iwstat,TRUE,r3iwstat:w3 r interview status
CHARLS,r3agey,TRUE,r3agey:w3 r age in years
CHARLS,r3dressa,TRUE,r3dressa:w3 r Some Diff-Dressing
CHARLS,r3batha,TRUE,"r3batha:w3 r Some Diff-Bathing, shower"
CHARLS,r3eata,TRUE,r3eata:w3 r Some Diff-Eating
CHARLS,r3beda,TRUE,r3beda:w3 r Some Diff-Get in/out bed
CHARLS,r3toilta,TRUE,r3toilta:w3 r Some Diff-Using the toilet
CHARLS,r3shopa,TRUE,r3shopa:w3 r Some Diff-Shop for grocery
CHARLS,r3mealsa,TRUE,r3mealsa:w3 r Some Diff-Prepare hot meal
CHARLS,r3medsa,TRUE,r3medsa:w3 r Some Diff-Take medications
CHARLS,r3moneya,TRUE,r3moneya:w3 r Some Diff-Managing money
CHARLS,h3atotb,TRUE,h3atotb:w3 Asset: r+s total wealth
CHARLS,r3wtresp,TRUE,r3wtresp:w3 individual weight without non-response adjustment
CHARLS,inw4,TRUE,inw4:In wave 4
CHARLS,r4iwstat,TRUE,r4iwstat:w4 r interview status
CHARLS,r4agey,TRUE,r4agey:w4 r age in years
CHARLS,r4dressa,TRUE,r4dressa:w4 r Some Diff-Dressing
CHARLS,r4batha,TRUE,"r4batha:w4 r Some Diff-Bathing, shower"
CHARLS,r4eata,TRUE,r4eata:w4 r Some Diff-Eating
CHARLS,r4beda,TRUE,r4beda:w4 r Some Diff-Get in/out bed
CHARLS,r4toilta,TRUE,r4toilta:w4 r Some Diff-Using the toilet
CHARLS,r4shopa,TRUE,r4shopa:w4 r Some Diff-Shop for grocery
CHARLS,r4mealsa,TRUE,r4mealsa:w4 r Some Diff-Prepare hot meal
CHARLS,r4medsa,TRUE,r4medsa:w4 r Some Diff-Take medications
CHARLS,r4moneya,TRUE,r4moneya:w4 r Some Diff-Managing money
CHARLS,h4atotb,TRUE,h4atotb:w4 Asset: r+s total wealth
CHARLS,r4wtresp,TRUE,r4wtresp:w4 individual weight without non-response adjustment
HRS,hhidpn,TRUE,hhidpn: hhold id + person number /num
HRS,ragender,TRUE,ragender: r gender
HRS,raeduc,TRUE,raeduc: r education (categ)
HRS,radyear,TRUE,radyear: r death year
HRS,radmonth,TRUE,radmonth: r death month
HRS,inw2,TRUE,inw2: =1 if respondent w2
HRS,r2iwstat,TRUE,r2iwstat:w2 r interview status
HRS,r2agey_b,TRUE,r2agey_b:w2 r age (years) at ivw begmon
HRS,r2dressa,TRUE,r2dressa:w2 r any diff-dressing
HRS,r2batha,TRUE,"r2batha:w2 r any diff-bathing, shower"
