cohort,origin_wave,destination_wave,origin_year,transition,events,persons
CHARLS,3,4,2015,I0->I0,3187,3187
CHARLS,4,5,2018,I0->D1,647,647
CHARLS,2,3,2013,I0->I0,3081,3081
CHARLS,4,5,2018,I0->I0,3543,3543
CHARLS,2,3,2013,I0->D1,793,793
CHARLS,3,4,2015,D1->D1,1583,1583
CHARLS,4,5,2018,D1->D1,1656,1656
CHARLS,1,2,2011,I0->I0,2972,2972
CHARLS,3,4,2015,D1->R1,800,800
CHARLS,4,5,2018,R1->D2,766,766
CHARLS,1,2,2011,D1->R1,841,841
CHARLS,2,3,2013,R1->R1,515,515
CHARLS,3,4,2015,R1->D2,535,535
CHARLS,4,5,2018,D2->D2,508,508
CHARLS,3,,2015,D1->DEAD,396,396
CHARLS,3,4,2015,R1->R1,869,869
CHARLS,4,5,2018,R1->R1,1320,1320
CHARLS,1,2,2011,I0->D1,918,918
CHARLS,2,3,2013,D1->D1,1471,1471
CHARLS,4,5,2018,D2->R1,300,300
CHARLS,2,3,2013,D1->R1,781,781
CHARLS,3,4,2015,I0->D1,717,717
CHARLS,4,5,2018,D1->R1,755,755
CHARLS,2,,2013,D1->DEAD,271,271
CHARLS,1,2,2011,D1->D1,1219,1219
CHARLS,4,,2018,D1->DEAD,289,289
CHARLS,1,3,2011,I0->I0,194,194
CHARLS,3,,2015,I0->DEAD,188,188
CHARLS,2,3,2013,R1->D2,387,387
CHARLS,3,4,2015,D2->R1,139,139
CHARLS,3,4,2015,D2->D2,251,251
CHARLS,1,,2011,D1->DEAD,156,156
CHARLS,2,,2013,R1->DEAD,30,30
CHARLS,3,,2015,R1->DEAD,90,90
CHARLS,1,,2011,I0->DEAD,109,109
CHARLS,2,,2013,I0->DEAD,119,119
CHARLS,4,,2018,R1->DEAD,62,62
CHARLS,1,3,2011,I0->D1,81,81
CHARLS,4,,2018,I0->DEAD,100,100
CHARLS,1,3,2011,D1->D1,113,113
CHARLS,3,,2015,D2->DEAD,34,34
CHARLS,4,,2018,D2->DEAD,54,54
CHARLS,1,3,2011,D1->R1,45,45
ELSA,4,5,2008,I0->I0,3698,3698
ELSA,5,6,2010,I0->I0,3861,3861
ELSA,6,7,2012,I0->I0,3815,3815
ELSA,7,8,2014,I0->I0,3656,3656
ELSA,8,9,2016,I0->I0,3548,3548
ELSA,3,4,2006,I0->I0,2727,2727
ELSA,9,10,2018,I0->I0,2410,2410
ELSA,10,11,2021,I0->I0,2700,2700
ELSA,4,5,2008,I0->D1,374,374
ELSA,5,6,2010,D1->R1,323,323
ELSA,6,7,2012,R1->D2,267,267
ELSA,7,8,2014,D2->R1,136,136
ELSA,8,9,2016,R1->R1,757,757
ELSA,9,10,2018,R1->D2,225,225
ELSA,7,8,2014,I0->D1,290,290
ELSA,8,9,2016,D1->R1,206,206
ELSA,9,10,2018,R1->R1,452,452
ELSA,10,11,2021,R1->R1,429,429
ELSA,5,7,2010,I0->I0,36,36
ELSA,1,2,2002,I0->D1,609,609
ELSA,1,2,2002,I0->I0,3394,3394
ELSA,2,,2004,I0->DEAD,153,153
ELSA,5,6,2010,D1->D1,797,797
ELSA,6,7,2012,D1->D1,644,644
ELSA,7,8,2014,D1->D1,545,545
ELSA,8,9,2016,D1->D1,459,459
ELSA,9,10,2018,D1->D1,241,241
ELSA,10,11,2021,D1->D1,331,331
ELSA,2,3,2004,D1->R1,397,397
ELSA,3,4,2006,R1->D2,199,199
ELSA,2,3,2004,D1->D1,922,922
ELSA,3,4,2006,D1->D1,783,783
ELSA,4,5,2008,D1->D1,849,849
ELSA,5,7,2010,D1->D1,18,18
ELSA,6,8,2012,D1->R1,2,2
ELSA,6,7,2012,R1->R1,709,709
ELSA,7,8,2014,R1->R1,768,768
ELSA,10,11,2021,D2->D2,248,248
ELSA,3,4,2006,R1->R1,345,345
ELSA,4,5,2008,R1->R1,467,467
ELSA,5,6,2010,R1->R1,633,633
