cohort,wave,iwstat,n
CHARLS,1,0,7878
CHARLS,1,1,17708
CHARLS,2,0,4452
CHARLS,2,1,18612
CHARLS,2,4,1262
CHARLS,2,5,441
CHARLS,2,9,819
CHARLS,3,0,627
CHARLS,3,1,21097
CHARLS,3,4,1055
CHARLS,3,5,633
CHARLS,3,6,441
CHARLS,3,9,1733
CHARLS,4,1,19816
CHARLS,4,5,992
CHARLS,4,6,1074
CHARLS,4,9,3704
CHARLS,5,1,19395
CHARLS,5,5,785
CHARLS,5,,5702
ELSA,1,0,9580
ELSA,1,1,12099
ELSA,2,0,9472
ELSA,2,1,9432
ELSA,2,4,1199
ELSA,2,5,508
ELSA,2,9,1068
ELSA,3,0,7749
ELSA,3,1,9767
ELSA,3,4,1325
ELSA,3,5,529
ELSA,3,6,508
ELSA,3,9,1801
ELSA,4,0,5061
ELSA,4,1,11050
ELSA,4,4,1318
ELSA,4,5,589
ELSA,4,6,1037
ELSA,4,9,2624
ELSA,5,0,4919
ELSA,5,1,10274
ELSA,5,4,839
ELSA,5,5,608
ELSA,5,6,1626
ELSA,5,7,8
ELSA,5,9,3405
ELSA,6,0,3704
ELSA,6,1,10601
ELSA,6,4,332
ELSA,6,5,518
ELSA,6,6,2234
ELSA,6,7,8
ELSA,6,9,4282
ELSA,7,0,3195
ELSA,7,1,9666
ELSA,7,4,359
ELSA,7,6,2752
ELSA,7,7,8
ELSA,7,9,5699
ELSA,8,0,3156
ELSA,8,1,8445
ELSA,8,4,346
ELSA,8,6,2752
ELSA,8,7,8
ELSA,8,9,6972
ELSA,9,0,1877
ELSA,9,1,8736
ELSA,9,4,141
ELSA,9,6,2752
ELSA,9,7,8
ELSA,9,9,8165
ELSA,10,1,7588
ELSA,10,6,2752
ELSA,10,7,8
ELSA,10,9,11331
ELSA,11,1,7842
ELSA,11,5,343
ELSA,11,,15069
HRS,2,0,24043
HRS,2,1,19642
HRS,2,4,1300
HRS,2,5,226
HRS,2,7,23
HRS,3,0,23896
HRS,3,1,17991
HRS,3,4,2001
HRS,3,5,1088
HRS,3,6,226
HRS,3,7,32
HRS,4,0,18774
HRS,4,1,21384
HRS,4,4,2173
HRS,4,5,1345
HRS,4,6,1312
HRS,4,7,246
HRS,5,0,18628
HRS,5,1,19578
HRS,5,4,2486
HRS,5,5,1441
HRS,5,6,2656
HRS,5,7,445
HRS,6,0,18468
HRS,6,1,18165
HRS,6,4,2250
HRS,6,5,1571
HRS,6,6,4097
HRS,6,7,683
HRS,7,0,14923
HRS,7,1,20129
HRS,7,4,2330
HRS,7,5,1297
HRS,7,6,5641
HRS,7,7,914
HRS,8,0,14765
HRS,8,1,18469
HRS,8,4,2196
HRS,8,5,1384
HRS,8,6,6925
HRS,8,7,1495
HRS,9,0,14640
HRS,9,1,17217
HRS,9,4,2144
HRS,9,5,1298
HRS,9,6,8305
HRS,9,7,1630
HRS,10,0,8025
HRS,10,1,22034
HRS,10,4,2240
HRS,10,5,1609
HRS,10,6,9603
HRS,10,7,1723
HRS,11,0,7850
HRS,11,1,20554
HRS,11,4,2265
HRS,11,5,1202
HRS,11,6,11212
HRS,11,7,2151
HRS,12,0,7703
HRS,12,1,18747
HRS,12,4,2551
HRS,12,5,1343
HRS,12,6,12414
HRS,12,7,2476
HRS,13,0,3012
HRS,13,1,20912
HRS,13,4,3340
HRS,13,5,1480
HRS,13,6,13757
HRS,13,7,2733
HRS,14,0,2886
HRS,14,1,17146
HRS,14,4,5391
HRS,14,5,1221
HRS,14,6,15237
HRS,14,7,3353
HRS,15,0,2790
HRS,15,1,15723
HRS,15,4,5049
HRS,15,5,1447
HRS,15,6,16458
HRS,15,7,3767
HRS,16,1,15856
HRS,16,4,5748
HRS,16,5,1382
HRS,16,6,17905
HRS,16,7,4343
MHAS,1,0,11794
MHAS,1,1,15186
MHAS,1,4,179
MHAS,2,0,11929
MHAS,2,1,13704
MHAS,2,4,597
MHAS,2,5,563
MHAS,2,9,366
MHAS,3,0,6959
MHAS,3,1,15723
MHAS,3,4,677
MHAS,3,5,2867
MHAS,3,6,563
MHAS,3,9,370
MHAS,4,0,6085
MHAS,4,1,14779
MHAS,4,4,736
MHAS,4,5,1219
MHAS,4,6,3430
MHAS,4,9,910
MHAS,5,0,1839
MHAS,5,1,17114
MHAS,5,4,1419
MHAS,5,5,1146
MHAS,5,6,4649
MHAS,5,9,992
MHAS,6,0,2371
MHAS,6,1,15739
MHAS,6,4,815
MHAS,6,5,1804
MHAS,6,6,5795
MHAS,6,9,635
