"cohort","country","source_path","source_rows","source_columns_total","requested_columns","available_columns","exact_schema_pass"
"CHARLS","China","restricted_source/H_CHARLS_D_Data.dta","25586","3399","61","59","TRUE"
"HRS","United States","restricted_source/randhrs1992_2022v1.dta","45234","19880","230","230","TRUE"
"ELSA","England","restricted_source/gh_elsa_h.dta","21679","13687","173","173","TRUE"
"MHAS","Mexico","restricted_source/H_MHAS_d.dta","27159","6542","107","107","TRUE"
"ELSA","England","restricted_source/wave_11_elsa_data_eul.dta","7842","6433","15","15","TRUE"
"ELSA","England","restricted_source/wave_11_elsa_eol_eul.dta","347","2959","4","4","TRUE"
"CHARLS","China","restricted_source/Sample_Infor.dta","20180","8","4","4","TRUE"
"CHARLS","China","restricted_source/Health_Status_and_Functioning.dta","19367","936","11","11","TRUE"
"CHARLS","China","restricted_source/Weights.dta","17364","8","2","2","TRUE"
"CHARLS","China","restricted_source/Exit_Module.dta","770","1129","4","4","TRUE"
