cohort,origin_state,destination,transition,events,persons
CHARLS,I0,I0,I0->I0,12977,6098
CHARLS,I0,D1,I0->D1,3156,3156
CHARLS,D1,D1,D1->D1,6042,3298
CHARLS,D1,R1,D1->R1,3222,3222
CHARLS,R1,D2,R1->D2,1688,1633
CHARLS,R1,R1,R1->R1,2704,1842
CHARLS,D2,D2,D2->D2,759,594
CHARLS,D1,DEAD,D1->DEAD,1112,1112
CHARLS,D2,R1,D2->R1,439,439
CHARLS,I0,DEAD,I0->DEAD,516,516
CHARLS,R1,DEAD,R1->DEAD,182,182
CHARLS,D2,DEAD,D2->DEAD,88,88
ELSA,I0,I0,I0->I0,33116,8897
ELSA,I0,D1,I0->D1,3249,3249
ELSA,D1,R1,D1->R1,2805,2805
ELSA,R1,D2,R1->D2,2114,1752
ELSA,D2,R1,D2->R1,844,731
ELSA,R1,R1,R1->R1,4805,1920
ELSA,I0,DEAD,I0->DEAD,758,758
ELSA,D1,D1,D1->D1,6674,2889
ELSA,D2,D2,D2->D2,1931,990
ELSA,D1,DEAD,D1->DEAD,1163,1163
ELSA,R1,DEAD,R1->DEAD,182,182
ELSA,D2,DEAD,D2->DEAD,152,152
HRS,I0,I0,I0->I0,83787,19121
HRS,D1,DEAD,D1->DEAD,3946,3946
HRS,D2,D2,D2->D2,5353,2391
HRS,D2,R1,D2->R1,2181,1811
HRS,I0,D1,I0->D1,8772,8772
HRS,D1,R1,D1->R1,5691,5691
HRS,R1,R1,R1->R1,12803,4681
HRS,R1,DEAD,R1->DEAD,1025,1025
HRS,R1,D2,R1->D2,5228,4212
HRS,D2,DEAD,D2->DEAD,1199,1199
HRS,D1,D1,D1->D1,15603,6915
HRS,I0,DEAD,I0->DEAD,3060,3060
MHAS,D1,R1,D1->R1,1808,1808
MHAS,R1,R1,R1->R1,1259,884
MHAS,D1,D1,D1->D1,2430,1746
MHAS,I0,I0,I0->I0,14514,8664
MHAS,I0,D1,I0->D1,2451,2451
MHAS,I0,DEAD,I0->DEAD,1358,1358
MHAS,R1,D2,R1->D2,756,742
MHAS,D2,D2,D2->D2,339,253
MHAS,D2,DEAD,D2->DEAD,128,128
MHAS,R1,DEAD,R1->DEAD,252,252
MHAS,D1,DEAD,D1->DEAD,1050,1050
MHAS,D2,R1,D2->R1,155,154
