cohort,country,wave,nominal_year,source_rows,in_wave_n,age60plus_n,complete9_n,independent_n,difficulty_n,I0_n,D1_n,R1_n,D2_n,iwstat_death_n,weight_positive_n,proxy_observed_n,proxy_n,wealth_observed_n,education_observed_n,exact_interview_time_n
CHARLS,China,1,2011,25586,17708,7290,17257,12831,4426,12831,4426,0,0,0,17708,0,0,0,17692,0
CHARLS,China,2,2013,25586,18612,8524,17933,13494,4439,11711,4439,1783,0,441,18262,0,0,0,18604,0
CHARLS,China,3,2015,25586,21097,9845,19872,14598,5274,12001,4652,2597,622,633,20281,0,0,12079,21077,0
CHARLS,China,4,2018,25586,19816,10800,19454,14201,5253,10730,4123,3471,1130,992,17970,0,0,15211,19816,0
CHARLS,China,5,2020,25882,19395,11036,19347,13899,5448,9919,3704,3980,1744,785,17364,19367,1784,0,19096,19395
ELSA,England,1,2002,21679,12099,7246,11908,9200,2708,9200,2708,0,0,0,11391,12099,175,11891,11064,12099
ELSA,England,2,2004,21679,9432,6246,9429,7209,2220,6617,2220,592,0,508,8780,9432,125,9310,8628,9432
ELSA,England,3,2006,21679,9766,5909,9762,7652,2110,6816,1915,836,195,529,8655,9766,232,9518,8986,9766
ELSA,England,4,2008,21679,11050,7321,11041,8689,2352,7724,2018,965,334,589,9805,11050,446,10755,10162,11050
ELSA,England,5,2010,21679,10274,7535,10266,8050,2216,6830,1742,1220,474,608,8988,10274,537,10043,9430,10274
ELSA,England,6,2012,21679,10601,7664,10596,8376,2220,7060,1620,1316,600,518,9068,10601,614,10362,9768,10601
ELSA,England,7,2014,21679,9666,7409,9664,7752,1912,6359,1299,1393,613,0,8152,9666,597,9417,8745,9666
ELSA,England,8,2016,21679,8445,7101,8443,6692,1751,5378,1067,1314,684,0,7133,8445,463,8301,7665,8445
ELSA,England,9,2018,21679,8736,6669,8731,7007,1724,5783,1012,1224,712,0,7200,8736,545,8579,7930,8736
ELSA,England,10,2021,21679,7589,5790,7587,6048,1539,5273,1016,775,523,0,6226,7589,378,7301,6962,7589
ELSA,England,11,2024,23254,7842,5938,7836,6283,1553,5398,1054,885,499,343,6372,7829,422,0,5762,7842
HRS,United States,2,1994,45234,19642,11869,6940,5233,1707,5233,1707,0,0,226,16384,19642,1569,19642,19630,0
HRS,United States,3,1996,45234,17991,12076,15218,11892,3326,11679,3326,213,0,1088,14548,17991,1640,17991,17985,0
HRS,United States,4,1998,45234,21384,14477,19412,15499,3913,14706,3849,793,64,1345,20050,21384,2043,21384,21380,0
HRS,United States,5,2000,45234,19578,14410,17643,14007,3636,12660,3374,1347,262,1441,18229,19578,2062,19578,19578,0
HRS,United States,6,2002,45234,18165,14593,16393,12925,3468,11269,2973,1656,495,1571,16783,18165,2036,18165,18160,0
HRS,United States,7,2004,45234,20129,14238,18128,14520,3608,12640,2924,1880,684,1297,18701,20129,1802,20129,20125,0
HRS,United States,8,2006,45234,18469,13754,16762,13084,3678,11100,2790,1984,888,1384,17106,18469,1260,18469,18465,0
HRS,United States,9,2008,45234,17217,13499,15677,12258,3419,10045,2372,2213,1047,1298,15840,17217,1140,17217,17213,0
HRS,United States,10,2010,45234,22034,13837,20562,15805,4757,13722,3504,2083,1253,1609,20337,22034,1382,22034,22030,0
HRS,United States,11,2012,45234,20554,13884,19394,15016,4378,12436,3145,2580,1233,1202,18851,20554,1146,20554,20550,0
HRS,United States,12,2014,45234,18747,13584,17721,13429,4292,10870,2855,2559,1437,1343,17092,18747,1049,18747,18742,0
HRS,United States,13,2016,45234,20912,13264,19882,15327,4555,12699,3201,2628,1354,1480,19623,20912,941,20912,20907,0
HRS,United States,14,2018,45234,17146,11846,16344,12601,3743,9989,2486,2612,1257,1221,16132,17146,663,17146,17143,0
HRS,United States,15,2020,45234,15723,11900,14968,11672,3296,9072,2031,2600,1265,1447,14775,15723,721,15723,15719,0
HRS,United States,16,2022,45234,15856,11919,15132,11628,3504,9332,2250,2296,1254,1382,12259,15856,588,15856,15373,0
MHAS,Mexico,1,2001,27159,15186,7171,12964,11389,1575,11389,1575,0,0,0,13463,15186,1032,15127,15167,15186
MHAS,Mexico,2,2003,27159,13704,7675,11753,10310,1443,9603,1443,707,0,563,12164,13704,1178,13671,13614,13704
MHAS,Mexico,3,2012,27159,15723,10177,13441,10954,2487,10428,2317,526,170,2867,16886,15723,1275,15723,15659,15711
MHAS,Mexico,4,2015,27159,14779,10408,12894,10186,2708,9070,2447,1116,261,1219,15464,14779,929,14745,14606,14779
MHAS,Mexico,5,2018,27159,17114,10067,15156,12608,2548,11088,2168,1520,380,1146,18219,17114,1328,17094,16852,17114
MHAS,Mexico,6,2021,27159,15739,10490,13801,10686,3115,9189,2413,1497,702,1804,17543,15739,1255,15716,15342,15739
