cohort,wave,variable,n,missing_n,missing_percent
CHARLS,1,age,17708,175,0.988253896543935
CHARLS,2,age,18612,122,0.655491081022996
CHARLS,3,age,21097,98,0.464521021946248
CHARLS,4,age,19816,65,0.328017763423496
CHARLS,5,age,19395,382,1.96957978860531
ELSA,2,age,9432,0,0
ELSA,3,age,9766,1,0.0102396067990989
ELSA,4,age,11050,0,0
ELSA,5,age,10274,0,0
ELSA,7,age,9666,0,0
ELSA,9,age,8736,0,0
ELSA,6,age,10601,0,0
ELSA,8,age,8445,0,0
ELSA,10,age,7589,0,0
ELSA,11,age,7842,4,0.0510073960724305
ELSA,1,age,12099,0,0
HRS,2,age,19642,1,0.00509113124936361
HRS,3,age,17991,0,0
HRS,4,age,21384,0,0
HRS,5,age,19578,0,0
HRS,6,age,18165,0,0
HRS,7,age,20129,0,0
HRS,8,age,18469,0,0
HRS,9,age,17217,0,0
HRS,10,age,22034,0,0
HRS,11,age,20554,0,0
HRS,12,age,18747,0,0
HRS,13,age,20912,0,0
HRS,16,age,15856,0,0
HRS,14,age,17146,0,0
HRS,15,age,15723,0,0
MHAS,1,age,15186,0,0
MHAS,2,age,13704,4,0.0291885580852306
MHAS,3,age,15723,7,0.044520765757171
MHAS,4,age,14779,1,0.00676635766966642
MHAS,5,age,17114,8,0.0467453546803786
MHAS,6,age,15739,0,0
CHARLS,1,education3,17708,16,0.0903546419697312
CHARLS,2,education3,18612,8,0.042983021706426
CHARLS,3,education3,21097,20,0.0948002085604588
CHARLS,4,education3,19816,0,0
CHARLS,5,education3,19395,299,1.54163444186646
ELSA,2,education3,9432,804,8.52417302798982
ELSA,3,education3,9766,780,7.98689330329715
ELSA,4,education3,11050,888,8.03619909502262
ELSA,5,education3,10274,844,8.21491142690286
ELSA,7,education3,9666,921,9.52824332712601
ELSA,9,education3,8736,806,9.22619047619048
ELSA,6,education3,10601,833,7.85774926893689
ELSA,8,education3,8445,780,9.23623445825933
ELSA,10,education3,7589,627,8.26195809724601
ELSA,11,education3,7842,2080,26.5238459576639
ELSA,1,education3,12099,1035,8.55442598561865
HRS,2,education3,19642,12,0.0610935749923633
HRS,3,education3,17991,6,0.0333500083375021
HRS,4,education3,21384,4,0.0187055742611298
HRS,5,education3,19578,0,0
HRS,6,education3,18165,5,0.0275254610514726
HRS,7,education3,20129,4,0.019871826717671
