"file_role","variable","storage_class","variable_label","value_labels","nonmissing_n","unique_nonmissing_n"
"wave11_eol_all","idauniq","haven_labelled/vctrs_vctr/double","Unique individual serial number","Refused=-9 | Don't know=-8 | Not applicable=-1",347,347
"wave11_eol_all","wave","haven_labelled/vctrs_vctr/double","Most recent productive ELSA wave for deceased","Refused=-9 | Don't know=-8 | Not applicable=-1 | W05=5 | W06=6 | W07=7 | W08=8 | W09=9 | W10=10",347,6
"wave11_eol_all","intdatmm","haven_labelled/vctrs_vctr/double","(D) Month of respondent interview","Refused=-9 | Don't know=-8 | Not applicable=-1 | January=1 | February=2 | March=3 | April=4 | May=5 | June=6 | July=7 | August=8 | September=9 | October=10 | November=11 | December=12",347,10
"wave11_eol_all","intdatyy","haven_labelled/vctrs_vctr/double","(D) Year of respondent interview","Refused=-9 | Don't know=-8 | Not applicable=-1",347,1
"wave11_eol_all","eidatlamm","haven_labelled/vctrs_vctr/double","(D) Date of last ELSA interview for the deceased (Month)","Refused=-9 | Don't know=-8 | Not applicable=-1 | January=1 | February=2 | March=3 | April=4 | May=5 | June=6 | July=7 | August=8 | September=9 | October=10 | November=11 | December=12",347,13
"wave11_eol_all","eidatlayy","haven_labelled/vctrs_vctr/double","(D) Date of last ELSA interview for the deceased (Year)","Refused=-9 | Don't know=-8 | Not applicable=-1",347,12
"wave11_eol_all","eirrel","haven_labelled/vctrs_vctr/double","Relationship of respondent to deceased","Refused=-9 | Don't know=-8 | Not applicable=-1 | Husband/Wife=1 | Partner/cohabitee=2 | Natural son/daughter=3 | Adopted son/daughter=4 | Foster son/daughter=5 | Step-son/step-daughter/child of partner=6 | Son-in-law/daughter-in-law=7 | Natural parent=8 | Adoptive parent=9 | Foster parent=10 | Step-parent/parent's partner=11 | Parent-in-law=12 | Natural brother/sister=13 | Half-brother/sister=14 | Step-brother/sister=15 | Adopted brother/sister=16 | Foster brother/sister=17 | Brother-in-law/sister-in-law=18 | Grandchild=19 | Grandparent=20 | Other relative (specify)=21 | Other non-relative (specify)=22 | Other (Please specify)=95 | Irrelevant response=96",347,14
"wave11_eol_all","eirfri","haven_labelled/vctrs_vctr/double","Whether deceased was a close friend of the respondent","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2 | Other=3",347,4
"wave11_eol_all","survsp","haven_labelled/vctrs_vctr/double","Whether deceased had a surviving spouse/partner at time of death","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eirkno","haven_labelled/vctrs_vctr/double","Length of time deceased was known to the respondent","Refused=-9 | Don't know=-8 | Not applicable=-1 | more than one month, but less than one year,=1 | between one and two years=2 | over two years=3",347,3
"wave11_eol_all","numyr","haven_labelled/vctrs_vctr/double","Total number of years that the deceased was known to the respondent","Refused=-9 | Don't know=-8 | Not applicable=-1",347,54
"wave11_eol_all","nummth","haven_labelled/vctrs_vctr/double","Total number of months that the deceased was known to the respondent","Refused=-9 | Don't know=-8 | Not applicable=-1",347,2
"wave11_eol_all","eirage","haven_labelled/vctrs_vctr/double","Age last birthday","Refused=-9 | Don't know=-8 | Age of 90 or over collapsed to avoid disclosure=-7 | Not applicable=-1",347,54
"wave11_eol_all","eirsex","haven_labelled/vctrs_vctr/double","Respondent sex","Refused=-9 | Don't know=-8 | Not applicable=-1 | Male=1 | Female=2",347,2
"wave11_eol_all","eisex","haven_labelled/vctrs_vctr/double","Sex of deceased","Refused=-9 | Don't know=-8 | Not applicable=-1 | Male=1 | Female=2",347,2
"wave11_eol_all","eilong","haven_labelled/vctrs_vctr/double","Length of time that deceased had been ill before they died","Refused=-9 | Don't know=-8 | Not applicable=-1 | Was not ill, died suddenly=1 | Less than 24 hours=2 | One day or more, but less than one week=3 | One week or more but less than one month=4 | One month or more but less than 6 months=5 | 6 months or more but less than a year=6 | One year or more=7",347,8
"wave11_eol_all","eisudd","haven_labelled/vctrs_vctr/double","Whether death was unexpected","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2 | Other (Please specify)=95 | Irrelevant response=96",347,4
"wave11_eol_all","eiexpt","haven_labelled/vctrs_vctr/double","Whether death was expected or unexpected","Refused=-9 | Don't know=-8 | Not applicable=-1 | Expected=1 | Unexpected=2 | Other (Please specify)=95 | Irrelevant response=96",347,4
"wave11_eol_all","eiawar","haven_labelled/vctrs_vctr/double","Whether deceased was aware that they were at the end of life","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eineurm1","haven_labelled/vctrs_vctr/double","Whether deceased had condition when they died: Alzheimer's disease (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,3
"wave11_eol_all","eineurm2","haven_labelled/vctrs_vctr/double","Whether deceased had condition when they died: Dementia (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,3
"wave11_eol_all","eineurm3","haven_labelled/vctrs_vctr/double","Whether deceased had condition when they died: Organic brain syndrome, senility","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,3
"wave11_eol_all","eineurm4","haven_labelled/vctrs_vctr/double","Whether deceased had condition when they died: Mild Cognitive Impairment (merged","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,3
"wave11_eol_all","eineurm5","haven_labelled/vctrs_vctr/double","Whether deceased had condition when they died: Parkinson's Disease (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,3
"wave11_eol_all","eineurm95","haven_labelled/vctrs_vctr/double","Whether deceased had condition when they died: Any other brain condition - not c","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,3
"wave11_eol_all","eineurm96","haven_labelled/vctrs_vctr/double","Whether deceased had condition when they died: None of the above (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,3
"wave11_eol_all","eidatey","haven_labelled/vctrs_vctr/double","Year of death","Refused=-9 | Don't know=-8 | Not applicable=-1",347,10
"wave11_eol_all","eiplac","haven_labelled/vctrs_vctr/double","Place of death","Refused=-9 | Don't know=-8 | Not applicable=-1 | At home,=1 | At another person's home=2 | In hospital=3 | In a hospice=4 | In a nursing home=5 | In a residential home=6 | In a mixed nursing/residential home=7 | In sheltered housing=8 | In an ambulance/en route to hospital/en route to hospice etc=9 | Other (please specify)=95 | Irrelevant response=96",347,9
"wave11_eol_all","eiplacoh","haven_labelled/vctrs_vctr/double","In whose home the deceased died in","Refused=-9 | Don't know=-8 | Not applicable=-1 | Relative=1 | Non-relative=2",347,3
"wave11_eol_all","eiplcn","haven_labelled/vctrs_vctr/double","On how many different occasions the deceased stayed in that place","Refused=-9 | Don't know=-8 | Not applicable=-1",347,18
"wave11_eol_all","eiplcl","haven_labelled/vctrs_vctr/double","How long the deceased stayed in their place of death","Refused=-9 | Don't know=-8 | Not applicable=-1 | One day or more, but less than one week=1 | One week or more but less than one month=2 | One month or more but less than 3 months=3 | 3 months or more but less than 6 months=4 | 6 months or more but less than a year=5 | A year or more=6",347,8
"wave11_eol_all","eiplacli","haven_labelled/vctrs_vctr/double","Whether the deceased ever said where they would like to die","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiplcliym1","haven_labelled/vctrs_vctr/double","Where deceased said they would like to die: In their own home (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiplcliym2","haven_labelled/vctrs_vctr/double","Where deceased said they would like to die: In a relative's/friend's home (merge","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,3
"wave11_eol_all","eiplcliym3","haven_labelled/vctrs_vctr/double","Where deceased said they would like to die: In hospital (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiplcliym4","haven_labelled/vctrs_vctr/double","Where deceased said they would like to die: In a hospice (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiplcliym5","haven_labelled/vctrs_vctr/double","Where deceased said they would like to die: In a nursing/care/residential home (","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiplcliym6","haven_labelled/vctrs_vctr/double","Where deceased said they would like to die: Did not mind where he/she died (merg","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiplcliym7","haven_labelled/vctrs_vctr/double","Where deceased said they would like to die: They did not tell respondent where t","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiplcliym95","haven_labelled/vctrs_vctr/double","Where deceased said they would like to die: Other answer - not codeable (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiplcliym96","haven_labelled/vctrs_vctr/double","Where deceased said they would like to die: Irrelevant response - not codeable (","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,3
"wave11_eol_all","eilivem1","haven_labelled/vctrs_vctr/double","Places deceased lived or stayed overnight: At home (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,2
"wave11_eol_all","eilivem2","haven_labelled/vctrs_vctr/double","Places deceased lived or stayed overnight: Other person's home (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,2
"wave11_eol_all","eilivem3","haven_labelled/vctrs_vctr/double","Places deceased lived or stayed overnight: In hospital (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,2
"wave11_eol_all","eilivem4","haven_labelled/vctrs_vctr/double","Places deceased lived or stayed overnight: In a hospice (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,2
"wave11_eol_all","eilivem5","haven_labelled/vctrs_vctr/double","Places deceased lived or stayed overnight: In a nursing home (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,2
"wave11_eol_all","eilivem6","haven_labelled/vctrs_vctr/double","Places deceased lived or stayed overnight: In a residential home (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,2
"wave11_eol_all","eilivem7","haven_labelled/vctrs_vctr/double","Places deceased lived or stayed overnight: In mixed nursing /residential home (m","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,2
"wave11_eol_all","eilivem8","haven_labelled/vctrs_vctr/double","Places deceased lived or stayed overnight: In sheltered housing (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,2
"wave11_eol_all","eilivem9","haven_labelled/vctrs_vctr/double","Places deceased stayed before they died: Holiday stay (hotel, home, cottage, cru","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,3
