"source_role","source_path","variable","storage_class","variable_label","value_labels","search_text"
"working_wave5","restricted_source/charls_wave5.dta","ID","character","受访者编码","","ID 受访者编码"
"working_wave5","restricted_source/charls_wave5.dta","wave","haven_labelled/vctrs_vctr/double","第几波调查","wave1=1 | wave2=2 | wave3=3 | wave4=4 | wave5=5","wave 第几波调查"
"working_wave5","restricted_source/charls_wave5.dta","householdID","character","家庭编码","","householdID 家庭编码"
"working_wave5","restricted_source/charls_wave5.dta","communityID","character","社区编码","","communityID 社区编码"
"working_wave5","restricted_source/charls_wave5.dta","rabmonth","numeric","出生月份","","rabmonth 出生月份"
"working_wave5","restricted_source/charls_wave5.dta","rabyear","numeric","出生年份","","rabyear 出生年份"
"working_wave5","restricted_source/charls_wave5.dta","radyear","numeric","死亡年份","","radyear 死亡年份"
"working_wave5","restricted_source/charls_wave5.dta","radmonth","numeric","死亡月份","","radmonth 死亡月份"
"working_wave5","restricted_source/charls_wave5.dta","ragender","haven_labelled/vctrs_vctr/double","性别","女性=0 | 男性=1","ragender 性别"
"working_wave5","restricted_source/charls_wave5.dta","ramomoccup_c","haven_labelled/vctrs_vctr/double","17岁前母亲从事农业","否=0 | 是=1","ramomoccup_c 17岁前母亲从事农业"
"working_wave5","restricted_source/charls_wave5.dta","radadoccup_c","haven_labelled/vctrs_vctr/double","17岁前父亲从事农业","否=0 | 是=1","radadoccup_c 17岁前父亲从事农业"
"working_wave5","restricted_source/charls_wave5.dta","ramomdrug","haven_labelled/vctrs_vctr/double","女性监护人在其成长过程中是否酗酒或有毒品问题","否=0 | 是=1","ramomdrug 女性监护人在其成长过程中是否酗酒或有毒品问题"
"working_wave5","restricted_source/charls_wave5.dta","radaddrug","haven_labelled/vctrs_vctr/double","男性监护人在其成长过程中是否酗酒或有毒品问题","否=0 | 是=1","radaddrug 男性监护人在其成长过程中是否酗酒或有毒品问题"
"working_wave5","restricted_source/charls_wave5.dta","rapadrug","haven_labelled/vctrs_vctr/double","监护人在其成长过程中是否酗酒或有毒品问题","否=0 | 是=1","rapadrug 监护人在其成长过程中是否酗酒或有毒品问题"
"working_wave5","restricted_source/charls_wave5.dta","rahltcom","haven_labelled/vctrs_vctr/double","16岁前的相对健康状况","更不健康=1 | 些许不健康=2 | 一般=3 | 些许健康=4 | 更健康=5","rahltcom 16岁前的相对健康状况"
