"source_role","source_path","variable","storage_class","variable_label","value_labels"
"working_wave5","restricted_source/charls_wave5.dta","wave","haven_labelled/vctrs_vctr/double","第几波调查","wave1=1 | wave2=2 | wave3=3 | wave4=4 | wave5=5"
"working_wave5","restricted_source/charls_wave5.dta","householdID","character","家庭编码",""
"working_wave5","restricted_source/charls_wave5.dta","rabmonth","numeric","出生月份",""
"working_wave5","restricted_source/charls_wave5.dta","rabyear","numeric","出生年份",""
"working_wave5","restricted_source/charls_wave5.dta","radyear","numeric","死亡年份",""
"working_wave5","restricted_source/charls_wave5.dta","radmonth","numeric","死亡月份",""
"working_wave5","restricted_source/charls_wave5.dta","dressa","haven_labelled/vctrs_vctr/double","ADL/穿衣","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","batha","haven_labelled/vctrs_vctr/double","ADL/沐浴","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","eata","haven_labelled/vctrs_vctr/double","ADL/进食","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","beda","haven_labelled/vctrs_vctr/double","ADL/上下床","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","toilta","haven_labelled/vctrs_vctr/double","ADL/使用厕所","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","urina","haven_labelled/vctrs_vctr/double","ADL/控制排尿","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","housewka","haven_labelled/vctrs_vctr/double","IADL/打扫房屋","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","mealsa","haven_labelled/vctrs_vctr/double","IADL/准备饭菜","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","shopa","haven_labelled/vctrs_vctr/double","IADL/购买食品杂货","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","phonea","haven_labelled/vctrs_vctr/double","IADL/打电话","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","medsa","haven_labelled/vctrs_vctr/double","IADL/服用药物","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","moneya","haven_labelled/vctrs_vctr/double","IADL/管理资金","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","adlab_c","numeric","ADL(6项有困难)",""
"working_wave5","restricted_source/charls_wave5.dta","iadl","numeric","IADL(5项有困难)",""
"working_wave5","restricted_source/charls_wave5.dta","clean_heat","haven_labelled/vctrs_vctr/double","取暖使用污染燃料","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","clean_cook","haven_labelled/vctrs_vctr/double","做饭使用污染燃料","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","toilet","haven_labelled/vctrs_vctr/double","厕所卫生差","否=0 | 是=1"
"working_wave5","restricted_source/charls_wave5.dta","mweight","numeric","体重/kg",""
"working_wave5","restricted_source/charls_wave5.dta","bloodweight","numeric","",""
"working_wave5","restricted_source/charls_wave5.dta","bl_crea","numeric","Creatinine (mg/dl)肌酐",""
"working_wave5","restricted_source/charls_wave5.dta","cog_status","haven_labelled/vctrs_vctr/double","认知状况","否=0 | 是=1"
"temp_charls2020","restricted_source/charls2020.dta","ID","character","Individual ID",""
"temp_charls2020","restricted_source/charls2020.dta","householdID","character","Household ID",""
"temp_charls2020","restricted_source/charls2020.dta","r5gender","haven_labelled/vctrs_vctr/double","Interviewer record R's gender","1 Male=1 | 2 Female=2"
"temp_charls2020","restricted_source/charls2020.dta","zrbirthyear","numeric","ZRBirthYear",""
"temp_charls2020","restricted_source/charls2020.dta","r5sleep_night","numeric","During Last Month Average Hours of Actual Sleep",""
"temp_charls2020","restricted_source/charls2020.dta","r5sleep_nap","numeric","During Last Month Time for a Nap after Lunch",""
"temp_charls2020","restricted_source/charls2020.dta","r5act_1","numeric","Activities in Last Month",""
"temp_charls2020","restricted_source/charls2020.dta","r5act_2","numeric","Activities in Last Month",""
"temp_charls2020","restricted_source/charls2020.dta","r5act_3","numeric","Activities in Last Month",""
"temp_charls2020","restricted_source/charls2020.dta","r5act_4","numeric","Activities in Last Month",""
"temp_charls2020","restricted_source/charls2020.dta","r5act_5","numeric","Activities in Last Month",""
"temp_charls2020","restricted_source/charls2020.dta","r5act_6","numeric","Activities in Last Month",""
"temp_charls2020","restricted_source/charls2020.dta","r5act_7","numeric","Activities in Last Month",""
"temp_charls2020","restricted_source/charls2020.dta","r5act_8","numeric","Activities in Last Month",""
"temp_charls2020","restricted_source/charls2020.dta","died","numeric","Whether Individual Died",""
"temp_charls2020","restricted_source/charls2020.dta","r5iwy","numeric","Interview Year",""
"temp_charls2020","restricted_source/charls2020.dta","r5iwm","numeric","Interview Month",""
"temp_charls2020","restricted_source/charls2020.dta","exb001_1","numeric","Year of Death",""
"temp_charls2020","restricted_source/charls2020.dta","exb001_2","numeric","Month of Death",""
"temp_charls2020","restricted_source/charls2020.dta","exb001_3","numeric","Day of Death",""
"temp_charls2020","restricted_source/charls2020.dta","r5shlta","numeric","RECODE of da001 (Self-Reported Health Status)",""
"temp_charls2020","restricted_source/charls2020.dta","r5drinkl","numeric","RECODE of da051 (Frequency Drank Alcoholic Beverages in the Past Year)",""
"temp_charls2020","restricted_source/charls2020.dta","r5ins","numeric","RECODE of ba016 (How Much Does Social Medical Insurance Cost Per Year)",""
"temp_charls2020","restricted_source/charls2020.dta","r5adlab_c","numeric","",""
"temp_charls2020","restricted_source/charls2020.dta","r5iadl","numeric","",""
"temp_charls20","restricted_source/charls20.dta","ID","character","Individual ID",""
"temp_charls20","restricted_source/charls20.dta","householdID","character","Household ID",""
"temp_charls20","restricted_source/charls20.dta","r5gender","haven_labelled/vctrs_vctr/double","Interviewer record R's gender","1 Male=1 | 2 Female=2"
"temp_charls20","restricted_source/charls20.dta","zrbirthyear","numeric","ZRBirthYear",""
"temp_charls20","restricted_source/charls20.dta","r5sleep_night","numeric","During Last Month Average Hours of Actual Sleep",""
"temp_charls20","restricted_source/charls20.dta","r5sleep_nap","numeric","During Last Month Time for a Nap after Lunch",""
"temp_charls20","restricted_source/charls20.dta","r5act_1","numeric","Activities in Last Month",""
"temp_charls20","restricted_source/charls20.dta","r5act_2","numeric","Activities in Last Month",""
