cohort,exposure,level,process,intervals,persons,events,person_years
CHARLS,education,low,onset,14938,6977,2984,34364.5000000002
CHARLS,education,high,onset,379,184,40,887.958333333337
CHARLS,education,middle,onset,1332,679,132,3069.83333333335
ELSA,education,low,onset,10308,3112,1251,21903.625
ELSA,education,middle,onset,16760,4410,1302,35861.7083333333
ELSA,education,high,onset,6998,1856,400,15169.0416666667
ELSA,education,,onset,3057,843,296,6479.29166666666
HRS,education,middle,onset,55456,12356,4815,115452.875
HRS,education,high,onset,22362,4702,1424,46363.625
HRS,education,low,onset,17775,4934,2532,37733.25
HRS,education,,onset,26,5,1,55.2916666666668
MHAS,education,low,onset,16012,9189,2267,44085.3333333332
MHAS,education,high,onset,1704,935,130,4919.70833333331
MHAS,education,middle,onset,470,272,40,1353.91666666666
MHAS,education,,onset,137,86,14,409.208333333331
CHARLS,education,low,recovery_d1,9969,5985,3077,23129.0416666668
CHARLS,education,middle,recovery_d1,323,227,114,749.250000000006
CHARLS,education,high,recovery_d1,83,56,31,194.458333333334
CHARLS,education,,recovery_d1,1,1,0,2.54166666666674
ELSA,education,middle,recovery_d1,3575,1912,1107,7484.58333333334
ELSA,education,high,recovery_d1,899,523,307,1899.54166666667
ELSA,education,low,recovery_d1,5174,2544,1127,10827.5
ELSA,education,,recovery_d1,994,481,264,2082.08333333333
HRS,education,high,recovery_d1,2999,1670,849,6301.20833333333
HRS,education,middle,recovery_d1,12598,6560,3090,26457.7083333333
HRS,education,low,recovery_d1,9641,4535,1752,20503.2916666667
HRS,education,,recovery_d1,2,1,0,3.79166666666674
MHAS,education,low,recovery_d1,5013,3837,1694,13742.4166666666
MHAS,education,high,recovery_d1,181,155,73,504.458333333332
MHAS,education,middle,recovery_d1,64,55,29,184.499999999998
MHAS,education,,recovery_d1,30,24,12,84.6666666666661
CHARLS,education,low,recovery_d2,1239,1011,423,2952.33333333337
CHARLS,education,middle,recovery_d2,42,31,13,100.083333333335
CHARLS,education,high,recovery_d2,5,5,3,11.166666666667
ELSA,education,middle,recovery_d2,1129,574,344,2485.83333333334
ELSA,education,,recovery_d2,274,140,88,573.041666666667
ELSA,education,low,recovery_d2,1247,601,316,2663.83333333334
ELSA,education,high,recovery_d2,277,147,96,612.541666666667
HRS,education,high,recovery_d2,1060,492,313,2203.83333333333
HRS,education,middle,recovery_d2,4644,2115,1241,9694.04166666667
HRS,education,low,recovery_d2,3029,1230,627,6333.79166666667
MHAS,education,low,recovery_d2,603,454,146,1719.83333333332
MHAS,education,high,recovery_d2,15,13,8,45.9999999999991
MHAS,education,middle,recovery_d2,4,2,1,12.0833333333333
CHARLS,education,low,relapse,4368,3000,1625,10337.5833333334
CHARLS,education,middle,relapse,175,132,54,403.541666666671
CHARLS,education,high,relapse,31,24,9,73.2916666666672
ELSA,education,middle,relapse,3100,1193,837,6782.875
ELSA,education,low,relapse,2416,1108,870,5080.95833333333
ELSA,education,,relapse,665,273,207,1434
ELSA,education,high,relapse,920,326,200,2019.66666666667
HRS,education,high,relapse,3018,1007,688,6302.08333333333
HRS,education,middle,relapse,11009,3862,2894,22971
HRS,education,low,relapse,5029,2033,1646,10599.8333333333
MHAS,education,low,relapse,2116,1530,717,6251.9583333333
MHAS,education,middle,relapse,47,35,12,141.124999999999
MHAS,education,high,relapse,96,66,25,287.416666666665
MHAS,education,,relapse,8,6,2,24.4166666666663
CHARLS,wealth,middle,onset,4899,2185,898,11307.8333333334
CHARLS,wealth,low,onset,4276,1910,1023,9817.20833333337
CHARLS,wealth,,onset,2531,1584,566,5702.08333333335
CHARLS,wealth,high,onset,4943,2161,669,11495.1666666667
ELSA,wealth,low,onset,7484,2464,999,15949.6666666666
ELSA,wealth,middle,onset,12609,3553,1126,26926.2083333333
ELSA,wealth,high,onset,16992,4168,1122,36469.7916666667
ELSA,wealth,,onset,38,36,2,67.9999999999996
HRS,wealth,middle,onset,32835,7572,2971,68586.4583333334
HRS,wealth,high,onset,37675,7745,2752,78585.2916666667
HRS,wealth,low,onset,25109,6680,3049,52433.2916666667
MHAS,wealth,high,onset,6981,3867,842,19443.3749999999
MHAS,wealth,middle,onset,6325,3620,857,17431.0833333333
MHAS,wealth,low,onset,5017,2995,752,13893.7083333333
CHARLS,wealth,low,recovery_d1,3691,2080,1134,8558.75000000004
CHARLS,wealth,middle,recovery_d1,2619,1589,963,6136.50000000003
CHARLS,wealth,high,recovery_d1,1628,1044,648,3809.00000000002
CHARLS,wealth,,recovery_d1,2438,1556,477,5571.04166666668
ELSA,wealth,high,recovery_d1,2786,1506,888,5839
ELSA,wealth,middle,recovery_d1,3454,1776,960,7214.33333333334
ELSA,wealth,low,recovery_d1,4390,2166,955,9216.66666666666
ELSA,wealth,,recovery_d1,12,12,2,23.7083333333333
HRS,wealth,middle,recovery_d1,7360,3909,1779,15551.7083333333
HRS,wealth,high,recovery_d1,5699,3138,1539,12017.2083333333
HRS,wealth,low,recovery_d1,12181,5719,2373,25697.0833333333
MHAS,wealth,low,recovery_d1,1696,1319,585,4647.12499999998
MHAS,wealth,high,recovery_d1,1707,1321,592,4697.70833333331
MHAS,wealth,middle,recovery_d1,1885,1431,631,5171.20833333331
CHARLS,wealth,high,recovery_d2,209,170,76,505.083333333339
CHARLS,wealth,,recovery_d2,163,134,45,398.750000000004
CHARLS,wealth,low,recovery_d2,513,423,188,1209.25000000001
CHARLS,wealth,middle,recovery_d2,401,320,130,950.500000000012
ELSA,wealth,high,recovery_d2,753,393,248,1638.58333333333
ELSA,wealth,middle,recovery_d2,1022,508,289,2230.83333333334
ELSA,wealth,low,recovery_d2,1144,557,305,2450.41666666667
ELSA,wealth,,recovery_d2,8,4,2,15.416666666667
HRS,wealth,high,recovery_d2,1844,876,517,3861.33333333333
HRS,wealth,low,recovery_d2,4234,1797,1002,8846.79166666667
HRS,wealth,middle,recovery_d2,2655,1164,662,5523.54166666667
MHAS,wealth,low,recovery_d2,202,151,53,570.791666666664
MHAS,wealth,high,recovery_d2,207,153,50,588.583333333329
MHAS,wealth,middle,recovery_d2,213,165,52,618.541666666661
CHARLS,wealth,middle,relapse,1436,992,539,3385.5416666667
CHARLS,wealth,high,relapse,946,638,314,2227.75000000002
CHARLS,wealth,low,relapse,1623,1087,632,3871.33333333336
CHARLS,wealth,,relapse,569,439,203,1329.79166666668
ELSA,wealth,high,relapse,2382,879,610,5150.5
ELSA,wealth,middle,relapse,2503,988,729,5396.95833333333
ELSA,wealth,low,relapse,2213,1030,774,4764.375
ELSA,wealth,,relapse,3,3,1,5.66666666666652
HRS,wealth,high,relapse,5005,1697,1239,10493.0416666667
HRS,wealth,low,relapse,7954,3085,2398,16611.4166666667
HRS,wealth,middle,relapse,6097,2120,1591,12768.4583333333
MHAS,wealth,low,relapse,742,544,260,2185.37499999999
MHAS,wealth,high,relapse,728,524,249,2168.12499999999
MHAS,wealth,middle,relapse,797,569,247,2351.41666666665
