cohort,mortality_exclusion,intervals,persons,deaths,disabled_deaths
CHARLS,origin_age_lt_60,35664,14605,356,139
CHARLS,included,33571,12824,1965,1262
CHARLS,unknown_vital_or_observation_status,5001,5001,0,0
CHARLS,missing_origin_age,250,142,61,43
CHARLS,origin_age_gt_95,30,22,13,13
ELSA,origin_age_lt_60,16491,6830,129,56
ELSA,unsupported_cohort_wave,45021,14631,250,149
ELSA,included,31912,10958,1723,1019
ELSA,unknown_vital_or_observation_status,4003,4003,0,0
HRS,origin_age_lt_60,69642,22855,860,379
HRS,included,163302,31904,11284,6796
HRS,unknown_vital_or_observation_status,1339,1339,0,0
HRS,origin_age_gt_95,761,514,393,356
MHAS,origin_age_lt_60,21646,15556,336,83
MHAS,interval_gt_4y,10123,10123,1456,333
MHAS,included,30527,14978,2276,1053
MHAS,prespecified_mhas_2003_2012_gap,766,766,766,255
MHAS,unknown_vital_or_observation_status,3086,3045,0,0
MHAS,origin_age_gt_95,51,43,18,14
MHAS,missing_origin_age,9,9,2,0
