cohort,origin_state,exposure,level,intervals,persons,deaths,person_years
CHARLS,I0,education,low,15240,7066,482,34371.1666666668
CHARLS,D1,education,low,10242,6110,1131,23157.4303559207
CHARLS,R1,education,low,4412,3027,176,10423.1277378509
CHARLS,D2,education,low,1243,1015,90,2954.21107118416
CHARLS,I0,education,high,394,187,12,888.000000000004
CHARLS,I0,education,middle,1369,691,25,3117.16666666669
CHARLS,D1,education,middle,329,232,26,742.125000000006
CHARLS,R1,education,middle,175,132,6,403.541666666671
CHARLS,D1,education,high,88,58,13,198.583333333334
CHARLS,D2,education,middle,43,32,2,103.083333333335
CHARLS,R1,education,high,31,24,2,73.2916666666672
CHARLS,D2,education,high,5,5,0,11.166666666667
ELSA,I0,education,low,7357,2976,283,14770.9166666667
ELSA,I0,education,middle,8392,3219,163,16775.5833333333
ELSA,D1,education,middle,2258,1313,228,4421
ELSA,I0,education,high,2882,1091,54,5727.75
ELSA,D1,education,high,508,299,57,996.458333333333
ELSA,I0,education,,1857,721,68,3711.66666666667
ELSA,R1,education,middle,1051,614,39,2055.95833333333
ELSA,D1,education,low,4271,2284,576,8417.5
ELSA,R1,education,low,1198,758,78,2313.79166666667
ELSA,D2,education,middle,288,203,21,559.750000000003
ELSA,D1,education,,733,385,69,1443.54166666667
ELSA,R1,education,,270,172,13,526.166666666668
ELSA,D2,education,,82,59,11,156.375000000001
ELSA,D2,education,low,426,289,50,826.749999999999
ELSA,R1,education,high,268,156,6,522.083333333333
ELSA,D2,education,high,71,51,7,138.333333333333
HRS,I0,education,middle,59809,13303,1924,117824.641170431
HRS,D1,education,high,3482,1918,581,6397.85951403148
HRS,D2,education,high,1217,555,156,2295.26368925394
HRS,I0,education,high,23887,5027,540,47302.7411875428
HRS,R1,education,high,3257,1082,140,6397.33880903491
HRS,D1,education,middle,14635,7474,2529,26751.5362765229
HRS,R1,education,middle,11891,4171,584,23288.1551163587
HRS,D2,education,middle,5275,2358,731,9859.07118412046
