cohort,country,wealth_entry_wave,n,positive_weight_n,cut_method,q33,q67
CHARLS,China,3,5559,5520,weighted_empirical,21790,153000
CHARLS,China,4,4492,4126,weighted_empirical,16920,204350
ELSA,England,7,789,607,weighted_empirical,160000,385000
ELSA,England,5,983,826,weighted_empirical,164700,342800
ELSA,England,6,877,661,weighted_empirical,153600,377530
ELSA,England,4,2216,1995,weighted_empirical,167500,322100
ELSA,England,3,680,577,weighted_empirical,161500,327500
ELSA,England,10,1308,964,weighted_empirical,205000,564000
ELSA,England,1,7148,7127,weighted_empirical,64500,185000
ELSA,England,2,829,780,weighted_empirical,142500,297500
ELSA,England,8,676,526,weighted_empirical,211300,452500
ELSA,England,9,442,266,weighted_empirical,140000,488900
HRS,United States,5,1638,1629,weighted_empirical,69000,241000
HRS,United States,2,11869,10147,weighted_empirical,50800,165000
HRS,United States,13,1693,1684,weighted_empirical,75000,316400
HRS,United States,8,969,967,weighted_empirical,92000,345000
HRS,United States,4,3933,3920,weighted_empirical,61300,205500
HRS,United States,9,1006,1001,weighted_empirical,89000,331000
HRS,United States,7,1089,1087,weighted_empirical,87500,309000
HRS,United States,6,1813,1808,weighted_empirical,82000,276600
HRS,United States,3,1827,1740,weighted_empirical,73350,205500
HRS,United States,11,1349,1345,weighted_empirical,70000,284003
HRS,United States,10,1937,1931,weighted_empirical,53200,274000
HRS,United States,12,1345,1343,weighted_empirical,56000,303000
HRS,United States,16,2253,1266,weighted_empirical,97000,461318
HRS,United States,14,1189,1187,weighted_empirical,73000,340000
HRS,United States,15,1371,1366,weighted_empirical,83100,375546.784283876
MHAS,Mexico,3,5393,4890,weighted_empirical,270000,8e+05
MHAS,Mexico,1,7149,7149,weighted_empirical,74000,305000
MHAS,Mexico,5,1515,1511,weighted_empirical,388000,1181535.875
MHAS,Mexico,4,1552,1489,weighted_empirical,4e+05,1134044.25
MHAS,Mexico,2,1345,1263,weighted_empirical,153000,368946.0625
MHAS,Mexico,6,1781,1781,weighted_empirical,350000,1048718
