age,origin_state,destination,annual_probability,cohort,exposure,ses
60,I0,I0,0.964669958261496,CHARLS,education,high
60,D1,I0,0,CHARLS,education,high
60,R1,I0,0,CHARLS,education,high
60,D2,I0,0,CHARLS,education,high
60,DEAD,I0,0,CHARLS,education,high
60,I0,D1,0.0315409030202792,CHARLS,education,high
60,D1,D1,0.698396574928176,CHARLS,education,high
60,R1,D1,0,CHARLS,education,high
60,D2,D1,0,CHARLS,education,high
60,DEAD,D1,0,CHARLS,education,high
60,I0,R1,0,CHARLS,education,high
60,D1,R1,0.290854853576909,CHARLS,education,high
60,R1,R1,0.881199126222434,CHARLS,education,high
60,D2,R1,0.324697220846126,CHARLS,education,high
60,DEAD,R1,0,CHARLS,education,high
60,I0,D2,0,CHARLS,education,high
60,D1,D2,0,CHARLS,education,high
60,R1,D2,0.11398844340723,CHARLS,education,high
60,D2,D2,0.669548502658815,CHARLS,education,high
60,DEAD,D2,0,CHARLS,education,high
60,I0,DEAD,0.00378913871822536,CHARLS,education,high
60,D1,DEAD,0.010748571494915,CHARLS,education,high
60,R1,DEAD,0.0048124303703362,CHARLS,education,high
60,D2,DEAD,0.0057542764950591,CHARLS,education,high
60,DEAD,DEAD,1,CHARLS,education,high
61,I0,I0,0.963217621547778,CHARLS,education,high
61,D1,I0,0,CHARLS,education,high
61,R1,I0,0,CHARLS,education,high
61,D2,I0,0,CHARLS,education,high
61,DEAD,I0,0,CHARLS,education,high
61,I0,D1,0.0324720666645384,CHARLS,education,high
61,D1,D1,0.703649509319932,CHARLS,education,high
61,R1,D1,0,CHARLS,education,high
61,D2,D1,0,CHARLS,education,high
61,DEAD,D1,0,CHARLS,education,high
61,I0,R1,0,CHARLS,education,high
61,D1,R1,0.284697714310474,CHARLS,education,high
61,R1,R1,0.880202465605118,CHARLS,education,high
61,D2,R1,0.318060173045123,CHARLS,education,high
61,DEAD,R1,0,CHARLS,education,high
61,I0,D2,0,CHARLS,education,high
61,D1,D2,0,CHARLS,education,high
61,R1,D2,0.114601505339365,CHARLS,education,high
61,D2,D2,0.67569683977846,CHARLS,education,high
61,DEAD,D2,0,CHARLS,education,high
61,I0,DEAD,0.0043103117876835,CHARLS,education,high
61,D1,DEAD,0.0116527763695941,CHARLS,education,high
61,R1,DEAD,0.00519602905551668,CHARLS,education,high
61,D2,DEAD,0.00624298717641731,CHARLS,education,high
61,DEAD,DEAD,1,CHARLS,education,high
62,I0,I0,0.961663210011631,CHARLS,education,high
62,D1,I0,0,CHARLS,education,high
62,R1,I0,0,CHARLS,education,high
62,D2,I0,0,CHARLS,education,high
62,DEAD,I0,0,CHARLS,education,high
62,I0,D1,0.0334373277628014,CHARLS,education,high
62,D1,D1,0.708832493613356,CHARLS,education,high
62,R1,D1,0,CHARLS,education,high
62,D2,D1,0,CHARLS,education,high
62,DEAD,D1,0,CHARLS,education,high
62,I0,R1,0,CHARLS,education,high
62,D1,R1,0.278531457311285,CHARLS,education,high
62,R1,R1,0.879118472480261,CHARLS,education,high
62,D2,R1,0.311408134142158,CHARLS,education,high
62,DEAD,R1,0,CHARLS,education,high
62,I0,D2,0,CHARLS,education,high
62,D1,D2,0,CHARLS,education,high
62,R1,D2,0.115269882766602,CHARLS,education,high
62,D2,D2,0.681816937215079,CHARLS,education,high
62,DEAD,D2,0,CHARLS,education,high
62,I0,DEAD,0.00489946222556716,CHARLS,education,high
62,D1,DEAD,0.0126360490753589,CHARLS,education,high
62,R1,DEAD,0.00561164475313744,CHARLS,education,high
62,D2,DEAD,0.00677492864276322,CHARLS,education,high
62,DEAD,DEAD,1,CHARLS,education,high
63,I0,I0,0.95999253915745,CHARLS,education,high
63,D1,I0,0,CHARLS,education,high
63,R1,I0,0,CHARLS,education,high
63,D2,I0,0,CHARLS,education,high
63,DEAD,I0,0,CHARLS,education,high
63,I0,D1,0.0344464817866148,CHARLS,education,high
63,D1,D1,0.7140294431167,CHARLS,education,high
63,R1,D1,0,CHARLS,education,high
63,D2,D1,0,CHARLS,education,high
63,DEAD,D1,0,CHARLS,education,high
63,I0,R1,0,CHARLS,education,high
63,D1,R1,0.272260040092085,CHARLS,education,high
63,R1,R1,0.877887583220172,CHARLS,education,high
63,D2,R1,0.304636616766409,CHARLS,education,high
63,DEAD,R1,0,CHARLS,education,high
63,I0,D2,0,CHARLS,education,high
63,D1,D2,0,CHARLS,education,high
63,R1,D2,0.116048704320815,CHARLS,education,high
63,D2,D2,0.688006569761691,CHARLS,education,high
63,DEAD,D2,0,CHARLS,education,high
63,I0,DEAD,0.00556097905593496,CHARLS,education,high
63,D1,DEAD,0.0137105167912157,CHARLS,education,high
63,R1,DEAD,0.00606371245901356,CHARLS,education,high
63,D2,DEAD,0.00735681347190025,CHARLS,education,high
63,DEAD,DEAD,1,CHARLS,education,high
64,I0,I0,0.958191500043809,CHARLS,education,high
64,D1,I0,0,CHARLS,education,high
64,R1,I0,0,CHARLS,education,high
64,D2,I0,0,CHARLS,education,high
64,DEAD,I0,0,CHARLS,education,high
64,I0,D1,0.0355104110634339,CHARLS,education,high
64,D1,D1,0.719314692925645,CHARLS,education,high
64,R1,D1,0,CHARLS,education,high
64,D2,D1,0,CHARLS,education,high
64,DEAD,D1,0,CHARLS,education,high
64,I0,R1,0,CHARLS,education,high
64,D1,R1,0.265794746325547,CHARLS,education,high
64,R1,R1,0.876447932859585,CHARLS,education,high
64,D2,R1,0.297648610241337,CHARLS,education,high
64,DEAD,R1,0,CHARLS,education,high
64,I0,D2,0,CHARLS,education,high
64,D1,D2,0,CHARLS,education,high
64,R1,D2,0.116994623552771,CHARLS,education,high
64,D2,D2,0.694354773789999,CHARLS,education,high
64,DEAD,D2,0,CHARLS,education,high
64,I0,DEAD,0.00629808889275665,CHARLS,education,high
64,D1,DEAD,0.0148905607488078,CHARLS,education,high
64,R1,DEAD,0.00655744358764437,CHARLS,education,high
64,D2,DEAD,0.00799661596866432,CHARLS,education,high
64,DEAD,DEAD,1,CHARLS,education,high
65,I0,I0,0.956246435112541,CHARLS,education,high
65,D1,I0,0,CHARLS,education,high
65,R1,I0,0,CHARLS,education,high
65,D2,I0,0,CHARLS,education,high
65,DEAD,I0,0,CHARLS,education,high
65,I0,D1,0.0366412229465089,CHARLS,education,high
65,D1,D1,0.724751967076723,CHARLS,education,high
65,R1,D1,0,CHARLS,education,high
65,D2,D1,0,CHARLS,education,high
65,DEAD,D1,0,CHARLS,education,high
65,I0,R1,0,CHARLS,education,high
65,D1,R1,0.259054800867605,CHARLS,education,high
65,R1,R1,0.874734616343405,CHARLS,education,high
65,D2,R1,0.290355276987751,CHARLS,education,high
65,DEAD,R1,0,CHARLS,education,high
65,I0,D2,0,CHARLS,education,high
65,D1,D2,0,CHARLS,education,high
65,R1,D2,0.118166420482471,CHARLS,education,high
65,D2,D2,0.700940914289402,CHARLS,education,high
65,DEAD,D2,0,CHARLS,education,high
65,I0,DEAD,0.00711234194094986,CHARLS,education,high
65,D1,DEAD,0.0161932320556721,CHARLS,education,high
65,R1,DEAD,0.00709896317412387,CHARLS,education,high
65,D2,DEAD,0.00870380872284781,CHARLS,education,high
65,DEAD,DEAD,1,CHARLS,education,high
66,I0,I0,0.954144540838104,CHARLS,education,high
66,D1,I0,0,CHARLS,education,high
66,R1,I0,0,CHARLS,education,high
66,D2,I0,0,CHARLS,education,high
66,DEAD,I0,0,CHARLS,education,high
66,I0,D1,0.0378524266827599,CHARLS,education,high
66,D1,D1,0.730393022096438,CHARLS,education,high
66,R1,D1,0,CHARLS,education,high
66,D2,D1,0,CHARLS,education,high
66,DEAD,D1,0,CHARLS,education,high
66,I0,R1,0,CHARLS,education,high
66,D1,R1,0.251968219414311,CHARLS,education,high
66,R1,R1,0.872678661215139,CHARLS,education,high
66,D2,R1,0.282676898895806,CHARLS,education,high
66,DEAD,R1,0,CHARLS,education,high
66,I0,D2,0,CHARLS,education,high
66,D1,D2,0,CHARLS,education,high
66,R1,D2,0.119625864306474,CHARLS,education,high
66,D2,D2,0.70783344912207,CHARLS,education,high
66,DEAD,D2,0,CHARLS,education,high
66,I0,DEAD,0.0080030324791364,CHARLS,education,high
66,D1,DEAD,0.0176387584892513,CHARLS,education,high
66,R1,DEAD,0.00769547447838699,CHARLS,education,high
66,D2,DEAD,0.00948965198212401,CHARLS,education,high
66,DEAD,DEAD,1,CHARLS,education,high
67,I0,I0,0.951874267277121,CHARLS,education,high
