exposure,block,min_contribution_years,max_contribution_years,country_range_years,point_range_ge_0_75y
education,onset,-3.42965847665814,-1.99509584067465,1.43456263598349,TRUE
education,recovery,-0.946923212695705,-0.510895939411163,0.436027273284542,FALSE
education,relapse,-0.787905496075794,-0.253215571940866,0.534689924134928,FALSE
education,post_disability_mortality,-0.377345477468457,-0.137438920689443,0.239906556779014,FALSE
education,pre_disability_mortality,-1.29900380191074,0.0389738716838695,1.33797767359461,TRUE
wealth,onset,-2.91469928271265,-0.933140024727684,1.98155925798496,TRUE
wealth,recovery,-0.916159834013937,-0.0546100543312221,0.861549779682715,TRUE
wealth,relapse,-0.552514405408399,0.214309659028474,0.766824064436873,TRUE
wealth,post_disability_mortality,-0.473769205886957,-0.0275699025810594,0.446199303305898,FALSE
wealth,pre_disability_mortality,-1.60981544407172,-0.0818257016266741,1.52798974244504,TRUE
