cohort,exposure,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
CHARLS,education,onset,(Intercept),-2.93721590824041,0.172095029213853,-17.0674070114512,2.59470821333155e-65,0.0530131168539118,0.0378349437521126,0.0742802890623984
CHARLS,education,onset,sesmiddle,0.196574786922472,0.18412173997117,1.06763485372912,0.285685255282092,1.21722635008693,0.848484193344712,1.74621990482268
CHARLS,education,onset,seslow,0.848697056700572,0.164280601920236,5.16614284815346,2.38974179445778e-07,2.33660040983888,1.69334705618704,3.22420702555388
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.847321974212532,0.105029020499954,8.06750334506739,7.17502404567557e-16,2.33338959960416,1.89926143851718,2.86674962863024
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.08163774972471,0.222520926182442,4.86083609430013,1.1689100695214e-06,2.94950615049175,1.90693403379429,4.56208047977349
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",1.30265721367521,0.323504158339705,4.02670933307547,5.65628834418262e-05,3.67905973844093,1.9514819598141,6.93600086382889
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.842396423936256,0.449617181232152,1.87358592842852,0.0609875190246882,2.32192463063704,0.961891855189331,5.6049273743957
CHARLS,education,onset,sex_factormale,-0.415516267716449,0.0366551538800625,-11.3358211256196,8.72102919968637e-30,0.659999456322067,0.614245637771373,0.709161377076897
CHARLS,education,onset,period_factor2,-0.1611447203337,0.0495472961592512,-3.2523413551319,0.00114458470789443,0.851168880748834,0.772396375615694,0.937974965221344
CHARLS,education,onset,period_factor3,-0.645141427208305,0.0506926710188891,-12.7265226755937,4.21183108308463e-37,0.524588345794773,0.47497217177273,0.57938748604281
CHARLS,education,onset,period_factor4,-0.45799536334105,0.0496539129592567,-9.22375168532751,2.86882912841896e-20,0.63255040912108,0.57389029034071,0.697206464046814
CHARLS,education,recovery,(Intercept),-0.89691968003788,0.196889471500779,-4.55544764888218,5.22741338737713e-06,0.407823955203398,0.277253495748696,0.599885595630136
CHARLS,education,recovery,sesmiddle,-0.485350007777926,0.210991334479044,-2.30033147558546,0.0214294477577026,0.6154817356653,0.407019972054367,0.930710512866358
CHARLS,education,recovery,seslow,-0.330454540282244,0.189953086465621,-1.73966396877711,0.0819180396515922,0.718597027891259,0.495215335520184,1.0427417154837
CHARLS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.92942400560166,0.101300170496738,-9.17495006221719,4.51783815466195e-20,0.39478103656164,0.323688922617056,0.481487180866755
CHARLS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-1.62038083499983,0.220635394095485,-7.34415637002724,2.07060935163264e-13,0.19782334668191,0.128371585694868,0.30484998904236
CHARLS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-3.09187989392635,0.470326023889682,-6.57390775095951,4.90116035802929e-11,0.0454164959085206,0.0180660841788018,0.114172948614339
CHARLS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-3.13717080407486,0.67329926673517,-4.65940029800866,3.1713195497529e-06,0.0434054268062197,0.0115989886864175,0.162430633149622
CHARLS,education,recovery,origin_factorD2,0.230245493841458,0.0557819327574412,4.12759978831575,3.66569374253367e-05,1.25890902641004,1.12852661977982,1.40435494298388
CHARLS,education,recovery,sex_factormale,0.126591235367525,0.0347437658868439,3.6435669000251,0.000268885722237096,1.13495299430616,1.06023804559676,1.21493310359326
CHARLS,education,recovery,period_factor2,-0.14069138540056,0.0511332932187533,-2.75146341149333,0.00593296471500707,0.868757381541722,0.785910280425683,0.960337848710198
CHARLS,education,recovery,period_factor3,-0.619397543125419,0.0496419667534352,-12.4772966027289,9.9301216297409e-36,0.538268623563473,0.488363243805005,0.593273787059621
CHARLS,education,recovery,period_factor4,-0.205275331069855,0.048675770439823,-4.21719736975983,2.47357458548232e-05,0.814423049569464,0.740314753142394,0.895949865722112
CHARLS,education,relapse,(Intercept),-1.64655665460531,0.340494086449026,-4.83578634735499,1.32620308829428e-06,0.192712342629181,0.0988724084064012,0.375615883138762
