cohort,exposure,estimand,block,contribution_years,total_low_minus_high_gap,contribution_percent
CHARLS,education,dfle,onset,-3.42965847665814,-6.02438705255925,56.9295838188413
CHARLS,education,dfle,recovery,-0.946923212695705,-6.02438705255925,15.7181669178018
CHARLS,education,dfle,relapse,-0.787905496075794,-6.02438705255925,13.0786001829195
CHARLS,education,dfle,post_disability_mortality,-0.377345477468457,-6.02438705255925,6.26363270115845
CHARLS,education,dfle,pre_disability_mortality,-0.482554389661146,-6.02438705255925,8.01001637927878
CHARLS,education,disabled_years,onset,2.95296155043223,2.96486329719898,99.5985735066436
CHARLS,education,disabled_years,recovery,0.523921228292961,2.96486329719898,17.6710079276818
CHARLS,education,disabled_years,relapse,0.730441732793058,2.96486329719898,24.6366074780963
CHARLS,education,disabled_years,post_disability_mortality,-1.01099346293101,2.96486329719898,-34.0991594413857
CHARLS,education,disabled_years,pre_disability_mortality,-0.231467751388256,2.96486329719898,-7.80702947103607
CHARLS,education,total_life_expectancy,onset,-0.476696926225915,-3.05952375536026,15.5807558411908
CHARLS,education,total_life_expectancy,recovery,-0.423001984402745,-3.05952375536026,13.8257460384692
CHARLS,education,total_life_expectancy,relapse,-0.0574637632827368,-3.05952375536026,1.87819307439796
CHARLS,education,total_life_expectancy,post_disability_mortality,-1.38833894039946,-3.05952375536026,45.3776159759212
CHARLS,education,total_life_expectancy,pre_disability_mortality,-0.714022141049403,-3.05952375536026,23.3376890700208
CHARLS,wealth,dfle,onset,-2.21318727906642,-3.75592195428928,58.9252733683391
CHARLS,wealth,dfle,recovery,-0.88575985306015,-3.75592195428928,23.5830207294006
CHARLS,wealth,dfle,relapse,-0.189084449918607,-3.75592195428928,5.03430188965115
CHARLS,wealth,dfle,post_disability_mortality,-0.386064670617423,-3.75592195428928,10.2788256869005
CHARLS,wealth,dfle,pre_disability_mortality,-0.0818257016266741,-3.75592195428928,2.17857832570852
CHARLS,wealth,disabled_years,onset,1.58370801180901,1.0887624381692,145.459464460593
CHARLS,wealth,disabled_years,recovery,0.664704011052314,1.0887624381692,61.0513356954197
CHARLS,wealth,disabled_years,relapse,0.156981023717546,1.0887624381692,14.4182989984038
CHARLS,wealth,disabled_years,post_disability_mortality,-1.24582693805814,1.0887624381692,-114.425966067772
CHARLS,wealth,disabled_years,pre_disability_mortality,-0.0708036703515336,1.0887624381692,-6.50313308664404
