cohort,exposure,ses,age,age_rate_evaluated,tail_rate_held_at_95,process,origin_state,destination,annual_hazard,standardization_rows
CHARLS,education,high,60,60,FALSE,onset,I0,D1,0.0321115548336288,16274
CHARLS,education,high,61,61,FALSE,onset,I0,D1,0.0330843271289973,16274
CHARLS,education,high,62,62,FALSE,onset,I0,D1,0.0340951346414266,16274
CHARLS,education,high,63,63,FALSE,onset,I0,D1,0.0351544879444278,16274
CHARLS,education,high,64,64,FALSE,onset,I0,D1,0.0362740909734636,16274
CHARLS,education,high,65,65,FALSE,onset,I0,D1,0.0374669918308045,16274
CHARLS,education,high,66,66,FALSE,onset,I0,D1,0.0387477751928065,16274
CHARLS,education,high,67,67,FALSE,onset,I0,D1,0.0401328042388673,16274
CHARLS,education,high,68,68,FALSE,onset,I0,D1,0.0416405218081135,16274
CHARLS,education,high,69,69,FALSE,onset,I0,D1,0.0432918228173927,16274
CHARLS,education,high,70,70,FALSE,onset,I0,D1,0.0451105129886754,16274
CHARLS,education,high,71,71,FALSE,onset,I0,D1,0.0471184007702939,16274
CHARLS,education,high,72,72,FALSE,onset,I0,D1,0.0493175125981186,16274
CHARLS,education,high,73,73,FALSE,onset,I0,D1,0.051703050046964,16274
CHARLS,education,high,74,74,FALSE,onset,I0,D1,0.0542677818490492,16274
CHARLS,education,high,75,75,FALSE,onset,I0,D1,0.0570013859662175,16274
CHARLS,education,high,76,76,FALSE,onset,I0,D1,0.0598897815637611,16274
CHARLS,education,high,77,77,FALSE,onset,I0,D1,0.0629144699125428,16274
CHARLS,education,high,78,78,FALSE,onset,I0,D1,0.0660519105624457,16274
CHARLS,education,high,79,79,FALSE,onset,I0,D1,0.0692729666226107,16274
CHARLS,education,high,80,80,FALSE,onset,I0,D1,0.072542460186999,16274
CHARLS,education,high,81,81,FALSE,onset,I0,D1,0.07581805305866,16274
CHARLS,education,high,82,82,FALSE,onset,I0,D1,0.0790473886510145,16274
CHARLS,education,high,83,83,FALSE,onset,I0,D1,0.0821703069164554,16274
CHARLS,education,high,84,84,FALSE,onset,I0,D1,0.085120213302001,16274
CHARLS,education,high,85,85,FALSE,onset,I0,D1,0.0878251378782245,16274
CHARLS,education,high,86,86,FALSE,onset,I0,D1,0.0902092870754434,16274
CHARLS,education,high,87,87,FALSE,onset,I0,D1,0.0921951052930225,16274
CHARLS,education,high,88,88,FALSE,onset,I0,D1,0.0937058302225329,16274
CHARLS,education,high,89,89,FALSE,onset,I0,D1,0.0946684846624364,16274
CHARLS,education,high,90,90,FALSE,onset,I0,D1,0.0950172010561471,16274
CHARLS,education,high,91,91,FALSE,onset,I0,D1,0.0947270720073875,16274
CHARLS,education,high,92,92,FALSE,onset,I0,D1,0.0939063010808267,16274
CHARLS,education,high,93,93,FALSE,onset,I0,D1,0.0926993972220227,16274
CHARLS,education,high,94,94,FALSE,onset,I0,D1,0.0912501225076391,16274
CHARLS,education,high,95,95,FALSE,onset,I0,D1,0.0896968491045036,16274
CHARLS,education,high,96,95,TRUE,onset,I0,D1,0.0896968491045036,16274
CHARLS,education,high,97,95,TRUE,onset,I0,D1,0.0896968491045036,16274
CHARLS,education,high,98,95,TRUE,onset,I0,D1,0.0896968491045036,16274
CHARLS,education,high,99,95,TRUE,onset,I0,D1,0.0896968491045036,16274
CHARLS,education,middle,60,60,FALSE,onset,I0,D1,0.0390870306857542,16274
CHARLS,education,middle,61,61,FALSE,onset,I0,D1,0.0402711147563114,16274
CHARLS,education,middle,62,62,FALSE,onset,I0,D1,0.0415014962953062,16274
CHARLS,education,middle,63,63,FALSE,onset,I0,D1,0.0427909690497708,16274
CHARLS,education,middle,64,64,FALSE,onset,I0,D1,0.0441537793583503,16274
CHARLS,education,middle,65,65,FALSE,onset,I0,D1,0.045605809714947,16274
CHARLS,education,middle,66,66,FALSE,onset,I0,D1,0.0471648129719287,16274
CHARLS,education,middle,67,67,FALSE,onset,I0,D1,0.0488507068224297,16274
CHARLS,education,middle,68,68,FALSE,onset,I0,D1,0.0506859403762052,16274
CHARLS,education,middle,69,69,FALSE,onset,I0,D1,0.0526959474766249,16274
CHARLS,education,middle,70,70,FALSE,onset,I0,D1,0.0549097050757544,16274
CHARLS,education,middle,71,71,FALSE,onset,I0,D1,0.057353758991558,16274
CHARLS,education,middle,72,72,FALSE,onset,I0,D1,0.0600305758551741,16274
CHARLS,education,middle,73,73,FALSE,onset,I0,D1,0.0629343148970278,16274
CHARLS,education,middle,74,74,FALSE,onset,I0,D1,0.0660561740274318,16274
CHARLS,education,middle,75,75,FALSE,onset,I0,D1,0.0693835889895552,16274
CHARLS,education,middle,76,76,FALSE,onset,I0,D1,0.0728994202203604,16274
CHARLS,education,middle,77,77,FALSE,onset,I0,D1,0.0765811505792984,16274
CHARLS,education,middle,78,78,FALSE,onset,I0,D1,0.0804001260101941,16274
CHARLS,education,middle,79,79,FALSE,onset,I0,D1,0.0843208803217341,16274
CHARLS,education,middle,80,80,FALSE,onset,I0,D1,0.0883005940397472,16274
CHARLS,education,middle,81,81,FALSE,onset,I0,D1,0.0922877319952898,16274
CHARLS,education,middle,82,82,FALSE,onset,I0,D1,0.0962185643715773,16274
CHARLS,education,middle,83,83,FALSE,onset,I0,D1,0.10001986277344,16274
CHARLS,education,middle,84,84,FALSE,onset,I0,D1,0.103610566556216,16274
CHARLS,education,middle,85,85,FALSE,onset,I0,D1,0.106903072025393,16274
CHARLS,education,middle,86,86,FALSE,onset,I0,D1,0.109805121250786,16274
CHARLS,education,middle,87,87,FALSE,onset,I0,D1,0.112222311511706,16274
CHARLS,education,middle,88,88,FALSE,onset,I0,D1,0.114061205703639,16274
CHARLS,education,middle,89,89,FALSE,onset,I0,D1,0.115232974053918,16274
