cohort,phase,replicate,seed,exposure,status,error_message,unique_sampled_people,elapsed_seconds_replicate_exposure
CHARLS,final,1,151001,education,valid,"",8156,3.66
CHARLS,final,1,151001,wealth,valid,"",8156,7.19
CHARLS,final,2,151002,education,valid,"",8128,3.4
CHARLS,final,2,151002,wealth,valid,"",8128,7.08
CHARLS,final,3,151003,education,valid,"",8171,3.58
CHARLS,final,3,151003,wealth,valid,"",8171,7.14
CHARLS,final,4,151004,education,valid,"",8113,3.65
CHARLS,final,4,151004,wealth,valid,"",8113,7.31
CHARLS,final,5,151005,education,valid,"",8153,3.42
CHARLS,final,5,151005,wealth,valid,"",8153,7.17
CHARLS,final,6,151006,education,valid,"",8137,3.38999999999999
CHARLS,final,6,151006,wealth,valid,"",8137,7.17
CHARLS,final,7,151007,education,valid,"",8181,3.81
CHARLS,final,7,151007,wealth,valid,"",8181,7.43
CHARLS,final,8,151008,education,valid,"",8184,3.56
CHARLS,final,8,151008,wealth,valid,"",8184,7.33000000000001
CHARLS,final,9,151009,education,valid,"",8249,3.48
CHARLS,final,9,151009,wealth,valid,"",8249,7.26000000000001
CHARLS,final,10,151010,education,valid,"",8135,3.56
CHARLS,final,10,151010,wealth,valid,"",8135,7.34
CHARLS,final,11,151011,education,valid,"",8187,3.56
CHARLS,final,11,151011,wealth,valid,"",8187,7.36
CHARLS,final,12,151012,education,valid,"",8135,3.55999999999999
CHARLS,final,12,151012,wealth,valid,"",8135,7.27
CHARLS,final,13,151013,education,valid,"",8103,3.78
CHARLS,final,13,151013,wealth,valid,"",8103,7.34
CHARLS,final,14,151014,education,valid,"",8106,3.47
CHARLS,final,14,151014,wealth,valid,"",8106,7.3
CHARLS,final,15,151015,education,valid,"",8203,3.47
CHARLS,final,15,151015,wealth,valid,"",8203,7.64
CHARLS,final,16,151016,education,valid,"",8143,4.8
CHARLS,final,16,151016,wealth,valid,"",8143,9.86
CHARLS,final,17,151017,education,valid,"",8219,4.53999999999999
CHARLS,final,17,151017,wealth,valid,"",8219,9.09
CHARLS,final,18,151018,education,valid,"",8135,4.06
CHARLS,final,18,151018,wealth,valid,"",8135,8.33000000000001
CHARLS,final,19,151019,education,valid,"",8145,4.13
CHARLS,final,19,151019,wealth,valid,"",8145,8.20999999999998
CHARLS,final,20,151020,education,valid,"",8123,3.87
CHARLS,final,20,151020,wealth,valid,"",8123,7.40000000000001
CHARLS,final,21,151021,education,valid,"",8170,3.63
CHARLS,final,21,151021,wealth,valid,"",8170,7.15000000000001
CHARLS,final,22,151022,education,valid,"",8186,3.36000000000001
CHARLS,final,22,151022,wealth,valid,"",8186,6.87000000000001
CHARLS,final,23,151023,education,valid,"",8078,3.21000000000001
CHARLS,final,23,151023,wealth,valid,"",8078,6.56
CHARLS,final,24,151024,education,valid,"",8194,3.25
CHARLS,final,24,151024,wealth,valid,"",8194,6.63999999999999
CHARLS,final,25,151025,education,valid,"",8151,3.31999999999999
CHARLS,final,25,151025,wealth,valid,"",8151,6.69
CHARLS,final,26,151026,education,valid,"",8141,3.54000000000002
CHARLS,final,26,151026,wealth,valid,"",8141,7.01000000000002
CHARLS,final,27,151027,education,valid,"",8151,3.74000000000001
CHARLS,final,27,151027,wealth,valid,"",8151,7.33000000000001
CHARLS,final,28,151028,education,valid,"",8130,3.45999999999998
CHARLS,final,28,151028,wealth,valid,"",8130,6.97
CHARLS,final,29,151029,education,valid,"",8205,3.41
CHARLS,final,29,151029,wealth,valid,"",8205,6.66
CHARLS,final,30,151030,education,valid,"",8110,3.24000000000001
CHARLS,final,30,151030,wealth,valid,"",8110,6.69
CHARLS,final,31,151031,education,valid,"",8163,3.68000000000001
CHARLS,final,31,151031,wealth,valid,"",8163,6.98000000000002
CHARLS,final,32,151032,education,valid,"",8169,3.25
CHARLS,final,32,151032,wealth,valid,"",8169,6.80000000000001
CHARLS,final,33,151033,education,valid,"",8176,4.17000000000002
CHARLS,final,33,151033,wealth,valid,"",8176,8.57000000000002
CHARLS,final,34,151034,education,valid,"",8125,3.58000000000001
CHARLS,final,34,151034,wealth,valid,"",8125,7.56999999999999
CHARLS,final,35,151035,education,valid,"",8197,3.43000000000001
CHARLS,final,35,151035,wealth,valid,"",8197,7.06
CHARLS,final,36,151036,education,valid,"",8146,3.69
CHARLS,final,36,151036,wealth,valid,"",8146,7
CHARLS,final,37,151037,education,valid,"",8157,3.19
CHARLS,final,37,151037,wealth,valid,"",8157,6.42000000000002
CHARLS,final,38,151038,education,valid,"",8142,3.11000000000001
CHARLS,final,38,151038,wealth,valid,"",8142,6.5
CHARLS,final,39,151039,education,valid,"",8139,3.19999999999999
CHARLS,final,39,151039,wealth,valid,"",8139,6.44
CHARLS,final,40,151040,education,valid,"",8165,3.17000000000002
CHARLS,final,40,151040,wealth,valid,"",8165,6.39999999999998
CHARLS,final,41,151041,education,valid,"",8166,3.22000000000003
CHARLS,final,41,151041,wealth,valid,"",8166,6.47000000000003
CHARLS,final,42,151042,education,valid,"",8155,3.35000000000002
CHARLS,final,42,151042,wealth,valid,"",8155,6.63999999999999
CHARLS,final,43,151043,education,valid,"",8184,3.19
CHARLS,final,43,151043,wealth,valid,"",8184,6.56999999999999
CHARLS,final,44,151044,education,valid,"",8144,3.13999999999999
CHARLS,final,44,151044,wealth,valid,"",8144,6.60000000000002
CHARLS,final,45,151045,education,valid,"",8135,3.19999999999999
CHARLS,final,45,151045,wealth,valid,"",8135,6.54999999999996
CHARLS,final,46,151046,education,valid,"",8152,3.22000000000003
CHARLS,final,46,151046,wealth,valid,"",8152,6.49000000000001
CHARLS,final,47,151047,education,valid,"",8151,3.13999999999999
CHARLS,final,47,151047,wealth,valid,"",8151,6.69999999999999
CHARLS,final,48,151048,education,valid,"",8161,3.20999999999998
CHARLS,final,48,151048,wealth,valid,"",8161,6.63
CHARLS,final,49,151049,education,valid,"",8122,3.16999999999996
CHARLS,final,49,151049,wealth,valid,"",8122,6.52999999999997
CHARLS,final,50,151050,education,valid,"",8119,3.25999999999999
CHARLS,final,50,151050,wealth,valid,"",8119,6.72000000000003
CHARLS,final,51,151051,education,valid,"",8182,3.29999999999995
CHARLS,final,51,151051,wealth,valid,"",8182,7
CHARLS,final,52,151052,education,valid,"",8170,3.35999999999996
CHARLS,final,52,151052,wealth,valid,"",8170,6.68000000000001
CHARLS,final,53,151053,education,valid,"",8202,3.25
CHARLS,final,53,151053,wealth,valid,"",8202,6.64000000000004
CHARLS,final,54,151054,education,valid,"",8150,3.21000000000004
CHARLS,final,54,151054,wealth,valid,"",8150,6.61000000000001
CHARLS,final,55,151055,education,valid,"",8162,3.28000000000003
CHARLS,final,55,151055,wealth,valid,"",8162,6.69
CHARLS,final,56,151056,education,valid,"",8170,3.25
CHARLS,final,56,151056,wealth,valid,"",8170,6.69
CHARLS,final,57,151057,education,valid,"",8148,3.30000000000001
CHARLS,final,57,151057,wealth,valid,"",8148,6.68000000000001
CHARLS,final,58,151058,education,valid,"",8103,3.21999999999997
CHARLS,final,58,151058,wealth,valid,"",8103,6.54999999999996
CHARLS,final,59,151059,education,valid,"",8147,3.19
CHARLS,final,59,151059,wealth,valid,"",8147,6.63
CHARLS,final,60,151060,education,valid,"",8138,3.25999999999999
CHARLS,final,60,151060,wealth,valid,"",8138,6.69999999999999
CHARLS,final,61,151061,education,valid,"",8146,3.26999999999998
CHARLS,final,61,151061,wealth,valid,"",8146,6.70999999999998
CHARLS,final,62,151062,education,valid,"",8113,3.28000000000003
CHARLS,final,62,151062,wealth,valid,"",8113,6.73000000000002
CHARLS,final,63,151063,education,valid,"",8169,3.22999999999996
CHARLS,final,63,151063,wealth,valid,"",8169,6.51999999999998
CHARLS,final,64,151064,education,valid,"",8117,3.32999999999998
CHARLS,final,64,151064,wealth,valid,"",8117,6.71999999999997
CHARLS,final,65,151065,education,valid,"",8151,3.19
CHARLS,final,65,151065,wealth,valid,"",8151,6.55000000000001
CHARLS,final,66,151066,education,valid,"",8148,3.38
CHARLS,final,66,151066,wealth,valid,"",8148,6.81
CHARLS,final,67,151067,education,valid,"",8205,3.38999999999999
CHARLS,final,67,151067,wealth,valid,"",8205,6.87000000000001
CHARLS,final,68,151068,education,valid,"",8127,3.26000000000005
CHARLS,final,68,151068,wealth,valid,"",8127,6.61000000000001
CHARLS,final,69,151069,education,valid,"",8135,3.25999999999999
CHARLS,final,69,151069,wealth,valid,"",8135,6.81
CHARLS,final,70,151070,education,valid,"",8146,3.31
CHARLS,final,70,151070,wealth,valid,"",8146,6.93000000000001
CHARLS,final,71,151071,education,valid,"",8157,3.50999999999999
CHARLS,final,71,151071,wealth,valid,"",8157,7.00999999999999
CHARLS,final,72,151072,education,valid,"",8143,3.31
CHARLS,final,72,151072,wealth,valid,"",8143,6.72999999999996
CHARLS,final,73,151073,education,valid,"",8141,3.20000000000005
CHARLS,final,73,151073,wealth,valid,"",8141,6.86000000000001
