wealth_entry_wave,q33,q67,cut_method,resampled_person_frequency,unique_sampled_persons,replicate,cohort
3,25850,164000,weighted_empirical,5488,3481,1,CHARLS
4,15530,191000,weighted_empirical,4325,2725,1,CHARLS
3,20780,143610,weighted_empirical,5483,3439,2,CHARLS
4,15180,191225,weighted_empirical,4423,2786,2,CHARLS
3,20710,144700,weighted_empirical,5462,3475,3,CHARLS
4,16290,201670,weighted_empirical,4368,2757,3,CHARLS
3,21250,153080,weighted_empirical,5420,3409,4,CHARLS
4,15406,191000,weighted_empirical,4430,2783,4,CHARLS
3,21650,152450,weighted_empirical,5453,3451,5,CHARLS
4,14700,179610,weighted_empirical,4414,2781,5,CHARLS
3,21400,154400,weighted_empirical,5492,3442,6,CHARLS
4,15060,187828,weighted_empirical,4304,2750,6,CHARLS
3,22200,152550,weighted_empirical,5403,3462,7,CHARLS
4,13100.009765625,179610,weighted_empirical,4335,2769,7,CHARLS
3,20900,144700,weighted_empirical,5456,3455,8,CHARLS
4,16950,202450,weighted_empirical,4341,2796,8,CHARLS
3,22200,152800,weighted_empirical,5442,3499,9,CHARLS
4,20775,213310,weighted_empirical,4423,2818,9,CHARLS
3,21400,144100,weighted_empirical,5455,3436,10,CHARLS
4,14800,204240,weighted_empirical,4442,2779,10,CHARLS
3,23100,155495,weighted_empirical,5485,3493,11,CHARLS
4,15300,208700,weighted_empirical,4408,2777,11,CHARLS
3,21050,144110,weighted_empirical,5591,3457,12,CHARLS
4,18700,209900,weighted_empirical,4360,2754,12,CHARLS
3,22315,151050,weighted_empirical,5510,3461,13,CHARLS
4,15885,208610,weighted_empirical,4350,2715,13,CHARLS
3,22000,155495,weighted_empirical,5517,3424,14,CHARLS
4,14640,203200,weighted_empirical,4336,2757,14,CHARLS
3,22630,150150,weighted_empirical,5531,3493,15,CHARLS
4,15410,207520,weighted_empirical,4301,2759,15,CHARLS
3,22630,165500,weighted_empirical,5476,3446,16,CHARLS
4,13310,177800,weighted_empirical,4378,2773,16,CHARLS
3,20710,140570,weighted_empirical,5481,3500,17,CHARLS
4,16950,201184,weighted_empirical,4349,2752,17,CHARLS
3,20070,151840,weighted_empirical,5512,3465,18,CHARLS
4,16380,185070,weighted_empirical,4452,2803,18,CHARLS
3,20780,146100,weighted_empirical,5434,3446,19,CHARLS
4,17010,195820,weighted_empirical,4433,2790,19,CHARLS
3,23300,157610,weighted_empirical,5425,3423,20,CHARLS
4,15310.5,201680,weighted_empirical,4314,2745,20,CHARLS
3,20820,137300,weighted_empirical,5577,3490,21,CHARLS
4,16500,209900,weighted_empirical,4299,2765,21,CHARLS
3,22985,152700,weighted_empirical,5528,3481,22,CHARLS
