cohort,phase,replicate,seed,exposure,status,error_message,unique_sampled_people,elapsed_seconds_replicate_exposure
ELSA,final,1,351001,education,valid,"",8970,3.94
ELSA,final,1,351001,wealth,valid,"",8970,7.78
ELSA,final,2,351002,education,valid,"",9001,3.84
ELSA,final,2,351002,wealth,valid,"",9001,8
ELSA,final,3,351003,education,valid,"",8985,3.92
ELSA,final,3,351003,wealth,valid,"",8985,7.9
ELSA,final,4,351004,education,valid,"",9055,3.97
ELSA,final,4,351004,wealth,valid,"",9055,7.86
ELSA,final,5,351005,education,valid,"",8968,4
ELSA,final,5,351005,wealth,valid,"",8968,7.86000000000001
ELSA,final,6,351006,education,valid,"",9090,4.15
ELSA,final,6,351006,wealth,valid,"",9090,8.29
ELSA,final,7,351007,education,valid,"",9004,4.03
ELSA,final,7,351007,wealth,valid,"",9004,8.14
ELSA,final,8,351008,education,valid,"",8953,3.91
ELSA,final,8,351008,wealth,valid,"",8953,7.86000000000001
ELSA,final,9,351009,education,valid,"",9044,4.11
ELSA,final,9,351009,wealth,valid,"",9044,8.36
ELSA,final,10,351010,education,valid,"",9008,4.04000000000001
ELSA,final,10,351010,wealth,valid,"",9008,8.16000000000001
ELSA,final,11,351011,education,valid,"",9004,4.05
ELSA,final,11,351011,wealth,valid,"",9004,8.14
ELSA,final,12,351012,education,valid,"",9037,4.17999999999999
ELSA,final,12,351012,wealth,valid,"",9037,8.15000000000001
ELSA,final,13,351013,education,valid,"",9018,4.09999999999999
ELSA,final,13,351013,wealth,valid,"",9018,8.11
ELSA,final,14,351014,education,valid,"",9010,4.57000000000001
ELSA,final,14,351014,wealth,valid,"",9010,9.87
ELSA,final,15,351015,education,valid,"",8946,5.40000000000001
ELSA,final,15,351015,wealth,valid,"",8946,10.25
ELSA,final,16,351016,education,valid,"",8948,4.92000000000002
ELSA,final,16,351016,wealth,valid,"",8948,9.52000000000001
ELSA,final,17,351017,education,valid,"",8995,4.58999999999998
ELSA,final,17,351017,wealth,valid,"",8995,9.41999999999999
ELSA,final,18,351018,education,valid,"",8983,4.34
ELSA,final,18,351018,wealth,valid,"",8983,8.35999999999999
ELSA,final,19,351019,education,valid,"",8961,4.09
ELSA,final,19,351019,wealth,valid,"",8961,7.97
ELSA,final,20,351020,education,valid,"",9003,3.72
ELSA,final,20,351020,wealth,valid,"",9003,7.51000000000002
ELSA,final,21,351021,education,valid,"",8988,3.71000000000001
ELSA,final,21,351021,wealth,valid,"",8988,7.42000000000002
ELSA,final,22,351022,education,valid,"",9045,3.63
ELSA,final,22,351022,wealth,valid,"",9045,7.43000000000001
ELSA,final,23,351023,education,valid,"",9071,3.69999999999999
ELSA,final,23,351023,wealth,valid,"",9071,7.67999999999998
ELSA,final,24,351024,education,valid,"",8955,3.69000000000003
ELSA,final,24,351024,wealth,valid,"",8955,7.86000000000001
ELSA,final,25,351025,education,valid,"",8983,3.90000000000001
ELSA,final,25,351025,wealth,valid,"",8983,7.78
ELSA,final,26,351026,education,valid,"",8975,3.83000000000001
ELSA,final,26,351026,wealth,valid,"",8975,7.5
ELSA,final,27,351027,education,valid,"",8958,3.67000000000002
ELSA,final,27,351027,wealth,valid,"",8958,7.48000000000002
ELSA,final,28,351028,education,valid,"",9004,4.22
ELSA,final,28,351028,wealth,valid,"",9004,8.03999999999999
ELSA,final,29,351029,education,valid,"",8967,3.66
ELSA,final,29,351029,wealth,valid,"",8967,7.85999999999999
ELSA,final,30,351030,education,valid,"",8999,4.49000000000001
ELSA,final,30,351030,wealth,valid,"",8999,9.22
ELSA,final,31,351031,education,valid,"",8972,4.20000000000002
ELSA,final,31,351031,wealth,valid,"",8972,8.22999999999999
ELSA,final,32,351032,education,valid,"",8974,3.92000000000002
ELSA,final,32,351032,wealth,valid,"",8974,8.06
ELSA,final,33,351033,education,valid,"",8937,3.62
ELSA,final,33,351033,wealth,valid,"",8937,7.19999999999999
ELSA,final,34,351034,education,valid,"",8952,3.62
ELSA,final,34,351034,wealth,valid,"",8952,7.14000000000004
ELSA,final,35,351035,education,valid,"",8929,3.67000000000002
ELSA,final,35,351035,wealth,valid,"",8929,7.25
