wealth_entry_wave,q33,q67,cut_method,resampled_person_frequency,unique_sampled_persons,replicate,cohort
4,168550,326000,weighted_empirical,2036,1291,1,ELSA
3,164000,338300,weighted_empirical,617,392,1,ELSA
5,169700,339670,weighted_empirical,939,580,1,ELSA
10,270000,620000,weighted_empirical,861,535,1,ELSA
1,68000,188000,weighted_empirical,6516,4154,1,ELSA
6,170000,385000,weighted_empirical,791,484,1,ELSA
2,132000,286450,weighted_empirical,750,476,1,ELSA
8,195500,418000,weighted_empirical,630,385,1,ELSA
7,191000,434100,weighted_empirical,709,435,1,ELSA
9,181240,489500,weighted_empirical,312,195,1,ELSA
4,163000,318908,weighted_empirical,2110,1313,2,ELSA
3,188350,327500,weighted_empirical,606,393,2,ELSA
5,161300,333620,weighted_empirical,932,589,2,ELSA
10,260000,648000,weighted_empirical,794,526,2,ELSA
1,65000,187400,weighted_empirical,6555,4140,2,ELSA
7,179000,435200,weighted_empirical,733,436,2,ELSA
6,161000,383000,weighted_empirical,755,509,2,ELSA
2,146320,303530,weighted_empirical,743,476,2,ELSA
9,196000,482000,weighted_empirical,323,196,2,ELSA
8,182500,425500,weighted_empirical,608,382,2,ELSA
5,172000,369500,weighted_empirical,921,583,3,ELSA
4,164910,312000,weighted_empirical,2050,1297,3,ELSA
3,158000,340224,weighted_empirical,589,372,3,ELSA
10,212700,570000,weighted_empirical,846,535,3,ELSA
1,65800,188100,weighted_empirical,6648,4186,3,ELSA
7,167600,405000,weighted_empirical,702,424,3,ELSA
2,139600,322350,weighted_empirical,730,458,3,ELSA
6,161500,404100,weighted_empirical,782,508,3,ELSA
8,204100,462000,weighted_empirical,589,387,3,ELSA
9,222350,606000,weighted_empirical,307,197,3,ELSA
5,173000,339670,weighted_empirical,882,560,4,ELSA
3,183800,317007,weighted_empirical,626,405,4,ELSA
4,168704,312000,weighted_empirical,2060,1296,4,ELSA
1,67096,187500,weighted_empirical,6567,4224,4,ELSA
6,151800,377530,weighted_empirical,770,482,4,ELSA
2,149250,338500,weighted_empirical,734,470,4,ELSA
7,188000,413050,weighted_empirical,689,441,4,ELSA
8,199000,425500,weighted_empirical,614,379,4,ELSA
9,247600,587600,weighted_empirical,327,199,4,ELSA
10,231000,583000,weighted_empirical,890,558,4,ELSA
3,168280,298800,weighted_empirical,617,387,5,ELSA
4,168350,324975,weighted_empirical,2047,1298,5,ELSA
5,168000,377620,weighted_empirical,911,575,5,ELSA
1,67000,186300,weighted_empirical,6569,4126,5,ELSA
7,191000,412000,weighted_empirical,703,440,5,ELSA
