cohort,phase,replicate,seed,exposure,high_tle,low_tle,gap_tle,high_dfle,low_dfle,gap_dfle,high_disabled,low_disabled,gap_disabled,high_residual_age100,low_residual_age100,contribution_onset,contribution_recovery,contribution_relapse,contribution_post_disability_mortality,contribution_pre_disability_mortality,recovery_relapse_contribution,recovery_relapse_percent,closure_error
HRS,final,1,251001,education,27.1441620104372,23.3086987897848,-3.8354632206523,22.1409919722971,16.8292759662093,-5.31171600608776,5.00317003814008,6.47942282357553,1.47625278543546,0.102905973935731,0.0381970611575146,-2.71712390392255,-0.835021951454098,-0.439809028975458,-0.17307841040144,-1.14668271133421,-1.27483098042956,24.0003603161101,-8.88178419700125e-16
HRS,final,1,251001,wealth,26.884804715742,22.0566315395617,-4.82817317618026,21.8740042114272,15.9336633297688,-5.9403408816584,5.01080050431476,6.1229682097929,1.11216770547814,0.0933110370294252,0.0249577454478278,-2.77824850545293,-0.981110547874579,-0.347186075462478,-0.270523900226492,-1.56327185264191,-1.32829662333706,22.3606127964534,3.5527136788005e-15
HRS,final,2,251002,education,27.3806429566291,22.7138564785729,-4.66678647805618,22.072070617972,16.3958836934508,-5.67618692452115,5.3085723386571,6.31797278512207,1.00940044646497,0.103798846006742,0.0302692016856725,-2.61835708157737,-0.97705610735717,-0.395089698139505,-0.272370545279786,-1.41331349216732,-1.37214580549668,24.1737247864231,-3.5527136788005e-15
HRS,final,2,251002,wealth,26.8874267026121,22.0043282505137,-4.88309845209843,21.6893706018875,16.1286663307203,-5.56070427116714,5.19805610072465,5.87566191979336,0.67760581906871,0.0910753259184575,0.0217324554184222,-2.2456120382097,-1.20377689841971,-0.296036074409025,-0.319184969549208,-1.4960942905795,-1.49981297282874,26.9716370389526,-8.88178419700125e-16
HRS,final,3,251003,education,27.474910177747,23.03990878219,-4.43500139555701,22.3467243510984,16.1953533378542,-6.15137101324415,5.12818582664865,6.84455544433579,1.71636961768714,0.11468200428601,0.045407999129926,-2.99054886209765,-0.875019550661941,-0.537208753174068,-0.12235169570588,-1.62624215160461,-1.41222830383601,22.9579438599204,2.66453525910038e-15
HRS,final,3,251003,wealth,27.2243742969093,22.0033556576081,-5.22101863930114,22.0570264288308,15.815224791655,-6.24180163717582,5.16734786807845,6.18813086595313,1.02078299787468,0.106254989518435,0.0304032301985052,-2.82382896075265,-0.885288255854558,-0.40278123776256,-0.286877583524517,-1.84302559928154,-1.28806949361712,20.6361811619493,0
HRS,final,4,251004,education,27.7097486413441,23.3135597472674,-4.3961888940767,22.4441581880794,17.0468159414757,-5.39734224660372,5.2655904532647,6.26674380579171,1.00115335252702,0.115865520724625,0.0414569674975731,-2.44643062125721,-0.753084384232645,-0.471436562834586,-0.17781094699872,-1.54857973128056,-1.22452094706723,22.6874800803629,-3.5527136788005e-15
HRS,final,4,251004,wealth,27.1074865028628,21.9018063103947,-5.20568019246808,22.0558101963558,16.0124185755021,-6.04339162085374,5.05167630650699,5.88938773489265,0.837711428385658,0.0944236701183405,0.024984087730808,-2.76929067612509,-0.943528250490432,-0.280659416738547,-0.241964476199232,-1.80794880130044,-1.22418766722898,20.2566330966326,2.66453525910038e-15
HRS,final,5,251005,education,27.2600967024157,22.948383926366,-4.31171277604966,22.1690466019755,16.1742823239256,-5.9947642780499,5.09105010044017,6.77410160244042,1.68305150200024,0.102546617699895,0.0335294561830359,-2.77305786018675,-0.937589348804419,-0.693844711787941,-0.158685128144981,-1.43158722912581,-1.63143406059236,27.2143154413249,0
HRS,final,5,251005,wealth,26.9179254413124,22.0285892365772,-4.88933620473516,21.6765521210351,15.890175587813,-5.78637653322213,5.24137332027726,6.13841364876424,0.897040328486975,0.089981243523422,0.0215253906573979,-2.50933070954949,-0.969191396113496,-0.422986040171358,-0.283638216509319,-1.60123017087847,-1.39217743628485,24.0595721396932,1.77635683940025e-15
HRS,final,6,251006,education,27.1226134290731,22.4244509734383,-4.69816245563482,21.9066671260346,15.6656815250439,-6.24098560099067,5.21594630303853,6.75876944839438,1.54282314535584,0.112650248130372,0.0380536102073925,-3.22931371398613,-0.759479846270233,-0.561522704029254,-0.16943288120441,-1.52123645550064,-1.32100255029949,21.1665694291908,3.5527136788005e-15
HRS,final,6,251006,wealth,26.8648241558075,21.9265662596804,-4.93825789612713,21.633433816276,15.7080830940458,-5.9253507222302,5.23139033953145,6.21848316563452,0.987092826103069,0.104018205505743,0.0297481244765886,-2.65039448681196,-1.06331268385014,-0.380643293585376,-0.241946810119964,-1.58905344786276,-1.44395597743552,24.3691225233,-4.44089209850063e-15
HRS,final,7,251007,education,27.2031280234589,23.107172561422,-4.09595546203688,22.4177743757587,16.5353332018599,-5.88244117389884,4.7853536477002,6.57183935956216,1.78648571186196,0.0989701227001069,0.0352701149387882,-3.06566460214016,-0.849665583729071,-0.528077639374793,-0.155087343421352,-1.28394600523347,-1.37774322310386,23.4212834837531,-8.88178419700125e-16
HRS,final,7,251007,wealth,27.060753572048,22.2613306441606,-4.79942292788731,22.0335832059044,16.1511517285261,-5.88243147737831,5.02717036614357,6.11017891563457,1.083008549491,0.093974406981491,0.0251698893178533,-2.70439565452294,-0.981817801598155,-0.392758117453089,-0.297771374993133,-1.50568852881101,-1.37457591905124,23.3674786410579,-5.32907051820075e-15
HRS,final,8,251008,education,27.0581570854549,23.2899078380707,-3.76824924738425,22.0780957116069,16.6237519293417,-5.4543437822652,4.98006137384803,6.66615590872897,1.68609453488094,0.114790725615994,0.0479164381108462,-2.96034601468153,-0.706717086216585,-0.521775921592972,-0.0818061089239902,-1.18369865085012,-1.22849300780956,22.5232045659462,-8.88178419700125e-16
HRS,final,8,251008,wealth,27.0073208925883,22.1369883950356,-4.87033249755277,21.7667322494653,16.0228570175652,-5.74387523190006,5.24058864312306,6.11413137747035,0.873542734347292,0.112688314823609,0.0330321614764618,-2.68651077350894,-0.73451477844515,-0.455420189462554,-0.249090802938754,-1.61833868754467,-1.1899349679077,20.7165880153367,-2.66453525910038e-15
HRS,final,9,251009,education,26.8620511044391,23.2902247793401,-3.57182632509892,21.8045313587616,16.7012269540048,-5.10330440475676,5.05751974567748,6.58899782533532,1.53147807965784,0.0843102827856005,0.0309148452760185,-2.56097839441683,-0.865785323075574,-0.479206087869343,-0.147987488099672,-1.04934711129534,-1.34499141094492,26.3553044120053,-2.66453525910038e-15
HRS,final,9,251009,wealth,26.5914461197878,21.7157193230191,-4.87572679676877,21.5175347472528,15.7220349565964,-5.79549979065634,5.07391137253505,5.99368436642262,0.91977299388757,0.0776413805623963,0.0169771197454498,-2.69862968810694,-0.816516410136444,-0.384816873781127,-0.322257326759938,-1.57327949187188,-1.20133328391757,20.728726206744,7.105427357601e-15
HRS,final,10,251010,education,27.6953503660296,23.1111738677371,-4.58417649829253,22.3219797738662,16.5532095510289,-5.76877022283721,5.37337059216348,6.55796431670816,1.18459372454468,0.126694793552979,0.0402065676406888,-2.75846569500476,-0.840939570920952,-0.436229076320274,-0.205000145565076,-1.52813573502615,-1.27716864724123,22.1393572270432,8.88178419700125e-16
HRS,final,10,251010,wealth,27.4027350256445,21.9504144339916,-5.45232059165294,22.128939780228,15.9826435960051,-6.14629618422283,5.27379524541654,5.96777083798644,0.693975592569899,0.112938236703404,0.0259228870433683,-2.59695604046497,-0.931661667174765,-0.377147128539112,-0.2928125176045,-1.94771883043949,-1.30880879571388,21.2942682305729,0
HRS,final,11,251011,education,26.8993084908711,23.1147900032419,-3.78451848762918,21.987383196998,16.4580973398541,-5.52928585714387,4.9119252938731,6.65669266338779,1.74476736951469,0.0887061571551542,0.0313686127728242,-3.05229395350529,-0.758977729731427,-0.401017620698266,-0.132369077427453,-1.18462747578144,-1.15999535042969,20.9791170216127,-7.105427357601e-15
HRS,final,11,251011,wealth,26.3710214202478,22.1357442623849,-4.23527715786289,21.2983695777172,15.9450482499026,-5.35332132781452,5.07265184253064,6.19069601248227,1.11804416995164,0.0708891484752534,0.0219866362336372,-2.4776531569528,-0.87722996354462,-0.320779991762799,-0.166139661502608,-1.5115185540517,-1.19800995530742,22.3788164757243,2.66453525910038e-15
