wealth_entry_wave,q33,q67,cut_method,resampled_person_frequency,unique_sampled_persons,replicate,cohort
2,51000,163600,weighted_empirical,11025,7019,1,HRS
3,73000,208000,weighted_empirical,1835,1155,1,HRS
4,64200,206000,weighted_empirical,3756,2399,1,HRS
5,67000,224000,weighted_empirical,1616,1014,1,HRS
6,80400,275000,weighted_empirical,1820,1139,1,HRS
7,80512,276500,weighted_empirical,1156,718,1,HRS
8,97900,338000,weighted_empirical,925,604,1,HRS
9,92876,331500,weighted_empirical,1002,631,1,HRS
10,54500,275000,weighted_empirical,1906,1197,1,HRS
11,71000,295000,weighted_empirical,1382,871,1,HRS
12,47000,339000,weighted_empirical,1329,841,1,HRS
13,71000,319000,weighted_empirical,1657,1037,1,HRS
14,95500,410000,weighted_empirical,1201,769,1,HRS
15,105500,425000,weighted_empirical,1357,863,1,HRS
2,50500,166000,weighted_empirical,11104,6977,2,HRS
3,76500,208000,weighted_empirical,1700,1108,2,HRS
4,61000,210000,weighted_empirical,3831,2434,2,HRS
5,72000,245000,weighted_empirical,1618,1030,2,HRS
6,80000,276600,weighted_empirical,1787,1116,2,HRS
7,77000,283000,weighted_empirical,1076,687,2,HRS
8,97900,395000,weighted_empirical,1005,628,2,HRS
9,84200,345000,weighted_empirical,980,614,2,HRS
10,50000,286000,weighted_empirical,1927,1232,2,HRS
11,54500,260000,weighted_empirical,1347,834,2,HRS
12,62500,369600,weighted_empirical,1332,884,2,HRS
13,60000,313000,weighted_empirical,1647,1058,2,HRS
14,46000,302000,weighted_empirical,1232,768,2,HRS
15,117000,405266.627299125,weighted_empirical,1381,870,2,HRS
2,54500,166500,weighted_empirical,11058,7001,3,HRS
3,73350,204000,weighted_empirical,1767,1118,3,HRS
4,64000,212900,weighted_empirical,3882,2449,3,HRS
5,64000,234000,weighted_empirical,1559,992,3,HRS
6,90500,277500,weighted_empirical,1744,1113,3,HRS
7,89000,291000,weighted_empirical,1087,676,3,HRS
8,99500,380000,weighted_empirical,975,626,3,HRS
9,94000,309000,weighted_empirical,988,642,3,HRS
10,60000,276500,weighted_empirical,1892,1208,3,HRS
11,67000,306000,weighted_empirical,1365,882,3,HRS
12,60000,345000,weighted_empirical,1350,850,3,HRS
13,65000,293500,weighted_empirical,1726,1090,3,HRS
14,66000,353000,weighted_empirical,1229,757,3,HRS
15,85900,330000,weighted_empirical,1345,859,3,HRS
2,51000,165500,weighted_empirical,11018,6992,4,HRS
3,74000,209500,weighted_empirical,1788,1129,4,HRS
4,62600,205000,weighted_empirical,3795,2416,4,HRS
5,75000,241000,weighted_empirical,1589,978,4,HRS
6,80000,280500,weighted_empirical,1851,1171,4,HRS
7,90000,352143,weighted_empirical,1068,691,4,HRS
8,90200,320000,weighted_empirical,959,616,4,HRS
9,87000,293000,weighted_empirical,1019,635,4,HRS
10,48000,269000,weighted_empirical,1916,1233,4,HRS
11,70800,288000,weighted_empirical,1363,867,4,HRS
12,82000,363000,weighted_empirical,1319,830,4,HRS
13,65000,316400,weighted_empirical,1692,1088,4,HRS
14,82500,356000,weighted_empirical,1221,777,4,HRS
15,106300,403000,weighted_empirical,1369,857,4,HRS
2,51200,167200,weighted_empirical,10936,6915,5,HRS
3,72000,203000,weighted_empirical,1789,1129,5,HRS
4,64000,212500,weighted_empirical,3872,2440,5,HRS
5,70000,241000,weighted_empirical,1654,1034,5,HRS
6,88300,278000,weighted_empirical,1785,1124,5,HRS
7,79400,270000,weighted_empirical,1117,689,5,HRS
8,99500,333000,weighted_empirical,949,607,5,HRS
9,86000,312500,weighted_empirical,1012,629,5,HRS
10,54500,275000,weighted_empirical,2005,1253,5,HRS
11,55600,275000,weighted_empirical,1261,802,5,HRS
12,40000,303000,weighted_empirical,1362,847,5,HRS
13,75000,305000,weighted_empirical,1670,1070,5,HRS
14,75300,336000,weighted_empirical,1181,765,5,HRS
15,72000,4e+05,weighted_empirical,1374,857,5,HRS
2,50000,166000,weighted_empirical,10994,7008,6,HRS
3,77000,215000,weighted_empirical,1763,1133,6,HRS
4,61000,213500,weighted_empirical,3883,2435,6,HRS
5,63000,220850,weighted_empirical,1576,990,6,HRS
6,74000,255000,weighted_empirical,1733,1123,6,HRS
7,95000,299500,weighted_empirical,1120,703,6,HRS
8,80000,288500,weighted_empirical,967,610,6,HRS
9,95000,345000,weighted_empirical,1005,629,6,HRS
10,56000,280000,weighted_empirical,1931,1226,6,HRS
11,67000,272500,weighted_empirical,1356,846,6,HRS
12,56600,277300,weighted_empirical,1367,854,6,HRS
13,54000,3e+05,weighted_empirical,1723,1076,6,HRS
14,85000,388000,weighted_empirical,1165,753,6,HRS
15,105500,403000,weighted_empirical,1384,852,6,HRS
2,51000,159700,weighted_empirical,11042,6972,7,HRS
3,75000,211400,weighted_empirical,1848,1140,7,HRS
4,62000,205000,weighted_empirical,3835,2400,7,HRS
5,68500,244525,weighted_empirical,1606,1007,7,HRS
6,80000,276600,weighted_empirical,1811,1125,7,HRS
7,79400,290000,weighted_empirical,1087,695,7,HRS
8,77700,324000,weighted_empirical,917,580,7,HRS
9,100100,331000,weighted_empirical,1004,621,7,HRS
10,50000,265000,weighted_empirical,1979,1249,7,HRS
11,63000,282500,weighted_empirical,1363,853,7,HRS
12,47000,328000,weighted_empirical,1258,800,7,HRS
13,55500,313000,weighted_empirical,1648,1043,7,HRS
14,77500,385000,weighted_empirical,1183,747,7,HRS
15,86700,4e+05,weighted_empirical,1386,862,7,HRS
2,53250,168000,weighted_empirical,11103,7105,8,HRS
3,69000,195000,weighted_empirical,1804,1141,8,HRS
4,64000,204000,weighted_empirical,3885,2481,8,HRS
5,68500,241000,weighted_empirical,1593,1007,8,HRS
6,81500,277000,weighted_empirical,1770,1113,8,HRS
7,80512,310000,weighted_empirical,1049,670,8,HRS
8,91750,341000,weighted_empirical,963,614,8,HRS
9,101900,389000,weighted_empirical,984,617,8,HRS
10,53200,265000,weighted_empirical,1889,1194,8,HRS
11,71000,282500,weighted_empirical,1393,878,8,HRS
12,39500,260000,weighted_empirical,1324,849,8,HRS
13,57500,305000,weighted_empirical,1686,1054,8,HRS
14,73000,385000,weighted_empirical,1198,756,8,HRS
15,86000,383000,weighted_empirical,1326,830,8,HRS
2,51000,165800,weighted_empirical,10895,6972,9,HRS
3,77050,206000,weighted_empirical,1787,1115,9,HRS
4,57500,196000,weighted_empirical,3955,2466,9,HRS
5,69500,241000,weighted_empirical,1588,1006,9,HRS
6,87200,286500,weighted_empirical,1790,1126,9,HRS
7,90000,331000,weighted_empirical,1126,690,9,HRS
8,91750,373000,weighted_empirical,1030,637,9,HRS
9,92000,331500,weighted_empirical,1031,645,9,HRS
10,51000,267000,weighted_empirical,1896,1216,9,HRS
11,59000,282500,weighted_empirical,1327,845,9,HRS
12,54000,309000,weighted_empirical,1337,842,9,HRS
13,70600,305000,weighted_empirical,1668,1046,9,HRS
14,61199,375000,weighted_empirical,1215,750,9,HRS
15,83100,375546.784283876,weighted_empirical,1322,831,9,HRS
2,50500,165875.283733608,weighted_empirical,10910,6930,10,HRS
3,72000,204500,weighted_empirical,1776,1130,10,HRS
4,63000,209900,weighted_empirical,3877,2448,10,HRS
5,72000,260000,weighted_empirical,1694,1046,10,HRS
6,82800,275000,weighted_empirical,1734,1069,10,HRS
7,97000,377000,weighted_empirical,1091,677,10,HRS
8,98000,387000,weighted_empirical,999,610,10,HRS
9,81800,338000,weighted_empirical,994,646,10,HRS
10,53200,246500,weighted_empirical,1968,1235,10,HRS
11,67500,288000,weighted_empirical,1325,848,10,HRS
12,70000,328000,weighted_empirical,1358,859,10,HRS
13,75000,321000,weighted_empirical,1721,1082,10,HRS
14,82000,353000,weighted_empirical,1208,762,10,HRS
15,85900,385000,weighted_empirical,1312,849,10,HRS
2,51125,165000,weighted_empirical,11097,7011,11,HRS
3,78800,203801.447686761,weighted_empirical,1790,1138,11,HRS
4,63500,208000,weighted_empirical,3918,2490,11,HRS
5,68000,245000,weighted_empirical,1692,1063,11,HRS
6,83000,261700,weighted_empirical,1787,1118,11,HRS
7,88000,3e+05,weighted_empirical,1074,676,11,HRS
8,90001,380000,weighted_empirical,926,566,11,HRS
9,66500,294000,weighted_empirical,958,628,11,HRS
10,56802.2535330576,274300,weighted_empirical,1876,1205,11,HRS
11,68550,282500,weighted_empirical,1300,824,11,HRS
12,65000,290000,weighted_empirical,1341,848,11,HRS
13,75500,319000,weighted_empirical,1706,1072,11,HRS
14,61199,287500,weighted_empirical,1178,727,11,HRS
15,98000,4e+05,weighted_empirical,1324,847,11,HRS
2,52500,170000,weighted_empirical,11018,6907,12,HRS
3,77000,203500,weighted_empirical,1780,1108,12,HRS
4,60500,208700,weighted_empirical,3813,2426,12,HRS
5,80550,245000,weighted_empirical,1582,1016,12,HRS
6,85000,3e+05,weighted_empirical,1810,1165,12,HRS
7,88000,310000,weighted_empirical,1097,680,12,HRS
8,91750,337000,weighted_empirical,947,599,12,HRS
9,92000,387000,weighted_empirical,1016,632,12,HRS
10,54500,268300,weighted_empirical,1919,1219,12,HRS
11,65000,282500,weighted_empirical,1302,837,12,HRS
12,62000,321000,weighted_empirical,1414,877,12,HRS
13,75000,305000,weighted_empirical,1681,1065,12,HRS
14,57000,321000,weighted_empirical,1218,752,12,HRS
15,113000,373000,weighted_empirical,1370,840,12,HRS
2,51005,165000,weighted_empirical,10978,6974,13,HRS
3,75000,216000,weighted_empirical,1770,1134,13,HRS
4,64000,214500,weighted_empirical,3864,2420,13,HRS
5,72600,246000,weighted_empirical,1602,1028,13,HRS
6,74400,274000,weighted_empirical,1831,1168,13,HRS
7,85200,329000,weighted_empirical,1065,690,13,HRS
8,82000,318000,weighted_empirical,942,595,13,HRS
9,92000,326000,weighted_empirical,1027,645,13,HRS
10,55000,274000,weighted_empirical,1984,1245,13,HRS
11,68000,285000,weighted_empirical,1352,845,13,HRS
12,65000,324000,weighted_empirical,1309,876,13,HRS
13,66500,323000,weighted_empirical,1675,1054,13,HRS
14,61199,321000,weighted_empirical,1197,755,13,HRS
15,101550,385000,weighted_empirical,1371,868,13,HRS
2,50000,165600,weighted_empirical,11091,6968,14,HRS
3,72000,206000,weighted_empirical,1813,1152,14,HRS
4,60000,207500,weighted_empirical,3927,2460,14,HRS
5,74000,245000,weighted_empirical,1553,988,14,HRS
6,85000,250000,weighted_empirical,1775,1122,14,HRS
7,75315,3e+05,weighted_empirical,1102,698,14,HRS
8,97900,383000,weighted_empirical,997,616,14,HRS
9,80000,309000,weighted_empirical,1041,676,14,HRS
10,50000,271500,weighted_empirical,1886,1211,14,HRS
11,71000,285000,weighted_empirical,1360,879,14,HRS
12,74000,342500,weighted_empirical,1302,828,14,HRS
13,66500,303000,weighted_empirical,1677,1046,14,HRS
14,49000,290500,weighted_empirical,1168,771,14,HRS
15,110000,401000,weighted_empirical,1275,832,14,HRS
2,51500,170000,weighted_empirical,11209,7066,15,HRS
3,72000,219000,weighted_empirical,1799,1134,15,HRS
4,62500,202500,weighted_empirical,3751,2383,15,HRS
5,68100,224800,weighted_empirical,1579,998,15,HRS
6,87200,278000,weighted_empirical,1773,1122,15,HRS
7,67080,261000,weighted_empirical,1089,671,15,HRS
8,95000,375000,weighted_empirical,995,642,15,HRS
9,109000,389000,weighted_empirical,961,618,15,HRS
10,57500,275000,weighted_empirical,1897,1229,15,HRS
11,68550,295000,weighted_empirical,1350,861,15,HRS
12,69000,351500,weighted_empirical,1350,855,15,HRS
13,70000,305000,weighted_empirical,1684,1056,15,HRS
14,81500,388000,weighted_empirical,1219,743,15,HRS
15,95000,404200,weighted_empirical,1311,837,15,HRS
2,50500,164503.478443053,weighted_empirical,11041,6971,16,HRS
3,70000,186000,weighted_empirical,1805,1142,16,HRS
4,63000,201000,weighted_empirical,3927,2485,16,HRS
5,63200,229000,weighted_empirical,1621,1054,16,HRS
6,87200,277500,weighted_empirical,1783,1147,16,HRS
7,96000,364000,weighted_empirical,1077,689,16,HRS
8,92060,393500,weighted_empirical,1000,632,16,HRS
9,90000,338000,weighted_empirical,989,618,16,HRS
10,45000,270000,weighted_empirical,1863,1177,16,HRS
11,73500,295000,weighted_empirical,1285,837,16,HRS
12,45000,295000,weighted_empirical,1334,846,16,HRS
13,78000,333000,weighted_empirical,1656,1047,16,HRS
14,52000,388000,weighted_empirical,1180,765,16,HRS
15,75500,370000,weighted_empirical,1406,883,16,HRS
2,51000,164000,weighted_empirical,11187,7022,17,HRS
3,70000,213000,weighted_empirical,1852,1137,17,HRS
4,67000,210000,weighted_empirical,3755,2414,17,HRS
5,65000,227000,weighted_empirical,1584,1001,17,HRS
