cohort,phase,replicate,seed,exposure,status,error_message,unique_sampled_people,elapsed_seconds_replicate_exposure
MHAS,final,1,451001,education,valid,"",9630,3.63
MHAS,final,1,451001,wealth,valid,"",9630,7.14
MHAS,final,2,451002,education,valid,"",9499,3.49
MHAS,final,2,451002,wealth,valid,"",9499,7.06
MHAS,final,3,451003,education,valid,"",9617,3.63
MHAS,final,3,451003,wealth,valid,"",9617,7.13
MHAS,final,4,451004,education,valid,"",9624,3.7
MHAS,final,4,451004,wealth,valid,"",9624,7.33
MHAS,final,5,451005,education,valid,"",9534,3.43
MHAS,final,5,451005,wealth,valid,"",9534,7.08
MHAS,final,6,451006,education,valid,"",9619,3.45
MHAS,final,6,451006,wealth,valid,"",9619,7.14
MHAS,final,7,451007,education,valid,"",9623,3.84
MHAS,final,7,451007,wealth,valid,"",9623,7.53
MHAS,final,8,451008,education,valid,"",9600,3.63
MHAS,final,8,451008,wealth,valid,"",9600,7.33
MHAS,final,9,451009,education,valid,"",9632,3.55
MHAS,final,9,451009,wealth,valid,"",9632,7.27
MHAS,final,10,451010,education,valid,"",9602,3.63000000000001
MHAS,final,10,451010,wealth,valid,"",9602,7.36
MHAS,final,11,451011,education,valid,"",9615,3.61
MHAS,final,11,451011,wealth,valid,"",9615,7.36
MHAS,final,12,451012,education,valid,"",9554,3.69
MHAS,final,12,451012,wealth,valid,"",9554,7.39
MHAS,final,13,451013,education,valid,"",9600,3.87
MHAS,final,13,451013,wealth,valid,"",9600,7.36
MHAS,final,14,451014,education,valid,"",9731,3.49
MHAS,final,14,451014,wealth,valid,"",9731,7.27
MHAS,final,15,451015,education,valid,"",9615,3.56
MHAS,final,15,451015,wealth,valid,"",9615,7.86
MHAS,final,16,451016,education,valid,"",9599,4.79000000000001
MHAS,final,16,451016,wealth,valid,"",9599,9.79000000000001
MHAS,final,17,451017,education,valid,"",9610,4.48
MHAS,final,17,451017,wealth,valid,"",9610,8.98
MHAS,final,18,451018,education,valid,"",9591,4.18000000000001
MHAS,final,18,451018,wealth,valid,"",9591,8.40000000000001
MHAS,final,19,451019,education,valid,"",9628,4.33000000000001
MHAS,final,19,451019,wealth,valid,"",9628,8.30000000000001
MHAS,final,20,451020,education,valid,"",9665,3.95000000000002
MHAS,final,20,451020,wealth,valid,"",9665,7.44
MHAS,final,21,451021,education,valid,"",9626,3.78
MHAS,final,21,451021,wealth,valid,"",9626,7.22
MHAS,final,22,451022,education,valid,"",9593,3.39999999999998
MHAS,final,22,451022,wealth,valid,"",9593,6.81999999999999
MHAS,final,23,451023,education,valid,"",9580,3.28
MHAS,final,23,451023,wealth,valid,"",9580,6.64000000000002
MHAS,final,24,451024,education,valid,"",9607,3.36000000000001
MHAS,final,24,451024,wealth,valid,"",9607,6.66
MHAS,final,25,451025,education,valid,"",9547,3.29999999999998
MHAS,final,25,451025,wealth,valid,"",9547,6.66999999999999
MHAS,final,26,451026,education,valid,"",9574,3.61000000000001
MHAS,final,26,451026,wealth,valid,"",9574,6.95000000000002
MHAS,final,27,451027,education,valid,"",9596,3.75
MHAS,final,27,451027,wealth,valid,"",9596,7.37000000000001
MHAS,final,28,451028,education,valid,"",9585,3.45999999999998
MHAS,final,28,451028,wealth,valid,"",9585,6.92999999999998
MHAS,final,29,451029,education,valid,"",9549,3.44
MHAS,final,29,451029,wealth,valid,"",9549,6.69
MHAS,final,30,451030,education,valid,"",9506,3.31
MHAS,final,30,451030,wealth,valid,"",9506,6.72999999999999
MHAS,final,31,451031,education,valid,"",9637,3.84
MHAS,final,31,451031,wealth,valid,"",9637,7.16999999999999
MHAS,final,32,451032,education,valid,"",9530,3.28
MHAS,final,32,451032,wealth,valid,"",9530,6.85999999999999
MHAS,final,33,451033,education,valid,"",9578,4.32999999999998
MHAS,final,33,451033,wealth,valid,"",9578,8.75
MHAS,final,34,451034,education,valid,"",9593,3.65000000000001
MHAS,final,34,451034,wealth,valid,"",9593,7.31999999999999
MHAS,final,35,451035,education,valid,"",9636,3.5
MHAS,final,35,451035,wealth,valid,"",9636,7.02999999999997
MHAS,final,36,451036,education,valid,"",9562,3.65999999999997
MHAS,final,36,451036,wealth,valid,"",9562,6.94
MHAS,final,37,451037,education,valid,"",9599,3.25
MHAS,final,37,451037,wealth,valid,"",9599,6.51999999999998
MHAS,final,38,451038,education,valid,"",9588,3.19999999999999
MHAS,final,38,451038,wealth,valid,"",9588,6.46999999999997
MHAS,final,39,451039,education,valid,"",9635,3.30000000000001
