cohort,phase,replicate,seed,exposure,high_tle,low_tle,gap_tle,high_dfle,low_dfle,gap_dfle,high_disabled,low_disabled,gap_disabled,high_residual_age100,low_residual_age100,contribution_onset,contribution_recovery,contribution_relapse,contribution_post_disability_mortality,contribution_pre_disability_mortality,recovery_relapse_contribution,recovery_relapse_percent,closure_error
MHAS,final,1,451001,education,25.0082336990906,23.8115834035109,-1.19665029557971,18.9850543241812,16.6598660480574,-2.32518827612381,6.02317937490936,7.15171735545346,1.1285379805441,0.162117817019726,0.112282375770867,-1.08509630162468,-0.517300087690163,-0.499288347807379,-0.37940754444566,0.155904005444079,-1.01658843549754,43.7206933277782,0
MHAS,final,1,451001,wealth,24.1485456443397,22.634947511445,-1.51359813289475,17.4443459998609,15.5935363058045,-1.85080969405634,6.70419964447882,7.04141120564041,0.337211561161592,0.102729312008057,0.100101581684256,-0.858293600486278,0.127088238202312,-0.0174127689462454,0.0688475914991511,-1.17103915432528,0.109675469256066,-5.92581017963523,-3.77475828372553e-15
MHAS,final,2,451002,education,26.0397403338255,23.02857694354,-3.01116339028551,22.0018140472889,15.7676303348233,-6.23418371246563,4.03792628653658,7.2609466087167,3.22302032218012,0.0493556938622237,0.0370673281378487,-4.2012524659788,-0.851425365906646,-0.303915265064296,-0.000942173684707252,-0.876648441831184,-1.15534063097094,18.5323481671027,0
MHAS,final,2,451002,wealth,23.4994743437821,22.8212597890835,-0.67821455469856,16.6840909206799,15.3446663627711,-1.33942455790874,6.81538342310224,7.47659342631243,0.661210003210185,0.0306636415945369,0.0391295164227577,-0.414699935250295,-0.252277197032041,-0.0605614429019425,0.155134098249006,-0.767020080973474,-0.312838639933984,23.3561971136636,-1.77635683940025e-15
MHAS,final,3,451003,education,22.7186167525034,23.8173521783616,1.09873542585815,18.9134867425507,16.0340763434108,-2.87941039913994,3.80513000995268,7.78327583495077,3.97814582499809,0.0356664122602268,0.100571006847778,-3.05278036020129,-0.00839095834774755,-0.272208107846124,0.377353010385327,0.0766160168698961,-0.280599066193872,9.74501815641441,1.33226762955019e-15
MHAS,final,3,451003,wealth,24.953292490759,21.8093047262345,-3.14398776452452,17.5399727993494,14.6945381901032,-2.84543460924617,7.4133196914096,7.11476653613125,-0.298553155278349,0.113736403027026,0.0624835456406817,-1.17407515006806,-0.420279346310982,0.0705580898697488,-0.165063191285964,-1.15657501145092,-0.349721256441233,12.2906095014386,-4.44089209850063e-16
MHAS,final,4,451004,education,25.2803791945515,22.944325962953,-2.3360532315985,18.6826058766606,15.510039932244,-3.17256594441656,6.59777331789094,7.434286030709,0.836512712818054,0.125244859251905,0.0832447269678479,-1.30805771375456,-0.370932159992488,-0.551059316425143,-0.0871848634809235,-0.855331890763446,-0.921991476417631,29.061380994783,-1.33226762955019e-15
MHAS,final,4,451004,wealth,23.2870800611292,22.5475538563746,-0.739526204754579,15.8079057782126,15.6337812841872,-0.17412449402541,7.47917428291655,6.91377257218738,-0.565401710729169,0.0834898293321312,0.0764082255558396,-0.441142886048665,0.0189164611983871,0.68490030554143,-0.0460226236976517,-0.390775751018908,0.703816766739817,-404.203194202597,1.33226762955019e-15
MHAS,final,5,451005,education,24.8967389400013,23.4327185987612,-1.46402034124015,19.5145382066477,15.845660170253,-3.6688780363947,5.38220073335363,7.58705842850819,2.20485769515455,0.144466511528805,0.0919412153204889,-2.5547285937774,-0.817277872766373,-0.443189463392548,-0.256855679909519,0.403173573451145,-1.26046733615892,34.355661966827,-2.22044604925031e-15
MHAS,final,5,451005,wealth,24.8619058317969,22.0358456337161,-2.8260601980808,17.0528165635061,15.29027364837,-1.76254291513606,7.80908926829086,6.74557198534612,-1.06351728294474,0.132734766474679,0.0565332689374846,-1.61009874054355,0.27821742856387,0.246874055707629,-0.375820667540971,-0.301714991323034,0.525091484271499,-29.7916992410346,8.88178419700125e-16
