wealth_entry_wave,q33,q67,cut_method,resampled_person_frequency,unique_sampled_persons,replicate,cohort
3,258829.96875,820113.375,weighted_empirical,5052,3216,1,MHAS
5,319371.1875,1113326.25,weighted_empirical,1290,843,1,MHAS
1,82000,323443.90625,weighted_empirical,6312,3984,1,MHAS
2,160000,346840.53125,weighted_empirical,1122,692,1,MHAS
4,361704.375,1134044.25,weighted_empirical,1393,892,1,MHAS
6,6543417,6543417,weighted_empirical,2,2,1,MHAS
3,3e+05,791662,weighted_empirical,5063,3181,2,MHAS
5,319371.1875,1028980.4375,weighted_empirical,1339,848,2,MHAS
1,87200,320000,weighted_empirical,6345,3934,2,MHAS
4,374972.09375,1140000,weighted_empirical,1459,915,2,MHAS
2,2e+05,410000,weighted_empirical,961,617,2,MHAS
6,1027306.9375,1027306.9375,weighted_empirical,4,3,2,MHAS
3,277603.375,848000,weighted_empirical,5119,3250,3,MHAS
1,87578.6328125,306880.65625,weighted_empirical,6319,3979,3,MHAS
4,403000,1095232,weighted_empirical,1375,891,3,MHAS
2,162489.359375,402000,weighted_empirical,1030,662,3,MHAS
5,414421.6875,1190920.25,weighted_empirical,1326,832,3,MHAS
6,1027306.9375,1950000,weighted_empirical,2,2,3,MHAS
3,251000,812206.8125,weighted_empirical,5222,3265,4,MHAS
1,79000,299745.625,weighted_empirical,6231,3984,4,MHAS
4,405000,1134044.25,weighted_empirical,1350,886,4,MHAS
2,152000,380000,weighted_empirical,1058,652,4,MHAS
5,396539.125,1200000,weighted_empirical,1306,834,4,MHAS
6,1027306.9375,6543417,weighted_empirical,5,3,4,MHAS
3,234567,773806.75,weighted_empirical,5187,3233,5,MHAS
1,80000,310000,weighted_empirical,6249,3946,5,MHAS
5,4e+05,1223105.625,weighted_empirical,1388,876,5,MHAS
2,150000,350000,weighted_empirical,1009,638,5,MHAS
4,4e+05,1100000,weighted_empirical,1334,837,5,MHAS
6,1950000,6543417,weighted_empirical,4,3,5,MHAS
3,258829.96875,779400.25,weighted_empirical,5129,3236,6,MHAS
1,79000,300436.28125,weighted_empirical,6257,3977,6,MHAS
5,454000,1228477.375,weighted_empirical,1365,869,6,MHAS
2,175000,353000,weighted_empirical,1031,667,6,MHAS
4,4e+05,1450000,weighted_empirical,1386,867,6,MHAS
6,6543417,6543417,weighted_empirical,3,2,6,MHAS
3,260000,803000,weighted_empirical,5103,3238,7,MHAS
1,76369.171875,317008.34375,weighted_empirical,6223,3963,7,MHAS
5,361348.25,1228363.625,weighted_empirical,1382,857,7,MHAS
4,425000,1134044.25,weighted_empirical,1387,877,7,MHAS
2,152000,360000,weighted_empirical,1069,683,7,MHAS
6,1950000,6543417,weighted_empirical,6,4,7,MHAS
3,302000,801801.375,weighted_empirical,5170,3258,8,MHAS
1,82505.7578125,315000,weighted_empirical,6228,3963,8,MHAS
4,360000,1100000,weighted_empirical,1431,885,8,MHAS
5,388000,1228477.375,weighted_empirical,1295,820,8,MHAS
2,160000,402000,weighted_empirical,1043,671,8,MHAS
6,6543417,6543417,weighted_empirical,3,2,8,MHAS
3,2e+05,750382,weighted_empirical,5107,3259,9,MHAS
1,80186.40625,303000,weighted_empirical,6255,3965,9,MHAS
5,396539.125,1150000,weighted_empirical,1371,859,9,MHAS
4,348337.5,1134044.25,weighted_empirical,1402,900,9,MHAS
2,165000,376847.4375,weighted_empirical,1031,646,9,MHAS
6,1027306.9375,1950000,weighted_empirical,6,3,9,MHAS
1,87811.1953125,323443.90625,weighted_empirical,6170,3895,10,MHAS
3,3e+05,850000,weighted_empirical,5252,3304,10,MHAS
4,449284.65625,1331703,weighted_empirical,1385,878,10,MHAS
2,175000,368946.0625,weighted_empirical,1046,664,10,MHAS
5,388000,1244460.375,weighted_empirical,1317,859,10,MHAS
6,1027306.9375,1950000,weighted_empirical,2,2,10,MHAS
1,83000,314471.8125,weighted_empirical,6190,3921,11,MHAS
3,305000,820113.375,weighted_empirical,5127,3266,11,MHAS
5,410000,1160000,weighted_empirical,1397,872,11,MHAS
2,154655.34375,346840.53125,weighted_empirical,959,623,11,MHAS
4,464137.78125,1140000,weighted_empirical,1496,931,11,MHAS
6,1027306.9375,1027306.9375,weighted_empirical,1,1,11,MHAS
3,275000,855000,weighted_empirical,5133,3240,12,MHAS
5,410000,1199074.375,weighted_empirical,1378,847,12,MHAS
1,86000,310089.3125,weighted_empirical,6151,3893,12,MHAS
4,405000,1166000,weighted_empirical,1424,886,12,MHAS
2,190739.40625,350000,weighted_empirical,1081,685,12,MHAS
6,1027306.9375,1950000,weighted_empirical,4,2,12,MHAS
3,248269.765625,820113.375,weighted_empirical,5216,3272,13,MHAS
1,99225.6796875,329657.25,weighted_empirical,6099,3917,13,MHAS
5,361348.25,1228363.625,weighted_empirical,1375,856,13,MHAS
4,457133.28125,1383179.125,weighted_empirical,1367,880,13,MHAS
2,165000,388218.125,weighted_empirical,1109,671,13,MHAS
6,1027306.9375,6543417,weighted_empirical,6,4,13,MHAS
3,285000,828965.875,weighted_empirical,5133,3294,14,MHAS
1,81567.890625,329709.125,weighted_empirical,6217,4013,14,MHAS
