sensitivity,cohort,exposure,ses,V5
primary_reproduction,CHARLS,education,high,26.2054788639503
primary_reproduction,CHARLS,education,high,19.488308458845
primary_reproduction,CHARLS,education,high,6.71717040510534
primary_reproduction,CHARLS,education,high,0.111319386742212
primary_reproduction,CHARLS,education,low,23.1459551085901
primary_reproduction,CHARLS,education,low,13.4639214062857
primary_reproduction,CHARLS,education,low,9.68203370230432
primary_reproduction,CHARLS,education,low,0.0462826121170921
primary_reproduction,CHARLS,wealth,high,29.6095141035229
primary_reproduction,CHARLS,wealth,high,18.0556596466492
primary_reproduction,CHARLS,wealth,high,11.5538544568737
primary_reproduction,CHARLS,wealth,high,0.251768719096265
primary_reproduction,CHARLS,wealth,low,26.9423545874029
primary_reproduction,CHARLS,wealth,low,14.29973769236
primary_reproduction,CHARLS,wealth,low,12.6426168950429
primary_reproduction,CHARLS,wealth,low,0.145405180561634
primary_reproduction,ELSA,education,high,27.0055433734276
primary_reproduction,ELSA,education,high,21.4240097246755
primary_reproduction,ELSA,education,high,5.58153364875216
primary_reproduction,ELSA,education,high,0.0578325279200391
primary_reproduction,ELSA,education,low,23.7610617822064
primary_reproduction,ELSA,education,low,16.9534096892254
primary_reproduction,ELSA,education,low,6.80765209298099
primary_reproduction,ELSA,education,low,0.0123840493307893
primary_reproduction,ELSA,wealth,high,27.1390083339429
primary_reproduction,ELSA,wealth,high,21.2720411434302
primary_reproduction,ELSA,wealth,high,5.8669671905127
primary_reproduction,ELSA,wealth,high,0.0563297726035545
primary_reproduction,ELSA,wealth,low,22.5906970652013
primary_reproduction,ELSA,wealth,low,15.4747130431472
primary_reproduction,ELSA,wealth,low,7.11598402205414
primary_reproduction,ELSA,wealth,low,0.00468850658372437
primary_reproduction,HRS,education,high,27.1019254807926
primary_reproduction,HRS,education,high,22.0447440281458
primary_reproduction,HRS,education,high,5.05718145264681
primary_reproduction,HRS,education,high,0.0998456852742347
primary_reproduction,HRS,education,low,23.1451693987456
primary_reproduction,HRS,education,low,16.5643650987788
primary_reproduction,HRS,education,low,6.58080429996684
primary_reproduction,HRS,education,low,0.0368617076329808
primary_reproduction,HRS,wealth,high,26.8138463360923
primary_reproduction,HRS,wealth,high,21.7182572510627
primary_reproduction,HRS,wealth,high,5.09558908502967
primary_reproduction,HRS,wealth,high,0.0902756462661504
primary_reproduction,HRS,wealth,low,22.0544416375573
primary_reproduction,HRS,wealth,low,15.9590262734797
primary_reproduction,HRS,wealth,low,6.09541536407758
primary_reproduction,HRS,wealth,low,0.0244276462494854
primary_reproduction,MHAS,education,high,24.4548603859997
primary_reproduction,MHAS,education,high,19.4100177204417
primary_reproduction,MHAS,education,high,5.04484266555802
primary_reproduction,MHAS,education,high,0.087477820467705
primary_reproduction,MHAS,education,low,23.2123792010922
primary_reproduction,MHAS,education,low,16.117756196942
primary_reproduction,MHAS,education,low,7.09462300415016
primary_reproduction,MHAS,education,low,0.0653082703329468
primary_reproduction,MHAS,wealth,high,24.0163916497398
primary_reproduction,MHAS,wealth,high,17.116528873977
primary_reproduction,MHAS,wealth,high,6.89986277576288
primary_reproduction,MHAS,wealth,high,0.0711844954077772
primary_reproduction,MHAS,wealth,low,22.6071804521851
primary_reproduction,MHAS,wealth,low,15.6034319223712
primary_reproduction,MHAS,wealth,low,7.00374852981387
primary_reproduction,MHAS,wealth,low,0.0592290181057806
unweighted,CHARLS,education,high,26.3561063583804
unweighted,CHARLS,education,high,19.1244796274892
unweighted,CHARLS,education,high,7.2316267308912
unweighted,CHARLS,education,high,0.117182736094808
unweighted,CHARLS,education,low,23.1896009809302
unweighted,CHARLS,education,low,13.3845762716364
unweighted,CHARLS,education,low,9.80502470929373
unweighted,CHARLS,education,low,0.0510565637497314
unweighted,CHARLS,wealth,high,29.5500843092967
unweighted,CHARLS,wealth,high,18.0942011000845
unweighted,CHARLS,wealth,high,11.4558832092122
unweighted,CHARLS,wealth,high,0.258840877339907
unweighted,CHARLS,wealth,low,27.2949361106898
unweighted,CHARLS,wealth,low,14.0300437821304
unweighted,CHARLS,wealth,low,13.2648923285594
unweighted,CHARLS,wealth,low,0.169942820373141
unweighted,ELSA,education,high,27.0749189860744
unweighted,ELSA,education,high,21.4284523873616
unweighted,ELSA,education,high,5.6464665987128
unweighted,ELSA,education,high,0.0592466497481943
unweighted,ELSA,education,low,24.0246921906052
unweighted,ELSA,education,low,17.2676222278963
unweighted,ELSA,education,low,6.75706996270886
unweighted,ELSA,education,low,0.0151329621163347
unweighted,ELSA,wealth,high,27.3701048116801
unweighted,ELSA,wealth,high,21.5177660862065
unweighted,ELSA,wealth,high,5.85233872547358
unweighted,ELSA,wealth,high,0.0559172216052999
unweighted,ELSA,wealth,low,22.7951317216577
unweighted,ELSA,wealth,low,15.7806452299216
unweighted,ELSA,wealth,low,7.01448649173615
unweighted,ELSA,wealth,low,0.00448621586151685
unweighted,HRS,education,high,26.405520613604
unweighted,HRS,education,high,21.1516231160573
unweighted,HRS,education,high,5.25389749754674
unweighted,HRS,education,high,0.0964523432441228
unweighted,HRS,education,low,22.4792716385988
unweighted,HRS,education,low,15.9131935125296
unweighted,HRS,education,low,6.56607812606923
unweighted,HRS,education,low,0.0353689578206872
unweighted,HRS,wealth,high,26.1387818975187
unweighted,HRS,wealth,high,21.0023351562563
unweighted,HRS,wealth,high,5.13644674126238
unweighted,HRS,wealth,high,0.0880837903152477
unweighted,HRS,wealth,low,21.762468790869
unweighted,HRS,wealth,low,15.5007305331004
