cohort,exposure,process,term,estimate,hazard_ratio,sensitivity
CHARLS,education,death_post,(Intercept),-4.82973585695788,0.00798863112861919,primary_reproduction
CHARLS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.84973836523218,6.35815579035225,primary_reproduction
CHARLS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",2.62003491207022,13.7362031359953,primary_reproduction
CHARLS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",3.5884101131581,36.1765136168369,primary_reproduction
CHARLS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.52816014768573,12.5304307734899,primary_reproduction
CHARLS,education,death_post,origin_factorD2,-0.593147366596783,0.552585356236582,primary_reproduction
CHARLS,education,death_post,origin_factorR1,-0.971264535046693,0.378603977274551,primary_reproduction
CHARLS,education,death_post,period_factor2,0.308161500893046,1.36092076110826,primary_reproduction
CHARLS,education,death_post,period_factor3,0.303027960398997,1.35395232096016,primary_reproduction
CHARLS,education,death_post,period_factor4,0.199370628007083,1.22063428332575,primary_reproduction
CHARLS,education,death_post,seslow,0.255471279022416,1.29106993169485,primary_reproduction
CHARLS,education,death_post,sesmiddle,-0.168931958758812,0.844566366774933,primary_reproduction
CHARLS,education,death_post,sex_factormale,0.550943747566177,1.73488954329656,primary_reproduction
CHARLS,education,death_pre,(Intercept),-5.97435332929354,0.00254314613323983,primary_reproduction
CHARLS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.89211790363643,6.63340272217107,primary_reproduction
CHARLS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",2.40437729681414,11.0715338557916,primary_reproduction
CHARLS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",3.7489738713841,42.4774722794611,primary_reproduction
CHARLS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",1.87278216941495,6.50637307360896,primary_reproduction
CHARLS,education,death_pre,period_factor2,0.195352366678413,1.21573929704203,primary_reproduction
CHARLS,education,death_pre,period_factor3,0.294956819850602,1.34306836354158,primary_reproduction
CHARLS,education,death_pre,period_factor4,-0.10203114022071,0.903001431567165,primary_reproduction
CHARLS,education,death_pre,seslow,0.288726462768995,1.33472658117692,primary_reproduction
CHARLS,education,death_pre,sesmiddle,-0.366982072163193,0.692822065733984,primary_reproduction
