cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,sensitivity
CHARLS,education,death_post,16228,7173,1419,15573,1370,120,15,TRUE,6,4.82973585695788,1,non-integer #successes in a binomial glm!,primary_reproduction
CHARLS,education,death_pre,16621,7788,505,14926,470,384,12,TRUE,7,5.97435332929354,1,non-integer #successes in a binomial glm!,primary_reproduction
CHARLS,education,onset,16274,7621,3090,14631,2927,369,40,TRUE,5,2.93721590824041,1,non-integer #successes in a binomial glm!,primary_reproduction
CHARLS,education,recovery,11421,6404,3598,10980,3442,85,33,TRUE,6,3.13717080407486,1,non-integer #successes in a binomial glm!,primary_reproduction
CHARLS,education,relapse,4483,3088,1654,4281,1593,30,9,TRUE,5,1.64655665460531,1,non-integer #successes in a binomial glm!,primary_reproduction
CHARLS,wealth,death_post,12993,5440,527,5795,275,2759,104,TRUE,21,24.4356272633216,1,non-integer #successes in a binomial glm!,primary_reproduction
CHARLS,wealth,death_pre,14052,6192,200,4277,63,4908,65,TRUE,22,25.3356717779409,1,non-integer #successes in a binomial glm!,primary_reproduction
CHARLS,wealth,onset,13845,6109,2542,4216,1007,4829,652,TRUE,5,2.45613918567109,1,non-integer #successes in a binomial glm!,primary_reproduction
CHARLS,wealth,recovery,8884,4857,3088,4110,1304,1798,707,TRUE,5,2.06197443238401,1,non-integer #successes in a binomial glm!,primary_reproduction
CHARLS,wealth,relapse,3940,2674,1462,1595,625,932,308,TRUE,5,1.3305919074842,1,non-integer #successes in a binomial glm!,primary_reproduction
ELSA,education,death_post,9994,4069,966,5696,645,807,62,TRUE,6,3.64837728784793,1,non-integer #successes in a binomial glm!,primary_reproduction
ELSA,education,death_pre,18095,6978,489,7201,278,2764,52,TRUE,7,5.10193202147298,1,non-integer #successes in a binomial glm!,primary_reproduction
ELSA,education,onset,31728,8474,2773,9838,1200,6308,361,TRUE,6,3.50078744739833,1,non-integer #successes in a binomial glm!,primary_reproduction
ELSA,education,recovery,11620,4986,3131,6123,1396,1085,363,TRUE,5,2.70353481897193,1,non-integer #successes in a binomial glm!,primary_reproduction
ELSA,education,relapse,6116,2472,1824,2317,843,844,183,TRUE,6,1.89692847989122,1,non-integer #successes in a binomial glm!,primary_reproduction
ELSA,wealth,death_post,11023,4448,1044,4385,514,2949,229,TRUE,6,3.80081611077411,1,non-integer #successes in a binomial glm!,primary_reproduction
ELSA,wealth,death_pre,19821,7617,550,4444,178,8548,174,TRUE,7,5.09801817185331,1,non-integer #successes in a binomial glm!,primary_reproduction
ELSA,wealth,onset,34410,9160,3038,6972,927,15695,1053,TRUE,6,3.43359991846235,1,non-integer #successes in a binomial glm!,primary_reproduction
