cohort,exposure,ses,age,process,origin_state,destination,annual_hazard,sensitivity
CHARLS,education,high,60,onset,I0,D1,0.0321115548336288,primary_reproduction
CHARLS,education,high,61,onset,I0,D1,0.0330843271289973,primary_reproduction
CHARLS,education,high,62,onset,I0,D1,0.0340951346414266,primary_reproduction
CHARLS,education,high,63,onset,I0,D1,0.0351544879444278,primary_reproduction
CHARLS,education,high,64,onset,I0,D1,0.0362740909734636,primary_reproduction
CHARLS,education,high,65,onset,I0,D1,0.0374669918308045,primary_reproduction
CHARLS,education,high,66,onset,I0,D1,0.0387477751928065,primary_reproduction
CHARLS,education,high,67,onset,I0,D1,0.0401328042388673,primary_reproduction
CHARLS,education,high,68,onset,I0,D1,0.0416405218081135,primary_reproduction
CHARLS,education,high,69,onset,I0,D1,0.0432918228173927,primary_reproduction
CHARLS,education,high,70,onset,I0,D1,0.0451105129886754,primary_reproduction
CHARLS,education,high,71,onset,I0,D1,0.0471184007702939,primary_reproduction
CHARLS,education,high,72,onset,I0,D1,0.0493175125981186,primary_reproduction
CHARLS,education,high,73,onset,I0,D1,0.051703050046964,primary_reproduction
CHARLS,education,high,74,onset,I0,D1,0.0542677818490492,primary_reproduction
CHARLS,education,high,75,onset,I0,D1,0.0570013859662175,primary_reproduction
CHARLS,education,high,76,onset,I0,D1,0.0598897815637611,primary_reproduction
CHARLS,education,high,77,onset,I0,D1,0.0629144699125428,primary_reproduction
CHARLS,education,high,78,onset,I0,D1,0.0660519105624457,primary_reproduction
CHARLS,education,high,79,onset,I0,D1,0.0692729666226107,primary_reproduction
CHARLS,education,high,80,onset,I0,D1,0.072542460186999,primary_reproduction
CHARLS,education,high,81,onset,I0,D1,0.07581805305866,primary_reproduction
CHARLS,education,high,82,onset,I0,D1,0.0790473886510145,primary_reproduction
CHARLS,education,high,83,onset,I0,D1,0.0821703069164554,primary_reproduction
CHARLS,education,high,84,onset,I0,D1,0.085120213302001,primary_reproduction
CHARLS,education,high,85,onset,I0,D1,0.0878251378782245,primary_reproduction
CHARLS,education,high,86,onset,I0,D1,0.0902092870754434,primary_reproduction
CHARLS,education,high,87,onset,I0,D1,0.0921951052930225,primary_reproduction
CHARLS,education,high,88,onset,I0,D1,0.0937058302225329,primary_reproduction
CHARLS,education,high,89,onset,I0,D1,0.0946684846624364,primary_reproduction
CHARLS,education,high,90,onset,I0,D1,0.0950172010561471,primary_reproduction
CHARLS,education,high,91,onset,I0,D1,0.0947270720073875,primary_reproduction
CHARLS,education,high,92,onset,I0,D1,0.0939063010808267,primary_reproduction
CHARLS,education,high,93,onset,I0,D1,0.0926993972220227,primary_reproduction
CHARLS,education,high,94,onset,I0,D1,0.0912501225076391,primary_reproduction
CHARLS,education,high,95,onset,I0,D1,0.0896968491045036,primary_reproduction
CHARLS,education,high,96,onset,I0,D1,0.0896968491045036,primary_reproduction
CHARLS,education,high,97,onset,I0,D1,0.0896968491045036,primary_reproduction
CHARLS,education,high,98,onset,I0,D1,0.0896968491045036,primary_reproduction
CHARLS,education,high,99,onset,I0,D1,0.0896968491045036,primary_reproduction
CHARLS,education,low,60,onset,I0,D1,0.0750318721848208,primary_reproduction
CHARLS,education,low,61,onset,I0,D1,0.0773048523288588,primary_reproduction
CHARLS,education,low,62,onset,I0,D1,0.0796667055766694,primary_reproduction
CHARLS,education,low,63,onset,I0,D1,0.0821419909386261,primary_reproduction
CHARLS,education,low,64,onset,I0,D1,0.0847580558351279,primary_reproduction
CHARLS,education,low,65,onset,I0,D1,0.0875453884672879,primary_reproduction
CHARLS,education,low,66,onset,I0,D1,0.0905380673958566,primary_reproduction
CHARLS,education,low,67,onset,I0,D1,0.0937743268325211,primary_reproduction
CHARLS,education,low,68,onset,I0,D1,0.0972972603227431,primary_reproduction
CHARLS,education,low,69,onset,I0,D1,0.101155690937792,primary_reproduction
CHARLS,education,low,70,onset,I0,D1,0.105405243137381,primary_reproduction
CHARLS,education,low,71,onset,I0,D1,0.110096874550821,primary_reproduction
