age,origin_state,destination,annual_probability,cohort,exposure,ses
60,I0,I0,0.975634969622812,CHARLS,education,high
60,D1,I0,0,CHARLS,education,high
60,R1,I0,0,CHARLS,education,high
60,D2,I0,0,CHARLS,education,high
60,DEAD,I0,0,CHARLS,education,high
60,I0,D1,0.0208293531412815,CHARLS,education,high
60,D1,D1,0.782014030488867,CHARLS,education,high
60,R1,D1,0,CHARLS,education,high
60,D2,D1,0,CHARLS,education,high
60,DEAD,D1,0,CHARLS,education,high
60,I0,R1,0,CHARLS,education,high
60,D1,R1,0.201959693462713,CHARLS,education,high
60,R1,R1,0.880556932801616,CHARLS,education,high
60,D2,R1,0.187832006455972,CHARLS,education,high
60,DEAD,R1,0,CHARLS,education,high
60,I0,D2,0,CHARLS,education,high
60,D1,D2,0,CHARLS,education,high
60,R1,D2,0.110486733243525,CHARLS,education,high
60,D2,D2,0.802052658947937,CHARLS,education,high
60,DEAD,D2,0,CHARLS,education,high
60,I0,DEAD,0.00353567723590617,CHARLS,education,high
60,D1,DEAD,0.0160262760484203,CHARLS,education,high
60,R1,DEAD,0.00895633395485947,CHARLS,education,high
60,D2,DEAD,0.0101153345960912,CHARLS,education,high
60,DEAD,DEAD,1,CHARLS,education,high
61,I0,I0,0.974242625840433,CHARLS,education,high
61,D1,I0,0,CHARLS,education,high
61,R1,I0,0,CHARLS,education,high
61,D2,I0,0,CHARLS,education,high
61,DEAD,I0,0,CHARLS,education,high
61,I0,D1,0.0217279785570358,CHARLS,education,high
61,D1,D1,0.783778490346463,CHARLS,education,high
61,R1,D1,0,CHARLS,education,high
61,D2,D1,0,CHARLS,education,high
61,DEAD,D1,0,CHARLS,education,high
61,I0,R1,0,CHARLS,education,high
61,D1,R1,0.199094783928108,CHARLS,education,high
61,R1,R1,0.880249048464944,CHARLS,education,high
61,D2,R1,0.185184207276664,CHARLS,education,high
61,DEAD,R1,0,CHARLS,education,high
61,I0,D2,0,CHARLS,education,high
61,D1,D2,0,CHARLS,education,high
61,R1,D2,0.110191604636138,CHARLS,education,high
61,D2,D2,0.804004910240381,CHARLS,education,high
61,DEAD,D2,0,CHARLS,education,high
61,I0,DEAD,0.00402939560253078,CHARLS,education,high
61,D1,DEAD,0.0171267257254299,CHARLS,education,high
61,R1,DEAD,0.00955934689891789,CHARLS,education,high
61,D2,DEAD,0.010810882482955,CHARLS,education,high
61,DEAD,DEAD,1,CHARLS,education,high
62,I0,I0,0.972748798481704,CHARLS,education,high
62,D1,I0,0,CHARLS,education,high
62,R1,I0,0,CHARLS,education,high
62,D2,I0,0,CHARLS,education,high
62,DEAD,I0,0,CHARLS,education,high
62,I0,D1,0.0226631262770828,CHARLS,education,high
62,D1,D1,0.785500345215613,CHARLS,education,high
62,R1,D1,0,CHARLS,education,high
62,D2,D1,0,CHARLS,education,high
62,DEAD,D1,0,CHARLS,education,high
62,I0,R1,0,CHARLS,education,high
62,D1,R1,0.196188308769501,CHARLS,education,high
62,R1,R1,0.879834125246373,CHARLS,education,high
62,D2,R1,0.182500083856862,CHARLS,education,high
62,DEAD,R1,0,CHARLS,education,high
62,I0,D2,0,CHARLS,education,high
62,D1,D2,0,CHARLS,education,high
62,R1,D2,0.109958438635011,CHARLS,education,high
62,D2,D2,0.805940046061524,CHARLS,education,high
62,DEAD,D2,0,CHARLS,education,high
62,I0,DEAD,0.00458807524121302,CHARLS,education,high
62,D1,DEAD,0.0183113460148863,CHARLS,education,high
62,R1,DEAD,0.0102074361186158,CHARLS,education,high
62,D2,DEAD,0.011559870081614,CHARLS,education,high
62,DEAD,DEAD,1,CHARLS,education,high
63,I0,I0,0.971149543539295,CHARLS,education,high
63,D1,I0,0,CHARLS,education,high
63,R1,I0,0,CHARLS,education,high
63,D2,I0,0,CHARLS,education,high
63,DEAD,I0,0,CHARLS,education,high
63,I0,D1,0.0236350307789262,CHARLS,education,high
63,D1,D1,0.787228924524392,CHARLS,education,high
