cohort,exposure,ses,total_life_expectancy,dfle,disabled_years,residual_alive_age100,state_years_closure
CHARLS,education,high,24.9032039713716,20.4149391971005,4.48826477427105,0.0750442660100351,8.88178419700125e-16
CHARLS,education,middle,26.8456590351047,19.1439378501212,7.70172118498357,0.126792275127102,1.77635683940025e-15
CHARLS,education,low,22.0681791055976,15.0362675675528,7.03191153804484,0.0212888387260957,0
CHARLS,wealth,high,28.9975510642041,20.4706580168425,8.52689304736165,0.213702330205909,0
CHARLS,wealth,middle,28.2664945490312,18.4119344633869,9.85456008564432,0.192758395046047,0
CHARLS,wealth,low,26.3100255102442,16.5487960894898,9.76122942075449,0.11351593730874,0
HRS,education,high,26.4189789236936,22.6846146948151,3.73436422887842,0.0865110370920274,1.77635683940025e-15
HRS,education,middle,23.8515788759866,20.0207691480146,3.83080972797199,0.0409931525802624,-4.44089209850063e-16
HRS,education,low,22.8651590408187,17.8825411754556,4.98261786536315,0.0325474970912116,1.77635683940025e-15
HRS,wealth,high,26.1126103235891,22.4014849327034,3.71112539088568,0.0779601839894756,1.77635683940025e-15
HRS,wealth,middle,24.2422223359686,20.3608685991633,3.88135373680528,0.0460461948841964,-8.88178419700125e-16
HRS,wealth,low,21.7915920430239,17.0940616777673,4.69753036525659,0.0201294135235304,8.88178419700125e-16
ELSA,education,high,26.8120219923266,22.0907249618006,4.72129703052608,0.0517716564201186,-1.77635683940025e-15
ELSA,education,middle,26.2932154020618,20.8114419945383,5.48177340752346,0.032271846666079,8.88178419700125e-16
ELSA,education,low,23.6205043349366,18.0726918754201,5.54781245951645,0.00971820719357025,-1.77635683940025e-15
ELSA,wealth,high,26.997882733057,22.2120650622568,4.78581767080016,0.0482826886775157,0
ELSA,wealth,middle,25.1312089727324,19.592993256018,5.53821571671439,0.0201270364565127,3.5527136788005e-15
ELSA,wealth,low,22.4935959187833,16.5978757431021,5.89572017568113,0.00388668569243793,-8.88178419700125e-16
MHAS,education,high,24.0770675530402,21.7571938173983,2.31987373564188,0.0572113319492058,8.88178419700125e-16
MHAS,education,middle,24.7327954078326,20.8664260417896,3.86636936604307,0.0718870350611071,-8.88178419700125e-16
MHAS,education,low,23.1265784399613,18.0673331461832,5.05924529377815,0.0484244912188624,0
MHAS,wealth,high,24.0455230703115,18.9042070465297,5.14131602378183,0.0624651519043468,0
MHAS,wealth,middle,23.1893933513103,18.2891948676881,4.90019848362216,0.0493800239526936,2.66453525910038e-15
MHAS,wealth,low,22.4810659250324,17.8873297280742,4.59373619695824,0.0366151863964959,-1.77635683940025e-15
