cohort,exposure,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
CHARLS,education,onset,(Intercept),-3.40609005863722,0.196418628829543,-17.3409725896881,2.30798390249487e-67,0.033170642422413,0.0225714245958635,0.0487471011872786
CHARLS,education,onset,sesmiddle,0.324736405488027,0.207997502857034,1.5612514622891,0.118464430963641,1.3836658711765,0.920407566371816,2.08009072611775
CHARLS,education,onset,seslow,0.872820473590537,0.188780703681703,4.6234623378784,3.77387287378212e-06,2.39365257550477,1.65336117951321,3.46540896400359
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.812776423185858,0.0989253380977955,8.21605908874797,2.10299867891736e-16,2.25415780258251,1.85685233378411,2.73647360454803
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.1544399786345,0.184920124208705,6.24291154667173,4.29499814046159e-10,3.17224639423113,2.20779997920986,4.55799768116398
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",1.38321735213388,0.264770562285461,5.22421125745306,1.74899010520873e-07,3.98771088061744,2.3732659631849,6.70040286848198
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.689865252516434,0.361656981000576,1.90751261211058,0.0564542394134614,1.99344690319105,0.981196601475555,4.04998401937595
CHARLS,education,onset,sex_factormale,-0.441040403718199,0.0372250987378086,-11.8479310645923,2.20569330473416e-32,0.643366711640498,0.598097438754271,0.69206236112502
CHARLS,education,onset,period_factor2,-0.0782533058362263,0.0500173174066347,-1.56452424667314,0.117694503379764,0.924730157328126,0.838377126632272,1.01997756941093
CHARLS,education,onset,period_factor3,-0.678581091805234,0.0526731404582539,-12.8828675469435,5.62076995503056e-38,0.507336345595071,0.457572266534138,0.562512604864261
CHARLS,education,onset,period_factor4,-0.320775934288942,0.0494175742902318,-6.49113071404536,8.51945194691961e-11,0.725585811678151,0.658602982899727,0.799381089637119
CHARLS,education,recovery,(Intercept),-1.17315285565207,0.250902662552482,-4.67572900071028,2.92911207385313e-06,0.309389940081677,0.189205401379403,0.505916503048438
CHARLS,education,recovery,sesmiddle,-0.130609846149077,0.266895611402177,-0.489366780753339,0.624582049932236,0.877560091057561,0.520104646441124,1.4806860863223
CHARLS,education,recovery,seslow,0.135370313759176,0.243464077922792,0.556017606022785,0.578198819077637,1.1449607005566,0.710476591169465,1.8451487664938
CHARLS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.69694750531138,0.106894839611684,-6.51993592808763,7.03374302660966e-11,0.49810344367184,0.403951123025436,0.614200645710602
CHARLS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-1.1686323118412,0.206561060533608,-5.65756347698003,1.53537038883393e-08,0.310791716870004,0.207319957535386,0.465905417034045
CHARLS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-1.95667913267933,0.354001516929098,-5.52731849753974,3.2516234036827e-08,0.141326970613,0.0706143352759407,0.282850678188752
CHARLS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-1.94519201921619,0.49588772381882,-3.92264604623867,8.75817710277997e-05,0.142959769679442,0.0540885934185339,0.377852231960536
CHARLS,education,recovery,origin_factorD2,0.0426941135010891,0.0692254177553574,0.616740424044388,0.537405953306326,1.04361861717673,0.911204703216273,1.19527457910779
CHARLS,education,recovery,sex_factormale,-0.0441922262524961,0.0399490555241189,-1.10621454431671,0.268633669092802,0.956770023479028,0.884712650781155,1.03469626778797
CHARLS,education,recovery,period_factor2,-0.273050591911439,0.0589384028291481,-4.63281288267963,3.60730559033946e-06,0.761054283464034,0.678025852351614,0.854250056056252
CHARLS,education,recovery,period_factor3,-0.565750629088678,0.0549323932420675,-10.29903478983,7.11718140151761e-25,0.567933679178049,0.509962482424561,0.632494889449891
CHARLS,education,recovery,period_factor4,-0.350919218888669,0.0562580538586437,-6.23767078346513,4.4413411464294e-10,0.704040624742632,0.630536014637213,0.786114020105874
CHARLS,education,relapse,(Intercept),-1.81186152548678,0.412565886722726,-4.39169011252857,1.12472928727968e-05,0.163349773833634,0.0727671498848558,0.366692232054185
CHARLS,education,relapse,sesmiddle,0.238691252035098,0.430613401520232,0.554305210177913,0.579369985198681,1.26958649381951,0.545904615740417,2.95262179291662
CHARLS,education,relapse,seslow,0.449184500545472,0.400907100247996,1.12042041726777,0.26253464836638,1.56703374911131,0.714199162873236,3.43824929866193
CHARLS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.56394731737493,0.152583998031362,3.69597942543763,0.000219040711953859,1.7575966171271,1.30327806783368,2.37028915377317
CHARLS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-0.704233867234072,0.310811602309103,-2.2657901506962,0.0234642347153287,0.494487272072685,0.268897608937688,0.90933371705268
CHARLS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",0.226867836317706,0.4660325913454,0.486806803924926,0.626395248205856,1.254664035963,0.503306453595833,3.12768062458241
CHARLS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.583929470940825,0.66646440228184,0.876160030365565,0.380943041953999,1.79307042382085,0.485614219404261,6.62069069708317
CHARLS,education,relapse,sex_factormale,-0.234249185285898,0.061154673143709,-3.83043802287078,0.000127915350001274,0.791164644742337,0.701796119888679,0.891913587652148
CHARLS,education,relapse,period_factor3,-0.832614239607012,0.0875882679853461,-9.50600187397601,1.98131489786241e-21,0.434910837743676,0.366305628000639,0.516365085132068
CHARLS,education,relapse,period_factor4,-0.104985301281533,0.074668572876646,-1.40601724710837,0.159719003396244,0.900337756300212,0.777761230079149,1.04223255681851
CHARLS,education,death_pre,(Intercept),-6.04773076564535,0.2941507898756,-20.5599677913597,6.26746445082988e-94,0.00236321862336979,0.00132775422870492,0.0042062018264398
CHARLS,education,death_pre,sesmiddle,-0.0816425996816035,0.298831730417976,-0.273205926182638,0.784694924781578,0.921601280434058,0.513064971721907,1.65544125385754
CHARLS,education,death_pre,seslow,0.380023743659489,0.252406972899509,1.5055992284761,0.132170086661972,1.46231930983378,0.89163901213998,2.39825505030398
CHARLS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.81661369920829,0.178985010973284,10.1495297809013,3.32963812056813e-24,6.15099402727157,4.33101998963876,8.73575453681666
CHARLS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",3.0894845683162,0.276862894999955,11.1588971440781,6.47903053894516e-29,21.9657532122789,12.7666115990172,37.7934513351909
CHARLS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",3.86626799759812,0.413991801870018,9.33899652151089,9.72514257836883e-21,47.7637984328577,21.2178766791316,107.521618455746
CHARLS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",1.76817980113786,0.473019427877128,3.7380701445463,0.000185438215219735,5.86017696030867,2.31882762174548,14.8099296748424
CHARLS,education,death_pre,sex_factormale,0.556626501320646,0.0773399182521399,7.19714364716497,6.14869773308472e-13,1.74477655949418,1.49936286550921,2.03035923630567
CHARLS,education,death_pre,period_factor2,0.180856177475357,0.111903701551594,1.61617690002839,0.106056071651203,1.19824283259051,0.962255686195032,1.49210434030475
CHARLS,education,death_pre,period_factor3,0.275856007324569,0.102455727384205,2.69244106081176,0.00709310715310859,1.31765811724895,1.07793026553519,1.61070058932804
CHARLS,education,death_pre,period_factor4,-0.136511504083349,0.113120009422366,-1.20678476584672,0.2275150444278,0.872396284082328,0.698914597341403,1.08893887661769
CHARLS,education,death_post,(Intercept),-4.35561698782059,0.31064759051083,-14.0210873055806,1.15826373673561e-44,0.012834518399257,0.0069815364460399,0.0235943568889199
CHARLS,education,death_post,sesmiddle,-0.5494206713642,0.336719470486019,-1.63168666953286,0.102745509690971,0.577284150764188,0.298378986557225,1.11689162353132
CHARLS,education,death_post,seslow,0.101225509657782,0.275832968296984,0.3669811853266,0.713633052308977,1.10652614596207,0.644418378211764,1.90000805857729
CHARLS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.8031635846039,0.141222710886073,12.7682266774962,2.46711253952172e-37,6.06881634118482,4.60142975390107,8.00414952587445
CHARLS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",2.58301555954198,0.172606570709256,14.964757998077,1.24776972693883e-50,13.2369949806675,9.43764690882346,18.5658605170322
CHARLS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",3.48987345656224,0.312294753126281,11.1749346462797,5.40901741003205e-29,32.7817991221924,17.7746936459899,60.4593460281786
CHARLS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.62319427810985,0.243585697088727,10.7690817213884,4.81782271405433e-27,13.7796694565499,8.54858961315499,22.2117681306842
CHARLS,education,death_post,origin_factorR1,-0.641147766425428,0.0740419445703362,-8.65925078205327,4.74875048624163e-18,0.526687562688529,0.455540807567056,0.608946079215855
CHARLS,education,death_post,origin_factorD2,-0.420130662521482,0.123997412829436,-3.38822119699699,0.0007034750693835,0.656960974029384,0.51521778115962,0.837699584875008
CHARLS,education,death_post,sex_factormale,0.476065904332587,0.0562968049216839,8.45635742552097,2.75859184941622e-17,1.6097291005847,1.44155755821125,1.79751946948587
CHARLS,education,death_post,period_factor2,0.237631969501783,0.0959253811889444,2.47725853738041,0.0132395959455155,1.26824235505912,1.05086982119371,1.53057842058766
CHARLS,education,death_post,period_factor3,0.140662950854668,0.090567288746224,1.5531319619031,0.120391611688499,1.15103662668602,0.963821723996094,1.37461657377844
CHARLS,education,death_post,period_factor4,0.0757435865139187,0.0939101483255173,0.806553794925034,0.41992360312997,1.07868594906901,0.897340128578625,1.29668042212932
CHARLS,wealth,onset,(Intercept),-2.9592294130365,0.0720300358220795,-41.0832700450971,0,0.0518588635438613,0.0450308133131269,0.0597222552779624
CHARLS,wealth,onset,sesmiddle,0.384061140823452,0.0537795408271325,7.1413986604677,9.2385975277956e-13,1.46823520804741,1.32134907447458,1.63144975676258
CHARLS,wealth,onset,seslow,0.500389508312743,0.052295614866218,9.56847929970483,1.08489615047463e-21,1.649363586426,1.48868041966569,1.82739035476731
CHARLS,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.668106140668444,0.116094520916792,5.75484644229934,8.67205866639785e-09,1.95053977247339,1.55357834470169,2.44893050741583
CHARLS,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.34992788009109,0.225962104276222,5.97413395673153,2.3131567811545e-09,3.85714734355061,2.47698515093103,6.0063281462416
CHARLS,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",1.92298459087693,0.294174058000379,6.53689385103582,6.28095929157651e-11,6.84134664976438,3.84357697604097,12.1772047949076
CHARLS,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",1.32887307545604,0.396060708703971,3.35522571730104,0.000793002515194083,3.77678483695683,1.7377550627644,8.20835111363503
CHARLS,wealth,onset,sex_factormale,-0.505975292660878,0.0414278153563361,-12.2134196145463,2.63573503021197e-34,0.602917267801216,0.555896134431274,0.653915739465938
CHARLS,wealth,onset,period_factor2,0.0157212242787061,0.0589812835966154,0.266545984082453,0.789818749672267,1.0158454528799,0.90494411228468,1.14033780664252
CHARLS,wealth,onset,period_factor3,-0.550756286514171,0.0599154451279075,-9.19222556618609,3.84796151798899e-20,0.576513635976742,0.512635322477301,0.648351679827604
CHARLS,wealth,onset,period_factor4,-0.17335863638294,0.0566124313863847,-3.06220086538508,0.00219715959077262,0.840836006379997,0.752526549013614,0.939508633352247
CHARLS,wealth,recovery,(Intercept),-0.835336159431254,0.0783724345393808,-10.65854549933,1.59065573908012e-26,0.433728654945925,0.37196849054651,0.505743230682812
CHARLS,wealth,recovery,sesmiddle,-0.0446074213692211,0.0578965966371305,-0.770467073372208,0.441022879486983,0.956372859693388,0.853777420601552,1.07129683297746
CHARLS,wealth,recovery,seslow,-0.162515870858269,0.0555645578406237,-2.92481173564657,0.00344664671002069,0.850002599847556,0.762294431999721,0.947802305012598
CHARLS,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.490593290611616,0.119663291525259,-4.09978101352879,4.1354125570926e-05,0.612263036495329,0.484259992453621,0.774100755173128
CHARLS,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-0.393909825148898,0.2394155074202,-1.64529787311372,0.0999083982498449,0.674414868758894,0.42182522070111,1.07825562076895
CHARLS,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-1.0620110866349,0.390053670023671,-2.72273066055357,0.00647448186686225,0.345759757825862,0.160973378293959,0.742668206375619
CHARLS,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-1.13856161479778,0.544143022461899,-2.09239403575648,0.0364032818877954,0.320279375768458,0.110241491876295,0.930492474264955
CHARLS,wealth,recovery,origin_factorD2,0.0567586496442698,0.0716378959210884,0.792299228145831,0.428186221647638,1.05840033426993,0.919751617507058,1.21794976628471
CHARLS,wealth,recovery,sex_factormale,-0.0214936836538808,0.0430841648834701,-0.498876645561421,0.617866287762172,0.978735659482808,0.89947983232617,1.06497495187406
CHARLS,wealth,recovery,period_factor2,-0.34957509558628,0.0670651822329782,-5.21246769108728,1.86345030212673e-07,0.704987578420861,0.618150791088035,0.804023052130864
CHARLS,wealth,recovery,period_factor3,-0.705507200896342,0.0612654770123798,-11.5155750889491,1.10122400848505e-30,0.49385802548904,0.437977589324458,0.556868103037237
CHARLS,wealth,recovery,period_factor4,-0.612185840336223,0.0629871021856754,-9.71922535079646,2.49673653149913e-22,0.542164487920413,0.479198405014566,0.613404236921591
CHARLS,wealth,relapse,(Intercept),-1.35485878497512,0.115832426878025,-11.6967141368956,1.32484770440657e-31,0.257983723057502,0.205586102679697,0.323735897004204
CHARLS,wealth,relapse,sesmiddle,-0.035317759987548,0.0845477389376227,-0.417725659270493,0.676147709596658,0.965298634236627,0.817886808144876,1.13927923030401
CHARLS,wealth,relapse,seslow,0.0750205219206104,0.0804734720915192,0.932239158704282,0.351212942485807,1.07790627136458,0.920620404607268,1.26206406465947
CHARLS,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.442384167733606,0.169063414920711,2.61667592566421,0.00887905961631023,1.55641354946314,1.11741711472794,2.1678772456803
CHARLS,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-0.202260763297229,0.351447421623196,-0.575507887817378,0.56494785759284,0.816881887352468,0.410205219280654,1.62673702459154
CHARLS,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",0.232257450514889,0.533293648739703,0.435515125791891,0.663188562280037,1.26144444654943,0.443526334134297,3.5877060036047
CHARLS,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.307589602281427,0.762199561786164,0.403555207458544,0.686539829808439,1.36014267492886,0.30534239092351,6.0587332488206
CHARLS,wealth,relapse,sex_factormale,-0.246260268992914,0.064803754014018,-3.80009264493603,0.000144642002562728,0.781718741296847,0.688475444364571,0.887590393378123
CHARLS,wealth,relapse,period_factor3,-0.797653778253707,0.0949976603470953,-8.39656235047578,4.59739660486649e-17,0.450384427195113,0.373869230965579,0.542559043267581
CHARLS,wealth,relapse,period_factor4,-0.173049864657507,0.0820559023455171,-2.1089264722096,0.0349509288033811,0.841095672851263,0.716140119705787,0.987854068530275
CHARLS,wealth,death_pre,(Intercept),-25.3984211457639,1202.44502306864,-0.0211223138343133,0.983148084998814,9.32407691391022e-12,0,Inf
CHARLS,wealth,death_pre,sesmiddle,0.111386294086137,0.143853907779638,0.774301482701209,0.438752527078276,1.11782663328017,0.843186286334617,1.48192208806228
CHARLS,wealth,death_pre,seslow,0.0837428457471514,0.144261189767922,0.580494628401938,0.561581108098837,1.08734924137171,0.819542446774174,1.44266886646986
CHARLS,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.52813100114247,0.298074157701036,5.12668059830655,2.94895174446828e-07,4.60955351607997,2.56999936557324,8.2676999466363
CHARLS,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",2.52957974162084,0.509165769419408,4.96808680698483,6.76166946943631e-07,12.5482315289532,4.62564043383621,34.0402840982667
CHARLS,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",3.23218561367117,0.750040369971597,4.30934886050676,1.63735911324289e-05,25.3349689581404,5.82469413189309,110.196456256035
CHARLS,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",1.54233970011249,0.909084043971296,1.69658648211979,0.089774867266478,4.67551679077518,0.787048799049239,27.7752247220608
CHARLS,wealth,death_pre,sex_factormale,0.677522134125396,0.128939273648756,5.25458314563672,1.48360111327623e-07,1.96899278258152,1.52928630273586,2.53512541825712
CHARLS,wealth,death_pre,period_factor2,-0.0071652705047433,1662.21428645277,-4.31067796922518e-06,0.999996560576602,0.992860338843485,0,Inf
CHARLS,wealth,death_pre,period_factor3,19.4974478348227,1202.44500894047,0.0162148353478575,0.987063000123712,293517504.15469,0,Inf
CHARLS,wealth,death_pre,period_factor4,19.6823781379127,1202.44500863751,0.0163686305789691,0.986940305567313,353141059.800784,0,Inf
CHARLS,wealth,death_post,(Intercept),-24.4204365854656,1441.90416477937,-0.016936241105318,0.98648748068721,2.47935745893631e-11,0,Inf
CHARLS,wealth,death_post,sesmiddle,-0.0184192445723436,0.135696940441552,-0.135738097796517,0.892028328749312,0.98174935297952,0.752476698838061,1.2808792532234
CHARLS,wealth,death_post,seslow,0.254143205370964,0.119797434998806,2.12144112579286,0.0338846974731618,1.28935643381393,1.0195284666123,1.63059695521926
CHARLS,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.91573903213144,0.223912912911896,8.55573270526491,1.17122402246819e-17,6.79195641670713,4.3792160433155,10.5340023214574
CHARLS,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.8823349241769,0.310168933566272,6.06874100037717,1.28916851797599e-09,6.56882467748069,3.57656847568325,12.0644852564262
CHARLS,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.85504484923081,0.518187443401088,5.50967586264136,3.59495069605365e-08,17.375216455275,6.29274548866273,47.9755851260107
CHARLS,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.32100321689335,0.476438767863501,4.87156665966006,1.10716795062187e-06,10.1858878367751,4.00355706369475,25.9150324006155
CHARLS,wealth,death_post,origin_factorR1,-0.736715625001327,0.108265186441604,-6.80473242798782,1.01237218841821e-11,0.478683512698602,0.387160714029927,0.591841829570964
CHARLS,wealth,death_post,origin_factorD2,-0.46971259378559,0.155914847880909,-3.01262259604914,0.00259000797672156,0.625181923634421,0.460562967389539,0.848640610109359
CHARLS,wealth,death_post,sex_factormale,0.718320616763184,0.0921233838046844,7.79737550985028,6.32079414413505e-15,2.05098592541549,1.71216522759107,2.45685591464256
CHARLS,wealth,death_post,period_factor2,0.15276951617191,1790.37404774262,8.53282677798688e-05,0.999931917892621,1.1650564213309,0,Inf
CHARLS,wealth,death_post,period_factor3,19.328896973809,1441.90415326501,0.0134051191475114,0.989304582720228,247989502.302761,0,Inf
CHARLS,wealth,death_post,period_factor4,20.1554694502109,1441.90415228859,0.0139783697953988,0.988847237754907,566773012.137516,0,Inf
HRS,education,onset,(Intercept),-3.11661119470524,0.0750947537708104,-41.5023824995439,0,0.0443070623029794,0.0382429170088506,0.0513327937161741
HRS,education,onset,sesmiddle,0.240125330601856,0.0313727648538302,7.65394225598638,1.94909825462039e-14,1.27140848672718,1.19558393131656,1.35204187492036
HRS,education,onset,seslow,0.569284030829059,0.0363885476958552,15.6445933370928,3.61672241681001e-55,1.7670014798481,1.64536538376842,1.8976297061959
HRS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.12532016004451,0.0548776816787104,20.50597120033,1.90430014879628e-93,3.08120316916323,2.76698949413448,3.43109830730717
HRS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.44806314824173,0.0727695090897995,19.8993117633208,4.12554339251611e-88,4.25486548547701,3.68929325694706,4.90714048426845
HRS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.23882680527452,0.109697754382463,20.4090486435011,1.38963208209908e-92,9.38231754261863,7.56717040298363,11.6328664193714
HRS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.08239807054892,0.104860954078789,19.858660345435,9.27517462459648e-88,8.02368722968758,6.53302838395985,9.85447375644637
HRS,education,onset,sex_factormale,-0.177256673909697,0.0236249296330881,-7.50295034366741,6.23971947088898e-14,0.837564775904967,0.799665682133668,0.877260046929807
HRS,education,onset,period_factor3,-0.349623525639692,0.0561781497777548,-6.22347882624884,4.8625046623329e-10,0.704953436661533,0.631452410682342,0.787009978034443
HRS,education,onset,period_factor4,-0.458770537560462,0.0542918844286451,-8.45007577814721,2.91113810624154e-17,0.632060262350565,0.568256356030492,0.70302808055389
HRS,education,onset,period_factor5,-0.558268113058781,0.0560963977977366,-9.95194228106579,2.47308575281685e-23,0.572199190513436,0.512621741011055,0.638700795207145
HRS,education,onset,period_factor6,-0.737698741146214,0.0583173498518856,-12.6497301921267,1.12259672765454e-36,0.47821314246115,0.426560637765639,0.53612028250064
HRS,education,onset,period_factor7,-0.599757862397668,0.0561978389717809,-10.6722584599531,1.37249196215553e-26,0.548944540117604,0.491690597695249,0.612865305005686
HRS,education,onset,period_factor8,-0.718831936477985,0.0579926414920276,-12.3952266698665,2.77360343592246e-35,0.487321145699412,0.43496160602409,0.545983589716271
HRS,education,onset,period_factor9,-0.622095006112692,0.0562771612643857,-11.0541291020373,2.09358819794742e-28,0.53681862041833,0.48075464037637,0.599420592180318
HRS,education,onset,period_factor10,-0.788557397600019,0.0577515752465054,-13.6543011032021,1.90306378228528e-42,0.454499985349004,0.405858588157626,0.508970963556445
HRS,education,onset,period_factor11,-0.749355474760542,0.0571346859598371,-13.1155962822182,2.68065487377401e-39,0.472671103041167,0.422595653394716,0.528680240450734
HRS,education,onset,period_factor12,-0.803530040596506,0.0579727630945752,-13.8604751214919,1.09944099001107e-43,0.447745610927426,0.399653780166645,0.501624511148576
HRS,education,onset,period_factor13,-0.922486013748314,0.0584792448540625,-15.7745883355782,4.65422717294503e-56,0.39752954772607,0.354479297573275,0.445808097672128
HRS,education,onset,period_factor14,-0.933035385881695,0.058500068985354,-15.949304027578,2.88089513223666e-57,0.393357903395512,0.350745103180665,0.441147827184385
HRS,education,onset,period_factor15,-0.978024974600656,0.0611583880141342,-15.9916735276709,1.46054090223274e-57,0.376053080279181,0.333572376858338,0.42394373454825
HRS,education,onset,proxy_factorself,-0.348554812698002,0.0450928062799972,-7.72972102320938,1.07782522370694e-14,0.705707232246385,0.646012314293877,0.770918272957716
HRS,education,recovery,(Intercept),-2.23991400855172,0.10204939278601,-21.9493124593954,8.79210407656143e-107,0.106467659293843,0.0871668815966557,0.130042078687196
HRS,education,recovery,sesmiddle,-0.0645987868159966,0.0309335269686356,-2.08830977733303,0.0367699000575615,0.937443502628919,0.882295275366342,0.996038792405735
HRS,education,recovery,seslow,-0.286488675387332,0.0348999322253989,-8.20886050829737,2.23297463369012e-16,0.750895582084561,0.701248793567815,0.80405724810646
HRS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.281589546344859,0.0546061499921766,-5.15673685812316,2.51290555555499e-07,0.754583342469651,0.677993484934186,0.839825209807058
HRS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-0.634543610802388,0.0829945498661922,-7.64560578767437,2.0796389305526e-14,0.530177400348688,0.450583022813039,0.62383192798883
HRS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-1.15473526497032,0.117094969946261,-9.86152748918475,6.11125118866241e-23,0.315140954711118,0.250513765952486,0.396440574667148
