cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,formula
CHARLS,education,onset,21334,9323,3002,19477,2864,404,28,TRUE,5,3.40609005863722,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,education,recovery,7947,4774,2807,7639,2700,62,19,TRUE,5,1.95667913267933,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,education,relapse,3453,2366,1209,3315,1172,22,6,TRUE,5,1.81186152548678,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,education,death_pre,21680,9499,755,19771,703,420,15,TRUE,7,6.04773076564535,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,education,death_post,11565,5270,1207,11112,1172,87,13,TRUE,6,4.35561698782059,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,wealth,onset,17979,7377,2426,5881,1023,5809,557,TRUE,5,2.9592294130365,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,wealth,recovery,6103,3578,2358,2925,1068,1181,491,TRUE,5,1.13856161479778,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,wealth,relapse,2971,2004,1058,1307,493,639,217,TRUE,5,1.35485878497512,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,wealth,death_pre,18178,7465,283,5942,93,5886,90,TRUE,22,25.3984211457639,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,wealth,death_post,9135,3952,452,4261,247,1832,81,TRUE,21,24.4204365854656,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
HRS,education,onset,114851,24608,8927,23670,2881,25718,1357,TRUE,6,3.11661119470524,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
HRS,education,recovery,27359,11758,8200,10307,2682,3301,1084,TRUE,5,2.23991400855172,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
HRS,education,relapse,19691,6829,5228,5845,1789,2822,620,TRUE,5,1.67202169958324,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
HRS,education,death_pre,121973,26219,5113,25325,1561,27080,773,TRUE,7,5.21435216617073,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
HRS,education,death_post,51436,13946,6245,17775,2465,6645,722,TRUE,8,3.00665401243097,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
HRS,wealth,onset,114878,24613,8928,31542,3290,44190,2682,TRUE,6,3.11518332401985,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
HRS,wealth,recovery,27361,11759,8200,13225,3588,6240,2039,TRUE,5,2.14543774984612,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
HRS,wealth,relapse,19691,6829,5228,8268,2450,5061,1199,TRUE,5,1.70891654849722,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
