cohort,exposure,estimand,block,contribution_years,total_low_minus_high_gap,contribution_percent
CHARLS,education,dfle,onset,-4.00326030168008,-5.37867162954775,74.4284198293154
CHARLS,education,dfle,recovery,0.28305788076599,-5.37867162954775,-5.26259828190683
CHARLS,education,dfle,relapse,-0.602861459828214,-5.37867162954775,11.2083707902225
CHARLS,education,dfle,post_disability_mortality,-0.159388571589204,-5.37867162954775,2.96334453127055
CHARLS,education,dfle,pre_disability_mortality,-0.89621917721624,-5.37867162954775,16.6624631310983
CHARLS,education,disabled_years,onset,2.66995797135003,2.54364676377379,104.965752689216
CHARLS,education,disabled_years,recovery,-0.173463932483406,2.54364676377379,-6.81949769731598
CHARLS,education,disabled_years,relapse,0.594295485436736,2.54364676377379,23.3639156938219
CHARLS,education,disabled_years,post_disability_mortality,-0.289696274175018,2.54364676377379,-11.3890135336724
CHARLS,education,disabled_years,pre_disability_mortality,-0.257446486354554,2.54364676377379,-10.121157152049
CHARLS,education,total_life_expectancy,onset,-1.33330233033005,-2.83502486577396,47.0296520650115
CHARLS,education,total_life_expectancy,recovery,0.109593948282583,-2.83502486577396,-3.86571382867445
CHARLS,education,total_life_expectancy,relapse,-0.00856597439147837,-2.83502486577396,0.302148122046184
CHARLS,education,total_life_expectancy,post_disability_mortality,-0.449084845764222,-2.83502486577396,15.8405963625163
CHARLS,education,total_life_expectancy,pre_disability_mortality,-1.1536656635708,-2.83502486577396,40.6933172791006
CHARLS,wealth,dfle,onset,-2.57869809583928,-3.92186192735274,65.7518837635343
CHARLS,wealth,dfle,recovery,-0.526501747066619,-3.92186192735274,13.4247904903171
CHARLS,wealth,dfle,relapse,-0.189616733395391,-3.92186192735274,4.83486509489085
CHARLS,wealth,dfle,post_disability_mortality,-0.532551836867433,-3.92186192735274,13.5790562424748
CHARLS,wealth,dfle,pre_disability_mortality,-0.0944935141840189,-3.92186192735274,2.409404408783
CHARLS,wealth,disabled_years,onset,1.64409607793219,1.23433637339284,133.196761707106
CHARLS,wealth,disabled_years,recovery,0.411109037166595,1.23433637339284,33.3060781508508
CHARLS,wealth,disabled_years,relapse,0.169429040292008,1.23433637339284,13.7263264653132
CHARLS,wealth,disabled_years,post_disability_mortality,-0.938691873535759,1.23433637339284,-76.0483036690854
CHARLS,wealth,disabled_years,pre_disability_mortality,-0.0516059084622023,1.23433637339284,-4.18086265418498
CHARLS,wealth,total_life_expectancy,onset,-0.934602017907085,-2.6875255539599,34.7755583767383
CHARLS,wealth,total_life_expectancy,recovery,-0.115392709900023,-2.6875255539599,4.29364140296261
CHARLS,wealth,total_life_expectancy,relapse,-0.0201876931033817,-2.6875255539599,0.751162833545391
CHARLS,wealth,total_life_expectancy,post_disability_mortality,-1.47124371040319,-2.6875255539599,54.7434314898106
CHARLS,wealth,total_life_expectancy,pre_disability_mortality,-0.146099422646222,-2.6875255539599,5.43620589694313
HRS,education,dfle,onset,-2.29850971986064,-4.80207351935958,47.8649423128194
HRS,education,dfle,recovery,-0.50406444507749,-4.80207351935958,10.4968081610028
HRS,education,dfle,relapse,-0.30944717947622,-4.80207351935958,6.4440325252973
HRS,education,dfle,post_disability_mortality,-0.130857405417901,-4.80207351935958,2.72501878387218
HRS,education,dfle,pre_disability_mortality,-1.55919476952733,-4.80207351935958,32.4691982170084
HRS,education,disabled_years,onset,1.40142849195753,1.24825363648473,112.271132324049
HRS,education,disabled_years,recovery,0.254449682197684,1.24825363648473,20.3844535085236
HRS,education,disabled_years,relapse,0.248934191401963,1.24825363648473,19.9425969311013
HRS,education,disabled_years,post_disability_mortality,-0.224221025758368,1.24825363648473,-17.9627776923454
HRS,education,disabled_years,pre_disability_mortality,-0.432337703314078,1.24825363648473,-34.6354050713289
HRS,education,total_life_expectancy,onset,-0.897081227903112,-3.55381988287485,25.2427319748524
HRS,education,total_life_expectancy,recovery,-0.249614762879805,-3.55381988287485,7.02384395119877
HRS,education,total_life_expectancy,relapse,-0.0605129880742569,-3.55381988287485,1.7027590049191
HRS,education,total_life_expectancy,post_disability_mortality,-0.35507843117627,-3.55381988287485,9.99145828654182
HRS,education,total_life_expectancy,pre_disability_mortality,-1.99153247284141,-3.55381988287485,56.039206782488
HRS,wealth,dfle,onset,-2.24713387304699,-5.30742325493615,42.3394510878147
HRS,wealth,dfle,recovery,-0.622958477354219,-5.30742325493615,11.7374938351645
HRS,wealth,dfle,relapse,-0.328148846619196,-5.30742325493615,6.18282791586298
HRS,wealth,dfle,post_disability_mortality,-0.272423386758371,-5.30742325493615,5.13287472418947
HRS,wealth,dfle,pre_disability_mortality,-1.83675867115738,-5.30742325493615,34.6073524369684
HRS,wealth,disabled_years,onset,1.41549432850903,0.98640497437091,143.500323425657
HRS,wealth,disabled_years,recovery,0.310260393685491,0.98640497437091,31.4536525815234
HRS,wealth,disabled_years,relapse,0.264555811979565,0.98640497437091,26.8202025388495
HRS,wealth,disabled_years,post_disability_mortality,-0.482615974099385,0.98640497437091,-48.9267579380546
HRS,wealth,disabled_years,pre_disability_mortality,-0.521289585703792,0.98640497437091,-52.8474206079759
HRS,wealth,total_life_expectancy,onset,-0.831639544537965,-4.32101828056524,19.2463787593413
HRS,wealth,total_life_expectancy,recovery,-0.312698083668727,-4.32101828056524,7.23667578716705
HRS,wealth,total_life_expectancy,relapse,-0.0635930346396325,-4.32101828056524,1.47171408474842
HRS,wealth,total_life_expectancy,post_disability_mortality,-0.755039360857755,-4.32101828056524,17.4736442160802
HRS,wealth,total_life_expectancy,pre_disability_mortality,-2.35804825686116,-4.32101828056524,54.571587152663
ELSA,education,dfle,onset,-1.50700489140321,-4.01803308638042,37.5060348933258
ELSA,education,dfle,recovery,-0.475619194940873,-4.01803308638042,11.8371149444498
ELSA,education,dfle,relapse,-0.570320772804164,-4.01803308638042,14.1940287833202
ELSA,education,dfle,post_disability_mortality,-0.48462410477459,-4.01803308638042,12.0612273307873
ELSA,education,dfle,pre_disability_mortality,-0.980464122457574,-4.01803308638042,24.401594048117
ELSA,education,disabled_years,onset,1.20848693571883,0.826515428990369,146.214685573995
ELSA,education,disabled_years,recovery,0.329776076665775,0.826515428990369,39.8995669165685
ELSA,education,disabled_years,relapse,0.495376071971707,0.826515428990369,59.9354899613713
ELSA,education,disabled_years,post_disability_mortality,-0.889028594598399,0.826515428990369,-107.563460210827
ELSA,education,disabled_years,pre_disability_mortality,-0.318095060767543,0.826515428990369,-38.4862822411086
