cohort,exposure,ses,age,age_rate_evaluated,tail_rate_held_at_95,process,origin_state,destination,annual_hazard,standardization_rows
CHARLS,education,high,60,60,FALSE,onset,I0,D1,0.0210873056865021,21334
CHARLS,education,high,61,61,FALSE,onset,I0,D1,0.0220127062601456,21334
CHARLS,education,high,62,62,FALSE,onset,I0,D1,0.0229776522974164,21334
CHARLS,education,high,63,63,FALSE,onset,I0,D1,0.0239826742687059,21334
CHARLS,education,high,64,64,FALSE,onset,I0,D1,0.0250281745710306,21334
CHARLS,education,high,65,65,FALSE,onset,I0,D1,0.0261144103050753,21334
CHARLS,education,high,66,66,FALSE,onset,I0,D1,0.027241475249063,21334
CHARLS,education,high,67,67,FALSE,onset,I0,D1,0.028409281122022,21334
CHARLS,education,high,68,68,FALSE,onset,I0,D1,0.0296175382522343,21334
CHARLS,education,high,69,69,FALSE,onset,I0,D1,0.030865735791532,21334
CHARLS,education,high,70,70,FALSE,onset,I0,D1,0.0321531216424613,21334
CHARLS,education,high,71,71,FALSE,onset,I0,D1,0.0334799435999977,21334
CHARLS,education,high,72,72,FALSE,onset,I0,D1,0.0348516252615485,21334
CHARLS,education,high,73,73,FALSE,onset,I0,D1,0.0362757280985866,21334
CHARLS,education,high,74,74,FALSE,onset,I0,D1,0.0377608763941276,21334
CHARLS,education,high,75,75,FALSE,onset,I0,D1,0.0393168628995531,21334
CHARLS,education,high,76,76,FALSE,onset,I0,D1,0.0409547761925375,21334
CHARLS,education,high,77,77,FALSE,onset,I0,D1,0.0426871541576873,21334
CHARLS,education,high,78,78,FALSE,onset,I0,D1,0.0445281687854638,21334
CHARLS,education,high,79,79,FALSE,onset,I0,D1,0.0464938484538894,21334
CHARLS,education,high,80,80,FALSE,onset,I0,D1,0.0486023450712135,21334
CHARLS,education,high,81,81,FALSE,onset,I0,D1,0.0508608960693549,21334
CHARLS,education,high,82,82,FALSE,onset,I0,D1,0.0532210709758699,21334
CHARLS,education,high,83,83,FALSE,onset,I0,D1,0.0556095962951112,21334
CHARLS,education,high,84,84,FALSE,onset,I0,D1,0.057939683135009,21334
CHARLS,education,high,85,85,FALSE,onset,I0,D1,0.0601113443576149,21334
CHARLS,education,high,86,86,FALSE,onset,I0,D1,0.0620132408071728,21334
CHARLS,education,high,87,87,FALSE,onset,I0,D1,0.0635263332232773,21334
CHARLS,education,high,88,88,FALSE,onset,I0,D1,0.0645294899032786,21334
CHARLS,education,high,89,89,FALSE,onset,I0,D1,0.0649069900678925,21334
CHARLS,education,high,90,90,FALSE,onset,I0,D1,0.0645575756635537,21334
CHARLS,education,high,91,91,FALSE,onset,I0,D1,0.063445819651442,21334
CHARLS,education,high,92,92,FALSE,onset,I0,D1,0.0617265187397083,21334
CHARLS,education,high,93,93,FALSE,onset,I0,D1,0.0596005524713492,21334
CHARLS,education,high,94,94,FALSE,onset,I0,D1,0.057257881172853,21334
CHARLS,education,high,95,95,FALSE,onset,I0,D1,0.0548685525439442,21334
CHARLS,education,high,96,95,TRUE,onset,I0,D1,0.0548685525439442,21334
CHARLS,education,high,97,95,TRUE,onset,I0,D1,0.0548685525439442,21334
CHARLS,education,high,98,95,TRUE,onset,I0,D1,0.0548685525439442,21334
CHARLS,education,high,99,95,TRUE,onset,I0,D1,0.0548685525439442,21334
CHARLS,education,middle,60,60,FALSE,onset,I0,D1,0.0291777851934791,21334
CHARLS,education,middle,61,61,FALSE,onset,I0,D1,0.0304582303843967,21334
CHARLS,education,middle,62,62,FALSE,onset,I0,D1,0.0317933932836954,21334
CHARLS,education,middle,63,63,FALSE,onset,I0,D1,0.0331840078851511,21334
CHARLS,education,middle,64,64,FALSE,onset,I0,D1,0.0346306309717825,21334
CHARLS,education,middle,65,65,FALSE,onset,I0,D1,0.0361336182850325,21334
CHARLS,education,middle,66,66,FALSE,onset,I0,D1,0.0376930995826277,21334
