age,state,probability_start,probability_end,half_cycle_occupancy,cohort,exposure,ses
60,I0,1,0.975634969622812,0.987817484811406,CHARLS,education,high
60,D1,0,0.0208293531412815,0.0104146765706407,CHARLS,education,high
60,R1,0,0,0,CHARLS,education,high
60,D2,0,0,0,CHARLS,education,high
60,DEAD,0,0.00353567723590617,0.00176783861795309,CHARLS,education,high
61,I0,0.975634969622812,0.95050517466708,0.963070072144946,CHARLS,education,high
61,D1,0.0208293531412815,0.0375241746594257,0.0291767639003536,CHARLS,education,high
61,R1,0,0.00414701556302568,0.00207350778151284,CHARLS,education,high
61,D2,0,0,0,CHARLS,education,high
61,DEAD,0.00353567723590617,0.00782363511046844,0.0056796561731873,CHARLS,education,high
62,I0,0.95050517466708,0.924602766608045,0.937553970637562,CHARLS,education,high
62,D1,0.0375241746594257,0.0510166709494105,0.0442704228044181,CHARLS,education,high
62,R1,0.00414701556302568,0.0110104901746819,0.00757875286885378,CHARLS,education,high
62,D2,0,0.000455999356305395,0.000227999678152697,CHARLS,education,high
62,DEAD,0.00782363511046844,0.0129140729115576,0.010368854011013,CHARLS,education,high
63,I0,0.924602766608045,0.897927554746572,0.911265160677308,CHARLS,education,high
63,D1,0.0510166709494105,0.0620148138513808,0.0565157424003956,CHARLS,education,high
63,R1,0.0110104901746819,0.0196178959331187,0.0153141930539003,CHARLS,education,high
63,D2,0.000455999356305395,0.0015779097479309,0.00101695455211815,CHARLS,education,high
63,DEAD,0.0129140729115576,0.0188618257209979,0.0158879493162778,CHARLS,education,high
64,I0,0.897927554746572,0.870489088429084,0.884208321587828,CHARLS,education,high
64,D1,0.0620148138513808,0.071058435531737,0.0665366246915589,CHARLS,education,high
64,R1,0.0196178959331187,0.0292932561973044,0.0244555760652116,CHARLS,education,high
64,D2,0.0015779097479309,0.00343462551141094,0.00250626762967092,CHARLS,education,high
64,DEAD,0.0188618257209979,0.0257245943304641,0.022293210025731,CHARLS,education,high
65,I0,0.870489088429084,0.842308931549705,0.856399009989394,CHARLS,education,high
65,D1,0.071058435531737,0.0785601220861393,0.0748092788089381,CHARLS,education,high
65,R1,0.0292932561973044,0.0395505089362213,0.0344218825667629,CHARLS,education,high
65,D2,0.00343462551141094,0.00601922293366082,0.00472692422253588,CHARLS,education,high
65,DEAD,0.0257245943304641,0.0335612144942738,0.0296429044123689,CHARLS,education,high
66,I0,0.842308931549705,0.813423018830684,0.827865975190194,CHARLS,education,high
66,D1,0.0785601220861393,0.0848352536510228,0.0816976878685811,CHARLS,education,high
66,R1,0.0395505089362213,0.0500229224865032,0.0447867157113622,CHARLS,education,high
66,D2,0.00601922293366082,0.00928875678425478,0.0076539898589578,CHARLS,education,high
66,DEAD,0.0335612144942738,0.0424300482475353,0.0379956313709045,CHARLS,education,high
