age,origin_state,destination,annual_probability,cohort,exposure,ses
60,I0,I0,0.983226797991894,CHARLS,education,high
60,D1,I0,0,CHARLS,education,high
60,R1,I0,0,CHARLS,education,high
60,D2,I0,0,CHARLS,education,high
60,DEAD,I0,0,CHARLS,education,high
60,I0,D1,0.0129216653615371,CHARLS,education,high
60,D1,D1,0.673761003326823,CHARLS,education,high
60,R1,D1,0,CHARLS,education,high
60,D2,D1,0,CHARLS,education,high
60,DEAD,D1,0,CHARLS,education,high
60,I0,R1,0,CHARLS,education,high
60,D1,R1,0.309049580994338,CHARLS,education,high
60,R1,R1,0.820686159147671,CHARLS,education,high
60,D2,R1,0.321155256322837,CHARLS,education,high
60,DEAD,R1,0,CHARLS,education,high
60,I0,D2,0,CHARLS,education,high
60,D1,D2,0,CHARLS,education,high
60,R1,D2,0.172564834447362,CHARLS,education,high
60,D2,D2,0.66757207054594,CHARLS,education,high
60,DEAD,D2,0,CHARLS,education,high
60,I0,DEAD,0.00385153664656899,CHARLS,education,high
60,D1,DEAD,0.0171894156788388,CHARLS,education,high
60,R1,DEAD,0.00674900640496685,CHARLS,education,high
60,D2,DEAD,0.0112726731312231,CHARLS,education,high
60,DEAD,DEAD,1,CHARLS,education,high
61,I0,I0,0.982180184805328,CHARLS,education,high
61,D1,I0,0,CHARLS,education,high
61,R1,I0,0,CHARLS,education,high
61,D2,I0,0,CHARLS,education,high
61,DEAD,I0,0,CHARLS,education,high
61,I0,D1,0.0134372786905515,CHARLS,education,high
61,D1,D1,0.68477864342799,CHARLS,education,high
61,R1,D1,0,CHARLS,education,high
61,D2,D1,0,CHARLS,education,high
61,DEAD,D1,0,CHARLS,education,high
61,I0,R1,0,CHARLS,education,high
61,D1,R1,0.296802434364958,CHARLS,education,high
61,R1,R1,0.815990601245554,CHARLS,education,high
61,D2,R1,0.30860009471095,CHARLS,education,high
61,DEAD,R1,0,CHARLS,education,high
61,I0,D2,0,CHARLS,education,high
61,D1,D2,0,CHARLS,education,high
61,R1,D2,0.17685220324313,CHARLS,education,high
61,D2,D2,0.679314207372501,CHARLS,education,high
61,DEAD,D2,0,CHARLS,education,high
61,I0,DEAD,0.00438253650412028,CHARLS,education,high
61,D1,DEAD,0.0184189222070522,CHARLS,education,high
61,R1,DEAD,0.00715719551131636,CHARLS,education,high
61,D2,DEAD,0.0120856979165493,CHARLS,education,high
61,DEAD,DEAD,1,CHARLS,education,high
62,I0,I0,0.981041178959212,CHARLS,education,high
62,D1,I0,0,CHARLS,education,high
62,R1,I0,0,CHARLS,education,high
62,D2,I0,0,CHARLS,education,high
62,DEAD,I0,0,CHARLS,education,high
62,I0,D1,0.0139757176785832,CHARLS,education,high
62,D1,D1,0.695294823492103,CHARLS,education,high
62,R1,D1,0,CHARLS,education,high
62,D2,D1,0,CHARLS,education,high
62,DEAD,D1,0,CHARLS,education,high
62,I0,R1,0,CHARLS,education,high
62,D1,R1,0.284969610721463,CHARLS,education,high
62,R1,R1,0.811170287862061,CHARLS,education,high
62,D2,R1,0.296462084557003,CHARLS,education,high
62,DEAD,R1,0,CHARLS,education,high
62,I0,D2,0,CHARLS,education,high
62,D1,D2,0,CHARLS,education,high
62,R1,D2,0.181237284072624,CHARLS,education,high
62,D2,D2,0.690581074866875,CHARLS,education,high
62,DEAD,D2,0,CHARLS,education,high
62,I0,DEAD,0.00498310336220483,CHARLS,education,high
62,D1,DEAD,0.0197355657864342,CHARLS,education,high
62,R1,DEAD,0.00759242806531559,CHARLS,education,high
62,D2,DEAD,0.0129568405761222,CHARLS,education,high
62,DEAD,DEAD,1,CHARLS,education,high
63,I0,I0,0.979801018846578,CHARLS,education,high
63,D1,I0,0,CHARLS,education,high
63,R1,I0,0,CHARLS,education,high
63,D2,I0,0,CHARLS,education,high
63,DEAD,I0,0,CHARLS,education,high
63,I0,D1,0.0145410385846839,CHARLS,education,high
63,D1,D1,0.705259307471106,CHARLS,education,high
63,R1,D1,0,CHARLS,education,high
63,D2,D1,0,CHARLS,education,high
63,DEAD,D1,0,CHARLS,education,high
63,I0,R1,0,CHARLS,education,high
63,D1,R1,0.273587201928458,CHARLS,education,high
63,R1,R1,0.8062125860328,CHARLS,education,high
63,D2,R1,0.284780092078041,CHARLS,education,high
63,DEAD,R1,0,CHARLS,education,high
63,I0,D2,0,CHARLS,education,high
63,D1,D2,0,CHARLS,education,high
63,R1,D2,0.185727652613289,CHARLS,education,high
63,D2,D2,0.70132438755723,CHARLS,education,high
63,DEAD,D2,0,CHARLS,education,high
63,I0,DEAD,0.00565794256873832,CHARLS,education,high
63,D1,DEAD,0.0211534906004365,CHARLS,education,high
63,R1,DEAD,0.00805976135391163,CHARLS,education,high
63,D2,DEAD,0.0138955203647292,CHARLS,education,high
63,DEAD,DEAD,1,CHARLS,education,high
64,I0,I0,0.978451496094106,CHARLS,education,high
64,D1,I0,0,CHARLS,education,high
64,R1,I0,0,CHARLS,education,high
64,D2,I0,0,CHARLS,education,high
64,DEAD,I0,0,CHARLS,education,high
64,I0,D1,0.0151378400035589,CHARLS,education,high
64,D1,D1,0.714625737812992,CHARLS,education,high
64,R1,D1,0,CHARLS,education,high
64,D2,D1,0,CHARLS,education,high
64,DEAD,D1,0,CHARLS,education,high
