exposure,block,min_contribution_years,max_contribution_years,country_range_years,point_range_ge_0_75y
education,onset,-4.47381609689664,-2.26276582190936,2.21105027498727,TRUE
education,recovery,-0.381550173003062,0.14539514058334,0.526945313586402,FALSE
education,relapse,-0.386059700009119,0.56106329813254,0.947122998141659,TRUE
education,post_disability_mortality,-0.250334789208275,0.12667865588648,0.377013445094754,FALSE
education,pre_disability_mortality,-2.10511691005045,-0.243591361932051,1.8615255481184,TRUE
wealth,onset,-2.84141812851473,-0.981059658938887,1.86035846957584,TRUE
wealth,recovery,-0.394728220485238,-0.027054446402938,0.3676737740823,FALSE
wealth,relapse,-0.359717598147677,-0.182356086636008,0.177361511511669,FALSE
wealth,post_disability_mortality,-0.51903982024001,-0.0192557337864508,0.499784086453559,FALSE
wealth,pre_disability_mortality,-2.2252042336408,-0.292919572793835,1.93228466084697,TRUE
