cohort,exposure,ses,total_life_expectancy,dfle,disabled_years,residual_alive_age100,state_years_closure
CHARLS,education,high,25.7137350839907,21.7119235585527,4.00181152543796,0.104868239431034,8.88178419700125e-16
CHARLS,education,middle,25.8833252141179,19.2593114232552,6.62401379086268,0.0877155384502873,-1.77635683940025e-15
CHARLS,education,low,22.4109054438097,16.4007075335839,6.01019791022579,0.0306330903883208,1.77635683940025e-15
CHARLS,wealth,high,29.7668098693597,22.3610255883842,7.4057842809754,0.271639734985601,0
CHARLS,wealth,middle,28.7559417786333,19.3726743530261,9.38326742560713,0.234091411114522,0
CHARLS,wealth,low,26.9273514093161,18.1631407745125,8.76421063480365,0.156348248146505,0
HRS,education,high,26.6050782620073,23.7274062980789,2.87767196392834,0.0871347143906666,0
HRS,education,middle,23.8642690770502,20.8505787946006,3.01369028244965,0.038405134228883,8.88178419700125e-16
HRS,education,low,22.6159650640251,18.2430222450819,4.37294281894323,0.0293566796619827,0
HRS,wealth,high,26.2936229078968,23.3905429724746,2.90307993542218,0.0772626796184003,0
HRS,wealth,middle,24.3155210555512,21.1939771110176,3.1215439445336,0.0421245195594655,1.77635683940025e-15
HRS,wealth,low,21.6879229498183,17.7096674451091,3.97825550470925,0.0183906193219941,3.5527136788005e-15
ELSA,education,high,26.4589735271024,23.4895739723548,2.96939955474755,0.0547899295680112,0
ELSA,education,middle,25.9826127301793,22.3719322542756,3.61068047590372,0.0341987916528988,-8.88178419700125e-16
ELSA,education,low,23.3287074019678,19.2125814677719,4.11612593419595,0.00800560360669223,0
ELSA,wealth,high,26.8103137611345,23.6137684360869,3.19654532504759,0.0487194273889869,-8.88178419700125e-16
ELSA,wealth,middle,24.8318644730204,20.9214225723448,3.91044190067565,0.0172284983069765,-1.77635683940025e-15
ELSA,wealth,low,22.2941060976726,17.8981234687922,4.39598262888043,0.00335564122499862,-8.88178419700125e-16
MHAS,education,high,24.0269801182773,21.9207975499629,2.10618256831436,0.0633794282145389,-8.88178419700125e-16
MHAS,education,middle,24.8775767632946,22.1392491310411,2.73832763225346,0.0824142022442651,-4.44089209850063e-16
MHAS,education,low,23.04144287775,18.6933510969485,4.34809178080146,0.0602533406690631,2.66453525910038e-15
MHAS,wealth,high,24.02926985476,20.1065521826198,3.92271767214021,0.0743902423401911,-8.88178419700125e-16
MHAS,wealth,middle,23.2471110703722,18.924225951312,4.32288511906029,0.062106193220521,-1.77635683940025e-15
MHAS,wealth,low,22.2819075922495,17.8544262849655,4.42748130728402,0.0498267706899126,1.77635683940025e-15
