cohort,exposure,estimand,high,low,low_minus_high_gap,shapley_sum,closure_error
CHARLS,education,dfle,21.7119235585527,16.4007075335839,-5.31121602496878,-5.31121602496877,9.76996261670138e-15
CHARLS,education,disabled_years,4.00181152543796,6.01019791022579,2.00838638478782,2.00838638478782,4.44089209850063e-16
CHARLS,education,total_life_expectancy,25.7137350839907,22.4109054438097,-3.30282964018096,-3.30282964018096,2.66453525910038e-15
CHARLS,wealth,dfle,22.3610255883842,18.1631407745125,-4.19788481387178,-4.19788481387178,3.5527136788005e-15
CHARLS,wealth,disabled_years,7.4057842809754,8.76421063480365,1.35842635382824,1.35842635382824,1.33226762955019e-15
CHARLS,wealth,total_life_expectancy,29.7668098693597,26.9273514093161,-2.83945846004354,-2.83945846004354,1.33226762955019e-15
HRS,education,dfle,23.7274062980789,18.2430222450819,-5.48438405299703,-5.48438405299703,-3.5527136788005e-15
HRS,education,disabled_years,2.87767196392834,4.37294281894323,1.49527085501489,1.49527085501489,2.22044604925031e-16
HRS,education,total_life_expectancy,26.6050782620073,22.6159650640251,-3.98911319798214,-3.98911319798214,-3.99680288865056e-15
HRS,wealth,dfle,23.3905429724746,17.7096674451091,-5.68087552736547,-5.68087552736548,-4.44089209850063e-15
HRS,wealth,disabled_years,2.90307993542218,3.97825550470925,1.07517556928706,1.07517556928706,1.55431223447522e-15
HRS,wealth,total_life_expectancy,26.2936229078968,21.6879229498183,-4.60569995807841,-4.60569995807841,1.77635683940025e-15
ELSA,education,dfle,23.4895739723548,19.2125814677719,-4.27699250458293,-4.27699250458293,2.66453525910038e-15
ELSA,education,disabled_years,2.96939955474755,4.11612593419595,1.1467263794484,1.1467263794484,-1.55431223447522e-15
ELSA,education,total_life_expectancy,26.4589735271024,23.3287074019678,-3.13026612513453,-3.13026612513452,4.44089209850063e-15
ELSA,wealth,dfle,23.6137684360869,17.8981234687922,-5.71564496729472,-5.71564496729472,3.5527136788005e-15
ELSA,wealth,disabled_years,3.19654532504759,4.39598262888043,1.19943730383284,1.19943730383284,-2.66453525910038e-15
ELSA,wealth,total_life_expectancy,26.8103137611345,22.2941060976726,-4.51620766346188,-4.51620766346188,0
MHAS,education,dfle,21.9207975499629,18.6933510969485,-3.22744645301441,-3.22744645301441,-4.44089209850063e-16
MHAS,education,disabled_years,2.10618256831436,4.34809178080146,2.24190921248709,2.2419092124871,3.5527136788005e-15
MHAS,education,total_life_expectancy,24.0269801182773,23.04144287775,-0.985537240527307,-0.985537240527305,1.99840144432528e-15
MHAS,wealth,dfle,20.1065521826198,17.8544262849655,-2.25212589765432,-2.25212589765432,-1.77635683940025e-15
MHAS,wealth,disabled_years,3.92271767214021,4.42748130728402,0.504763635143804,0.504763635143804,-2.22044604925031e-16
MHAS,wealth,total_life_expectancy,24.02926985476,22.2819075922495,-1.74736226251051,-1.74736226251051,-4.44089209850063e-16
