cohort,exposure,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
CHARLS,education,onset,(Intercept),-3.78473599965446,0.232658910912637,-16.2673158952232,1.68378478820277e-59,0.0227148587157813,0.0143968266956394,0.035838787073417
CHARLS,education,onset,sesmiddle,0.560382679763084,0.242826884690503,2.307745620825,0.0210132890596105,1.75134257543767,1.08810971655318,2.81883413949898
CHARLS,education,onset,seslow,1.03224417369567,0.224753416290435,4.5927852431919,4.37369090347837e-06,2.80735897177032,1.80710745853953,4.36125940332777
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.00096956252914,0.106325989889678,9.41415700495925,4.76893715329224e-21,2.72091865073904,2.20906781271828,3.35136760461401
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.57228066590898,0.193199103694082,8.1381364397973,4.01408343052192e-16,4.8176230626948,3.29897040949534,7.03537440269412
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.07211931256016,0.27875754370773,7.43341071599025,1.05832636779683e-13,7.94163610471438,4.59861203706852,13.7149173514337
CHARLS,education,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",1.52882948069606,0.376055893355153,4.06543151619275,4.79436714994687e-05,4.61277431966391,2.20727766346191,9.63978718054835
CHARLS,education,onset,sex_factormale,-0.454811858419746,0.0410660726241092,-11.0751242901357,1.65650144307982e-28,0.634567345221069,0.585492818992726,0.687755174032148
CHARLS,education,onset,period_factor2,-0.166263058462991,0.0554588699032854,-2.99795251423148,0.00271800019547989,0.846823440814078,0.759600650651288,0.944061776799872
CHARLS,education,onset,period_factor3,-0.681143765182361,0.0559454213402861,-12.1751476504096,4.21630409471876e-34,0.506037872740495,0.453483319859155,0.564683015744124
CHARLS,education,onset,period_factor4,-0.561983802310727,0.0553248019061073,-10.1578999462932,3.05587593910998e-24,0.570077021233681,0.511493493528015,0.63537036981071
CHARLS,education,recovery,(Intercept),-0.692452189476635,0.29067917485587,-2.38218713060535,0.0172101494039215,0.500347616322786,0.28303537979932,0.884510400563339
CHARLS,education,recovery,sesmiddle,-0.535548973594173,0.313297620146603,-1.70939368560658,0.0873780497901958,0.585347861405604,0.316759550378001,1.08167889000738
CHARLS,education,recovery,seslow,-0.201371503554721,0.28288584690433,-0.711847219499896,0.476559388869565,0.817608630613146,0.469621718084492,1.42345178493818
