cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,formula
CHARLS,education,onset,22314,9583,2471,20323,2370,427,22,TRUE,6,3.78473599965446,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,education,recovery,6964,4234,2349,6738,2285,43,13,TRUE,5,3.04936492062821,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,education,relapse,2900,1910,889,2831,868,14,7,TRUE,6,1.27813692648723,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,education,death_pre,22762,9784,767,20712,717,445,16,TRUE,7,6.00664033776498,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,education,death_post,10087,4678,1157,9787,1123,59,11,TRUE,6,4.29740075140351,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,wealth,onset,18981,7679,1995,6250,910,6085,432,TRUE,6,3.15500110481774,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,wealth,recovery,5167,3084,1985,2524,938,960,395,TRUE,5,1.94066941194983,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,wealth,relapse,2521,1623,776,1147,368,514,144,TRUE,5,1.89413825365043,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,wealth,death_pre,19242,7773,321,6337,117,6176,94,TRUE,22,25.4834952574272,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
CHARLS,wealth,death_post,7803,3405,406,3735,221,1491,75,TRUE,21,24.3262056817484,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
