cohort,exposure,ses,age,age_rate_evaluated,tail_rate_held_at_95,process,origin_state,destination,annual_hazard,standardization_rows
CHARLS,education,high,60,60,FALSE,onset,I0,D1,0.013031261460046,22314
CHARLS,education,high,61,61,FALSE,onset,I0,D1,0.0135584452033913,22314
CHARLS,education,high,62,62,FALSE,onset,I0,D1,0.0141098978829318,22314
CHARLS,education,high,63,63,FALSE,onset,I0,D1,0.0146899036936298,22314
CHARLS,education,high,64,64,FALSE,onset,I0,D1,0.0153033204618949,22314
CHARLS,education,high,65,65,FALSE,onset,I0,D1,0.0159556533366409,22314
CHARLS,education,high,66,66,FALSE,onset,I0,D1,0.0166531446713795,22314
CHARLS,education,high,67,67,FALSE,onset,I0,D1,0.0174028834002477,22314
CHARLS,education,high,68,68,FALSE,onset,I0,D1,0.0182129379157754,22314
CHARLS,education,high,69,69,FALSE,onset,I0,D1,0.0190925173512465,22314
CHARLS,education,high,70,70,FALSE,onset,I0,D1,0.0200521673070182,22314
CHARLS,education,high,71,71,FALSE,onset,I0,D1,0.0211031708957073,22314
CHARLS,education,high,72,72,FALSE,onset,I0,D1,0.0222549615495202,22314
CHARLS,education,high,73,73,FALSE,onset,I0,D1,0.02351721908545,22314
CHARLS,education,high,74,74,FALSE,onset,I0,D1,0.0249007434999443,22314
CHARLS,education,high,75,75,FALSE,onset,I0,D1,0.0264175869562388,22314
CHARLS,education,high,76,76,FALSE,onset,I0,D1,0.0280812028217765,22314
CHARLS,education,high,77,77,FALSE,onset,I0,D1,0.0299066139836981,22314
CHARLS,education,high,78,78,FALSE,onset,I0,D1,0.0319106029767486,22314
CHARLS,education,high,79,79,FALSE,onset,I0,D1,0.0341119268063899,22314
CHARLS,education,high,80,80,FALSE,onset,I0,D1,0.0365315597463767,22314
CHARLS,education,high,81,81,FALSE,onset,I0,D1,0.039186735447824,22314
CHARLS,education,high,82,82,FALSE,onset,I0,D1,0.0420688633370921,22314
CHARLS,education,high,83,83,FALSE,onset,I0,D1,0.0451550310586493,22314
CHARLS,education,high,84,84,FALSE,onset,I0,D1,0.0484114441778378,22314
CHARLS,education,high,85,85,FALSE,onset,I0,D1,0.0517915976780595,22314
CHARLS,education,high,86,86,FALSE,onset,I0,D1,0.0552348026473077,22314
CHARLS,education,high,87,87,FALSE,onset,I0,D1,0.0586653119342118,22314
