age,state,probability_start,probability_end,half_cycle_occupancy,cohort,exposure,ses
60,I0,1,0.983226797991894,0.991613398995947,CHARLS,education,high
60,D1,0,0.0129216653615371,0.00646083268076853,CHARLS,education,high
60,R1,0,0,0,CHARLS,education,high
60,D2,0,0,0,CHARLS,education,high
60,DEAD,0,0.00385153664656899,0.0019257683232845,CHARLS,education,high
61,I0,0.983226797991894,0.96570587815723,0.974466338074562,CHARLS,education,high
61,D1,0.0129216653615371,0.0220603729777395,0.0174910191696383,CHARLS,education,high
61,R1,0,0.00383518173535355,0.00191759086767678,CHARLS,education,high
61,D2,0,0,0,CHARLS,education,high
61,DEAD,0.00385153664656899,0.00839856712967747,0.00612505188812323,CHARLS,education,high
62,I0,0.96570587815723,0.94739723323521,0.95655155569622,CHARLS,education,high
62,D1,0.0220603729777395,0.0288348958494011,0.0254476344135703,CHARLS,education,high
62,R1,0.00383518173535355,0.00939752137210675,0.00661635155373015,CHARLS,education,high
62,D2,0,0.000695077921640409,0.000347538960820205,CHARLS,education,high
62,DEAD,0.00839856712967747,0.0136752716216423,0.0110369193756599,CHARLS,education,high
63,I0,0.94739723323521,0.928260774376287,0.937829003805748,CHARLS,education,high
63,D1,0.0288348958494011,0.034112218401246,0.0314735571253235,CHARLS,education,high
63,R1,0.00939752137210675,0.015663202835567,0.0125303621038369,CHARLS,education,high
63,D2,0.000695077921640409,0.00223285468252361,0.00146396630208201,CHARLS,education,high
63,DEAD,0.0136752716216423,0.0197309497043762,0.0167031106630092,CHARLS,education,high
64,I0,0.928260774376287,0.908258143453952,0.918259458915119,CHARLS,education,high
64,D1,0.034112218401246,0.0384293323275162,0.0362707753643811,CHARLS,education,high
64,R1,0.015663202835567,0.0221194809216777,0.0188913418786223,CHARLS,education,high
64,D2,0.00223285468252361,0.00456987524678478,0.0034013649646542,CHARLS,education,high
64,DEAD,0.0197309497043762,0.0266231680500695,0.0231770588772229,CHARLS,education,high
65,I0,0.908258143453952,0.887354935746303,0.897806539600127,CHARLS,education,high
65,D1,0.0384293323275162,0.0421223288626068,0.0402758305950615,CHARLS,education,high
65,R1,0.0221194809216777,0.0284998903777447,0.0253096856497112,CHARLS,education,high
65,D2,0.00456987524678478,0.00760975330004473,0.00608981427341476,CHARLS,education,high
65,DEAD,0.0266231680500695,0.0344130917133012,0.0305181298816854,CHARLS,education,high
66,I0,0.887354935746303,0.865523296826343,0.876439116286323,CHARLS,education,high
66,D1,0.0421223288626068,0.0454026831322675,0.0437625059974372,CHARLS,education,high
66,R1,0.0284998903777447,0.0346595398344009,0.0315797151060728,CHARLS,education,high
66,D2,0.00760975330004473,0.0112525851255106,0.00943116921277765,CHARLS,education,high
66,DEAD,0.0344130917133012,0.0431618950814777,0.0387874933973895,CHARLS,education,high
67,I0,0.865523296826343,0.842744810481018,0.854134053653681,CHARLS,education,high
67,D1,0.0454026831322675,0.0484029870051418,0.0469028350687046,CHARLS,education,high
67,R1,0.0346595398344009,0.0405152342529328,0.0375873870436668,CHARLS,education,high
67,D2,0.0112525851255106,0.0154092182556569,0.0133309016905837,CHARLS,education,high
67,DEAD,0.0431618950814777,0.0529277500052505,0.0480448225433641,CHARLS,education,high
68,I0,0.842744810481018,0.819013538631305,0.830879174556162,CHARLS,education,high
68,D1,0.0484029870051418,0.0512047367364058,0.0498038618707738,CHARLS,education,high
68,R1,0.0405152342529328,0.0460161293220452,0.043265681787489,CHARLS,education,high
68,D2,0.0154092182556569,0.0200023678714333,0.0177057930635451,CHARLS,education,high
68,DEAD,0.0529277500052505,0.0637632274388108,0.0583454887220306,CHARLS,education,high
69,I0,0.819013538631305,0.79433901405477,0.806676276343038,CHARLS,education,high
69,D1,0.0512047367364058,0.0538554230729503,0.052530079904678,CHARLS,education,high
69,R1,0.0460161293220452,0.0511289964287882,0.0485725628754167,CHARLS,education,high
69,D2,0.0200023678714333,0.0249634084153407,0.022482888143387,CHARLS,education,high
69,DEAD,0.0637632274388108,0.0757131580281507,0.0697381927334808,CHARLS,education,high
70,I0,0.79433901405477,0.768748929568056,0.781543971811413,CHARLS,education,high
70,D1,0.0538554230729503,0.0563791517838825,0.0551172874284164,CHARLS,education,high
70,R1,0.0511289964287882,0.0558305709607101,0.0534797836947491,CHARLS,education,high
70,D2,0.0249634084153407,0.0302282120418626,0.0275958102286016,CHARLS,education,high
70,DEAD,0.0757131580281507,0.0888131356454888,0.0822631468368198,CHARLS,education,high
71,I0,0.768748929568056,0.742288074118658,0.755518501843357,CHARLS,education,high
71,D1,0.0563791517838825,0.0587849687939751,0.0575820602889288,CHARLS,education,high
71,R1,0.0558305709607101,0.0601003248488043,0.0579654479047572,CHARLS,education,high
71,D2,0.0302282120418626,0.0357342711442481,0.0329812415930553,CHARLS,education,high
71,DEAD,0.0888131356454888,0.103092361094314,0.0959527483699016,CHARLS,education,high
72,I0,0.742288074118658,0.715005594938772,0.728646834528715,CHARLS,education,high
72,D1,0.0587849687939751,0.0610775885116871,0.0599312786528311,CHARLS,education,high
72,R1,0.0601003248488043,0.0639057926863035,0.0620030587675539,CHARLS,education,high
72,D2,0.0357342711442481,0.0414220587079826,0.0385781649261154,CHARLS,education,high
72,DEAD,0.103092361094314,0.118588965155255,0.110840663124785,CHARLS,education,high
73,I0,0.715005594938772,0.68694928174469,0.700977438341731,CHARLS,education,high
73,D1,0.0610775885116871,0.0632601606445659,0.0621688745781265,CHARLS,education,high
73,R1,0.0639057926863035,0.0672011234100673,0.0655534580481854,CHARLS,education,high
73,D2,0.0414220587079826,0.0472320783730928,0.0443270685405377,CHARLS,education,high
73,DEAD,0.118588965155255,0.135357355827584,0.12697316049142,CHARLS,education,high
74,I0,0.68694928174469,0.658163281571933,0.672556281658311,CHARLS,education,high
74,D1,0.0632601606445659,0.0653340419076056,0.0642971012760858,CHARLS,education,high
74,R1,0.0672011234100673,0.0699297297578427,0.068565426583955,CHARLS,education,high
74,D2,0.0472320783730928,0.0531011269366189,0.0501666026548559,CHARLS,education,high
74,DEAD,0.135357355827584,0.153471819826,0.144414587826792,CHARLS,education,high
75,I0,0.658163281571933,0.628686506417666,0.6434248939948,CHARLS,education,high
75,D1,0.0653340419076056,0.0672979284721196,0.0663159851898626,CHARLS,education,high
75,R1,0.0699297297578427,0.0720270942896692,0.0709784120237559,CHARLS,education,high
75,D2,0.0531011269366189,0.0589592533592605,0.0560301901479397,CHARLS,education,high
75,DEAD,0.153471819826,0.173029217461285,0.163250518643642,CHARLS,education,high
76,I0,0.628686506417666,0.598551748826463,0.613619127622064,CHARLS,education,high
76,D1,0.0672979284721196,0.0691464631538255,0.0682221958129725,CHARLS,education,high
76,R1,0.0720270942896692,0.0734242071461626,0.0727256507179159,CHARLS,education,high
76,D2,0.0589592533592605,0.0647270295804113,0.0618431414698359,CHARLS,education,high
76,DEAD,0.173029217461285,0.194150551293138,0.183589884377212,CHARLS,education,high
77,I0,0.598551748826463,0.567785479114418,0.58316861397044,CHARLS,education,high
77,D1,0.0691464631538255,0.0708684074249431,0.0700074352893843,CHARLS,education,high
77,R1,0.0734242071461626,0.0740519253572712,0.0737380662517169,CHARLS,education,high
77,D2,0.0647270295804113,0.0703130319119915,0.0675200307462014,CHARLS,education,high
77,DEAD,0.194150551293138,0.216981156191377,0.205565853742258,CHARLS,education,high
78,I0,0.567785479114418,0.536408280589201,0.55209687985181,CHARLS,education,high
78,D1,0.0708684074249431,0.0724444738349204,0.0716564406299317,CHARLS,education,high
78,R1,0.0740519253572712,0.0738464107281277,0.0739491680426994,CHARLS,education,high
78,D2,0.0703130319119915,0.0756116410214549,0.0729623364667232,CHARLS,education,high
78,DEAD,0.216981156191377,0.241689193826296,0.229335175008836,CHARLS,education,high
79,I0,0.536408280589201,0.504435887904672,0.520422084246937,CHARLS,education,high
79,D1,0.0724444738349204,0.0738449457222698,0.0731447097785951,CHARLS,education,high
79,R1,0.0738464107281277,0.072755664626527,0.0733010376773273,CHARLS,education,high
79,D2,0.0756116410214549,0.0805014570947308,0.0780565490580928,CHARLS,education,high
79,DEAD,0.241689193826296,0.2684620446518,0.255075619239048,CHARLS,education,high
80,I0,0.504435887904672,0.471880831253435,0.488158359579054,CHARLS,education,high
80,D1,0.0738449457222698,0.0750272688615221,0.0744361072918959,CHARLS,education,high
80,R1,0.072755664626527,0.0707469969796911,0.071751330803109,CHARLS,education,high
80,D2,0.0805014570947308,0.0848448137135998,0.0826731354041653,CHARLS,education,high
80,DEAD,0.2684620446518,0.297500089191752,0.282981066921776,CHARLS,education,high
81,I0,0.471880831253435,0.438771403436593,0.455326117345014,CHARLS,education,high
81,D1,0.0750272688615221,0.0759306480475569,0.0754789584545395,CHARLS,education,high
81,R1,0.0707469969796911,0.0678303575603748,0.069288677270033,CHARLS,education,high
81,D2,0.0848448137135998,0.0884763352028259,0.0866605744582128,CHARLS,education,high
81,DEAD,0.297500089191752,0.328991255752649,0.313245672472201,CHARLS,education,high
82,I0,0.438771403436593,0.405223796099035,0.421997599767814,CHARLS,education,high
82,D1,0.0759306480475569,0.0764651483768827,0.0761978982122198,CHARLS,education,high
82,R1,0.0678303575603748,0.0641165032300108,0.0659734303951928,CHARLS,education,high
82,D2,0.0884763352028259,0.0911668772568579,0.0898216062298419,CHARLS,education,high
82,DEAD,0.328991255752649,0.363027675037215,0.346009465394932,CHARLS,education,high
83,I0,0.405223796099035,0.371464552858046,0.38834417447854,CHARLS,education,high
83,D1,0.0764651483768827,0.0765219125984255,0.0764935304876541,CHARLS,education,high
83,R1,0.0641165032300108,0.0597920863987296,0.0619542948143702,CHARLS,education,high
83,D2,0.0911668772568579,0.0926651609965182,0.091916019126688,CHARLS,education,high
83,DEAD,0.363027675037215,0.399556287148281,0.381291981092748,CHARLS,education,high
84,I0,0.371464552858046,0.337829142455032,0.354646847656539,CHARLS,education,high
84,D1,0.0765219125984255,0.0759908154514713,0.0762563640249484,CHARLS,education,high
84,R1,0.0597920863987296,0.0550796001615239,0.0574358432801267,CHARLS,education,high
84,D2,0.0926651609965182,0.0927533224459057,0.0927092417212119,CHARLS,education,high
84,DEAD,0.399556287148281,0.438347119486068,0.418951703317174,CHARLS,education,high
85,I0,0.337829142455032,0.304748576539121,0.321288859497076,CHARLS,education,high
85,D1,0.0759908154514713,0.0747796376064873,0.0753852265289793,CHARLS,education,high
85,R1,0.0550796001615239,0.05020610852718,0.0526428543443519,CHARLS,education,high
85,D2,0.0927533224459057,0.0912917525535334,0.0920225374997196,CHARLS,education,high
85,DEAD,0.438347119486068,0.478973924773679,0.458660522129873,CHARLS,education,high
86,I0,0.304748576539121,0.272720867604323,0.288734722071722,CHARLS,education,high
86,D1,0.0747796376064873,0.07283291707074,0.0738062773386136,CHARLS,education,high
86,R1,0.05020610852718,0.0453795507772815,0.0477928296522307,CHARLS,education,high
86,D2,0.0912917525535334,0.088250380170076,0.0897710663618047,CHARLS,education,high
86,DEAD,0.478973924773679,0.52081628437758,0.499895104575629,CHARLS,education,high
87,I0,0.272720867604323,0.242267538934602,0.257494203269462,CHARLS,education,high
87,D1,0.07283291707074,0.0701474170826646,0.0714901670767023,CHARLS,education,high
87,R1,0.0453795507772815,0.0407725429768188,0.0430760468770502,CHARLS,education,high
87,D2,0.088250380170076,0.0837227218595768,0.0859865510148264,CHARLS,education,high
87,DEAD,0.52081628437758,0.563089779146339,0.54195303176196,CHARLS,education,high
88,I0,0.242267538934602,0.213880068950209,0.228073803942405,CHARLS,education,high
88,D1,0.0701474170826646,0.0667806514817981,0.0684640342822313,CHARLS,education,high
88,R1,0.0407725429768188,0.0365133265196601,0.0386429347482395,CHARLS,education,high
88,D2,0.0837227218595768,0.077920793018959,0.0808217574392679,CHARLS,education,high
88,DEAD,0.563089779146339,0.604905160029374,0.583997469587857,CHARLS,education,high
89,I0,0.213880068950209,0.187965520051119,0.200922794500664,CHARLS,education,high
89,D1,0.0667806514817981,0.0628496314361683,0.0648151414589832,CHARLS,education,high
89,R1,0.0365133265196601,0.0326829561736417,0.0345981413466509,CHARLS,education,high
89,D2,0.077920793018959,0.0711520742730785,0.0745364336460188,CHARLS,education,high
89,DEAD,0.604905160029374,0.645349818065992,0.625127489047683,CHARLS,education,high
90,I0,0.187965520051119,0.164802594718267,0.176384057384693,CHARLS,education,high
90,D1,0.0628496314361683,0.0585190339260013,0.0606843326810848,CHARLS,education,high
90,R1,0.0326829561736417,0.0293175210290121,0.0310002386013269,CHARLS,education,high
90,D2,0.0711520742730785,0.0637830006862899,0.0674675374796842,CHARLS,education,high
90,DEAD,0.645349818065992,0.68357784964043,0.664463833853211,CHARLS,education,high
91,I0,0.164802594718267,0.144497221749303,0.154649908233785,CHARLS,education,high
91,D1,0.0585190339260013,0.0539780810813418,0.0562485575036716,CHARLS,education,high
91,R1,0.0293175210290121,0.0264052972422952,0.0278614091356537,CHARLS,education,high
91,D2,0.0637830006862899,0.0561993497061755,0.0599911751962327,CHARLS,education,high
91,DEAD,0.68357784964043,0.718920050220885,0.701248949930657,CHARLS,education,high
92,I0,0.144497221749303,0.1269302335342,0.135713727641751,CHARLS,education,high
92,D1,0.0539780810813418,0.0494047748994915,0.0516914279904166,CHARLS,education,high
92,R1,0.0264052972422952,0.0238785593301154,0.0251419282862053,CHARLS,education,high
92,D2,0.0561993497061755,0.0487623169209185,0.052480833313547,CHARLS,education,high
92,DEAD,0.718920050220885,0.751024115315276,0.73497208276808,CHARLS,education,high
93,I0,0.1269302335342,0.111832540558602,0.119381387046401,CHARLS,education,high
93,D1,0.0494047748994915,0.0449417601506076,0.0471732675250495,CHARLS,education,high
93,R1,0.0238785593301154,0.0216543799836922,0.0227664696569038,CHARLS,education,high
93,D2,0.0487623169209185,0.0417505462441684,0.0452564315825434,CHARLS,education,high
93,DEAD,0.751024115315276,0.779820773062931,0.765422444189103,CHARLS,education,high
94,I0,0.111832540558602,0.0988711655568102,0.105351853057706,CHARLS,education,high
94,D1,0.0449417601506076,0.0406881011353914,0.0428149306429995,CHARLS,education,high
94,R1,0.0216543799836922,0.0196597829084456,0.0206570814460689,CHARLS,education,high
94,D2,0.0417505462441684,0.0353417408453795,0.0385461435447739,CHARLS,education,high
94,DEAD,0.779820773062931,0.805439209553974,0.792629991308452,CHARLS,education,high
95,I0,0.0988711655568102,0.0877069199064714,0.0932890427316408,CHARLS,education,high
95,D1,0.0406881011353914,0.0367015668975349,0.0386948340164632,CHARLS,education,high
95,R1,0.0196597829084456,0.0178391367270726,0.0187494598177591,CHARLS,education,high
95,D2,0.0353417408453795,0.029622597873978,0.0324821693596788,CHARLS,education,high
95,DEAD,0.805439209553974,0.828129778594944,0.816784494074459,CHARLS,education,high
96,I0,0.0877069199064714,0.0778033085395374,0.0827551142230044,CHARLS,education,high
96,D1,0.0367015668975349,0.0329986431532771,0.034850105025406,CHARLS,education,high
96,R1,0.0178391367270726,0.0161384418437099,0.0169887892853913,CHARLS,education,high
96,D2,0.029622597873978,0.0249130859240709,0.0272678418990244,CHARLS,education,high
96,DEAD,0.828129778594944,0.848146520539405,0.838138149567175,CHARLS,education,high
97,I0,0.0778033085395374,0.0690179842839494,0.0734106464117434,CHARLS,education,high
97,D1,0.0329986431532771,0.029592933107324,0.0312957881303006,CHARLS,education,high
97,R1,0.0161384418437099,0.0145617851954208,0.0153501135195653,CHARLS,education,high
97,D2,0.0249130859240709,0.0210225134210409,0.0229677996725559,CHARLS,education,high
97,DEAD,0.848146520539405,0.865804783992266,0.856975652265835,CHARLS,education,high
98,I0,0.0690179842839494,0.0612246733980319,0.0651213288409906,CHARLS,education,high
98,D1,0.029592933107324,0.0264840029233806,0.0280384680153523,CHARLS,education,high
98,R1,0.0145617851954208,0.0131093196114241,0.0138355524034224,CHARLS,education,high
98,D2,0.0210225134210409,0.0177978586632182,0.0194101860421296,CHARLS,education,high
98,DEAD,0.865804783992266,0.881384145403946,0.873594464698106,CHARLS,education,high
99,I0,0.0612246733980319,0.054311360605288,0.05776801700166,CHARLS,education,high
99,D1,0.0264840029233806,0.0236623917540416,0.0250731973387111,CHARLS,education,high
99,R1,0.0131093196114241,0.0117783520126855,0.0124438358120548,CHARLS,education,high
99,D2,0.0177978586632182,0.0151161350590189,0.0164569968611186,CHARLS,education,high
99,DEAD,0.881384145403946,0.895131760568967,0.888257952986456,CHARLS,education,high
60,I0,1,0.974626218988476,0.987313109494238,CHARLS,education,middle
60,D1,0,0.0225314199612022,0.0112657099806011,CHARLS,education,middle
60,R1,0,0,0,CHARLS,education,middle
60,D2,0,0,0,CHARLS,education,middle
60,DEAD,0,0.00284236105032195,0.00142118052516098,CHARLS,education,middle
61,I0,0.974626218988476,0.948641386330662,0.961633802659569,CHARLS,education,middle
61,D1,0.0225314199612022,0.0407733735918296,0.0316523967765159,CHARLS,education,middle
61,R1,0,0.00420497284844709,0.00210248642422354,CHARLS,education,middle
61,D2,0,0,0,CHARLS,education,middle
61,DEAD,0.00284236105032195,0.00638026722906136,0.00461131413969166,CHARLS,education,middle
62,I0,0.948641386330662,0.922041788559678,0.93534158744517,CHARLS,education,middle
62,D1,0.0407733735918296,0.0558550237083464,0.048314198650088,CHARLS,education,middle
62,R1,0.00420497284844709,0.010825043885925,0.00751500836718603,CHARLS,education,middle
62,D2,0,0.000635589934913987,0.000317794967456994,CHARLS,education,middle
62,DEAD,0.00638026722906136,0.0106425539111367,0.00851141057009902,CHARLS,education,middle
63,I0,0.922041788559678,0.894823763744381,0.908432776152029,CHARLS,education,middle
63,D1,0.0558550237083464,0.0685798222963999,0.0622174230023731,CHARLS,education,middle
63,R1,0.010825043885925,0.0187357197463111,0.014780381816118,CHARLS,education,middle
63,D2,0.000635589934913987,0.00219162789071688,0.00141360891281543,CHARLS,education,middle
63,DEAD,0.0106425539111367,0.0156690663221913,0.013155810116664,CHARLS,education,middle
64,I0,0.894823763744381,0.866985093994821,0.880904428869601,CHARLS,education,middle
64,D1,0.0685798222963999,0.0795218535851331,0.0740508379407665,CHARLS,education,middle
64,R1,0.0187357197463111,0.0272215434507692,0.0229786315985402,CHARLS,education,middle
64,D2,0.00219162789071688,0.00476397389718081,0.00347780089394885,CHARLS,education,middle
64,DEAD,0.0156690663221913,0.0215075350720957,0.0185883006971435,CHARLS,education,middle
65,I0,0.866985093994821,0.838526657737945,0.852755875866383,CHARLS,education,middle
65,D1,0.0795218535851331,0.0890917159108498,0.0843067847479914,CHARLS,education,middle
65,R1,0.0272215434507692,0.0358218127709701,0.0315216781108696,CHARLS,education,middle
65,D2,0.00476397389718081,0.00834862452987115,0.00655629921352598,CHARLS,education,middle
65,DEAD,0.0215075350720957,0.0282111890503644,0.0248593620612301,CHARLS,education,middle
66,I0,0.838526657737945,0.809454295741288,0.823990476739617,CHARLS,education,middle
66,D1,0.0890917159108498,0.0975819052266724,0.0933368105687611,CHARLS,education,middle
66,R1,0.0358218127709701,0.0442367310400329,0.0400292719055015,CHARLS,education,middle
66,D2,0.00834862452987115,0.0128901712873937,0.0106193979086324,CHARLS,education,middle
66,DEAD,0.0282111890503644,0.0358368967046129,0.0320240428774887,CHARLS,education,middle
67,I0,0.809454295741288,0.779780813877309,0.794617554809299,CHARLS,education,middle
