threshold,cohort,wave,wave_rows,observed_threshold_states,missing_threshold_states,difficulty_states,independent_states
adl_only,CHARLS,1,25586,17342,366,2659,14683
adl_only,CHARLS,2,25586,18210,402,2934,15276
adl_only,CHARLS,3,25586,20157,940,3705,16452
adl_only,CHARLS,4,25586,19454,362,3420,16034
adl_only,CHARLS,5,25882,19348,47,4174,15174
adl_only,ELSA,1,21679,11908,191,2365,9543
adl_only,ELSA,2,21679,9429,3,1905,7524
adl_only,ELSA,3,21679,9762,4,1819,7943
adl_only,ELSA,4,21679,11041,9,2030,9011
adl_only,ELSA,5,21679,10266,8,1872,8394
adl_only,ELSA,6,21679,10596,5,1874,8722
adl_only,ELSA,7,21679,9664,2,1637,8027
adl_only,ELSA,8,21679,8443,2,1472,6971
adl_only,ELSA,9,21679,8731,5,1477,7254
adl_only,ELSA,10,21679,7587,2,1333,6254
adl_only,ELSA,11,23254,7836,6,1337,6499
adl_only,HRS,2,45234,8189,11453,1222,6967
adl_only,HRS,3,45234,17924,67,3006,14918
adl_only,HRS,4,45234,21309,75,3520,17789
adl_only,HRS,5,45234,19507,71,3317,16190
adl_only,HRS,6,45234,18092,73,3090,15002
adl_only,HRS,7,45234,20048,81,3193,16855
adl_only,HRS,8,45234,18389,80,3279,15110
adl_only,HRS,9,45234,17145,72,3011,14134
adl_only,HRS,10,45234,21820,214,3915,17905
adl_only,HRS,11,45234,20447,107,3610,16837
adl_only,HRS,12,45234,18646,101,3510,15136
adl_only,HRS,13,45234,20804,108,3682,17122
adl_only,HRS,14,45234,17064,82,3028,14036
adl_only,HRS,15,45234,15568,155,2699,12869
adl_only,HRS,16,45234,15702,154,2798,12904
adl_only,MHAS,1,27159,13853,1333,1333,12520
adl_only,MHAS,2,27159,12470,1234,1130,11340
adl_only,MHAS,3,27159,14364,1359,2164,12200
adl_only,MHAS,4,27159,13772,1007,2296,11476
adl_only,MHAS,5,27159,15728,1386,2258,13470
