cohort,age_band,level,intervals,persons,events,person_years,exposure,process
CHARLS,60-69,low,5805,3832,2218,13544.9583333334,education,recovery
CHARLS,70-79,low,3766,2451,1037,8752.91666666672,education,recovery
CHARLS,80-89,low,1501,980,236,3463.66666666669,education,recovery
CHARLS,90-95,low,136,104,9,319.833333333335,education,recovery
CHARLS,70-79,high,44,31,17,100.833333333334,education,recovery
CHARLS,60-69,high,24,18,13,57.2916666666668,education,recovery
CHARLS,80-89,high,18,13,4,43.3333333333335,education,recovery
CHARLS,90-95,high,2,2,0,4.16666666666674,education,recovery
ELSA,70-79,high,426,267,154,922.5,education,recovery
ELSA,60-69,low,1834,988,525,3898.45833333333,education,recovery
ELSA,70-79,low,2344,1278,601,4946.16666666667,education,recovery
ELSA,80-89,low,1846,1017,287,3861.16666666667,education,recovery
ELSA,60-69,high,461,277,186,984.999999999999,education,recovery
ELSA,90-95,low,397,255,30,785.541666666668,education,recovery
ELSA,80-89,high,260,151,61,542.916666666666,education,recovery
ELSA,90-95,high,29,24,2,61.666666666667,education,recovery
HRS,60-69,high,1276,767,529,2684.08333333333,education,recovery
HRS,70-79,high,1358,758,409,2848.33333333333,education,recovery
HRS,80-89,high,1175,681,209,2447.33333333333,education,recovery
HRS,70-79,low,4288,2269,910,9183.79166666667,education,recovery
HRS,60-69,low,3749,1863,1018,8003.625,education,recovery
HRS,80-89,low,3696,2019,419,7741.79166666667,education,recovery
HRS,90-95,high,250,176,15,525.291666666667,education,recovery
HRS,90-95,low,937,637,32,1907.875,education,recovery
MHAS,60-69,low,2145,1795,980,6023.49999999997,education,recovery
MHAS,70-79,low,2204,1800,673,6073.12499999997,education,recovery
MHAS,80-89,low,1121,928,181,2998.91666666665,education,recovery
MHAS,80-89,high,28,25,6,74.4583333333335,education,recovery
MHAS,90-95,low,146,131,6,366.708333333332,education,recovery
MHAS,60-69,high,94,86,53,262.874999999998,education,recovery
MHAS,70-79,high,70,55,21,201.666666666666,education,recovery
MHAS,90-95,high,4,4,1,11.4583333333335,education,recovery
CHARLS,60-69,low,2119,1343,786,4928.91666666669,wealth,recovery
CHARLS,70-79,high,539,373,198,1256.66666666667,wealth,recovery
CHARLS,80-89,high,164,117,41,385.833333333337,wealth,recovery
CHARLS,70-79,low,1566,970,445,3641.12500000002,wealth,recovery
CHARLS,60-69,high,1121,764,482,2641.83333333335,wealth,recovery
CHARLS,80-89,low,494,315,86,1141.87500000001,wealth,recovery
CHARLS,90-95,high,13,10,3,29.7500000000002,wealth,recovery
CHARLS,90-95,low,25,21,5,56.0833333333342,wealth,recovery
ELSA,70-79,high,1419,817,501,3028.125,wealth,recovery
ELSA,80-89,high,968,583,222,2028.54166666667,wealth,recovery
ELSA,60-69,low,2207,1165,613,4686.29166666667,wealth,recovery
ELSA,70-79,low,1849,1042,461,3930.54166666666,wealth,recovery
ELSA,80-89,low,1218,670,174,2535.45833333333,wealth,recovery
ELSA,60-69,high,942,567,397,2008.375,wealth,recovery
ELSA,90-95,low,260,161,12,514.791666666666,wealth,recovery
ELSA,90-95,high,210,134,16,412.541666666667,wealth,recovery
HRS,60-69,high,1639,998,716,3474.54166666667,wealth,recovery
HRS,60-69,low,6772,3366,1839,14275.5833333333,wealth,recovery
HRS,70-79,high,2606,1518,802,5524.16666666667,wealth,recovery
HRS,80-89,high,2695,1566,497,5638.5,wealth,recovery
HRS,70-79,low,5111,2688,1067,10805.8333333333,wealth,recovery
