cohort,joint_ses4,process,intervals,persons,events,person_years
CHARLS,low_low,onset,4095,1827,1008,9401.08333333337
CHARLS,lowedu_highwealth,onset,4108,1766,596,9540.08333333338
CHARLS,high_high,onset,210,89,17,495.208333333335
CHARLS,highedu_lowwealth,onset,14,7,2,31.4583333333335
ELSA,low_low,onset,3709,1272,576,7905.04166666665
ELSA,high_high,onset,4883,1229,252,10601.75
ELSA,highedu_lowwealth,onset,431,141,37,925.125000000001
ELSA,lowedu_highwealth,onset,2691,688,237,5723.45833333333
HRS,high_high,onset,13717,2791,848,28478.25
HRS,low_low,onset,8934,2627,1386,18871
HRS,lowedu_highwealth,onset,2694,665,310,5747.16666666667
HRS,highedu_lowwealth,onset,2602,614,202,5402.875
MHAS,lowedu_highwealth,onset,5495,3045,733,15162.1666666666
MHAS,high_high,onset,1171,636,82,3369.79166666665
MHAS,low_low,onset,4721,2817,716,13033.9166666666
MHAS,highedu_lowwealth,onset,182,108,22,530.124999999998
CHARLS,low_low,recovery,4128,2125,1306,9592.54166666672
CHARLS,lowedu_highwealth,recovery,1679,995,646,3943.41666666669
CHARLS,highedu_lowwealth,recovery,9,3,1,21.1666666666667
CHARLS,high_high,recovery,40,24,21,93.7916666666672
ELSA,high_high,recovery,686,322,250,1466.66666666667
ELSA,low_low,recovery,3490,1453,715,7332.625
ELSA,highedu_lowwealth,recovery,182,88,51,394.749999999998
ELSA,lowedu_highwealth,recovery,916,383,235,1913.125
HRS,high_high,recovery,2198,965,619,4595.04166666667
HRS,low_low,recovery,8569,3147,1512,18123.125
HRS,lowedu_highwealth,recovery,1073,458,249,2312
HRS,highedu_lowwealth,recovery,848,383,230,1783.41666666667
MHAS,low_low,recovery,1834,1351,614,5039.20833333331
MHAS,lowedu_highwealth,recovery,1745,1248,570,4810.29166666665
MHAS,high_high,recovery,118,98,48,330.583333333333
MHAS,highedu_lowwealth,recovery,38,32,18,104.958333333333
CHARLS,lowedu_highwealth,relapse,853,570,283,2010.37500000002
CHARLS,low_low,relapse,1599,1067,624,3817.00000000003
CHARLS,high_high,relapse,23,17,8,54.9583333333337
CHARLS,highedu_lowwealth,relapse,1,1,0,2.125
ELSA,low_low,relapse,1162,557,445,2450.45833333333
ELSA,lowedu_highwealth,relapse,423,182,131,889.625000000002
ELSA,high_high,relapse,599,204,125,1310
ELSA,highedu_lowwealth,relapse,96,42,31,211.125000000001
HRS,high_high,relapse,1526,499,350,3168.70833333333
HRS,low_low,relapse,3222,1307,1067,6747.16666666667
HRS,lowedu_highwealth,relapse,500,214,159,1070.41666666667
HRS,highedu_lowwealth,relapse,612,217,152,1284.125
MHAS,low_low,relapse,721,527,252,2123.20833333332
MHAS,lowedu_highwealth,relapse,640,465,229,1901.87499999999
MHAS,high_high,relapse,61,39,14,183.499999999999
MHAS,highedu_lowwealth,relapse,15,12,6,44.4166666666663
CHARLS,low_low,death_pre,4155,1843,59,9381.2916666667
CHARLS,lowedu_highwealth,death_pre,4166,1772,62,9556.08333333338
CHARLS,high_high,death_pre,220,90,3,503.250000000002
CHARLS,highedu_lowwealth,death_pre,14,7,1,31.4583333333335
ELSA,low_low,death_pre,2707,1223,134,5426.12499999999
ELSA,high_high,death_pre,2098,756,39,4173.625
ELSA,lowedu_highwealth,death_pre,1827,647,53,3661.70833333333
ELSA,highedu_lowwealth,death_pre,188,86,4,368.791666666668
HRS,high_high,death_pre,14701,2992,318,29116.8941649555
HRS,low_low,death_pre,9724,2847,525,18952.8765400411
HRS,lowedu_highwealth,death_pre,2970,735,121,5818.30261806982
HRS,highedu_lowwealth,death_pre,2767,658,78,5467.54166666667
MHAS,lowedu_highwealth,death_pre,6254,3375,281,17029.5833333333
MHAS,high_high,death_pre,1416,745,51,4009.54166666665
MHAS,low_low,death_pre,5362,3147,279,14583.2083333333
MHAS,highedu_lowwealth,death_pre,205,122,9,580.791666666665
CHARLS,low_low,death_post,5817,2286,284,13481.213809035
CHARLS,lowedu_highwealth,death_post,2557,1123,100,5980.83607118416
CHARLS,highedu_lowwealth,death_post,11,4,1,25.2916666666667
CHARLS,high_high,death_post,66,26,3,152.750000000001
ELSA,high_high,death_post,552,213,44,1081.79166666667
ELSA,low_low,death_post,3170,1341,415,6207.45833333333
ELSA,lowedu_highwealth,death_post,875,333,90,1725.58333333333
ELSA,highedu_lowwealth,death_post,87,42,8,168.333333333334
HRS,high_high,death_post,4186,1152,489,7919.10463723477
HRS,low_low,death_post,13492,3774,2001,24931.7281827515
HRS,lowedu_highwealth,death_post,1826,546,284,3383.74118754278
HRS,highedu_lowwealth,death_post,1617,477,161,3087.69952087611
MHAS,low_low,death_post,2910,1693,396,7929.16666666663
MHAS,lowedu_highwealth,death_post,2813,1582,362,7697.83333333329
MHAS,high_high,death_post,239,148,17,679.416666666663
MHAS,highedu_lowwealth,death_post,59,38,10,156.333333333333
