cohort,recovery_phase,level,intervals,persons,deaths,person_years,exposure
CHARLS,early_recovery,low,2755,2645,114,6403.08333333337,education
CHARLS,sustained_recovery,low,1510,1164,56,3655.16940451749,education
CHARLS,early_recovery,high,23,22,1,52.7916666666672,education
CHARLS,sustained_recovery,high,6,5,1,15.375,education
ELSA,early_recovery,low,746,695,50,1431.625,education
ELSA,sustained_recovery,low,409,272,25,803.208333333335,education
ELSA,early_recovery,high,146,137,4,285.041666666667,education
ELSA,sustained_recovery,high,118,80,2,229.624999999999,education
HRS,sustained_recovery,high,1985,675,62,3921.79166666667,education
HRS,early_recovery,high,1101,913,65,2143.00547570157,education
HRS,sustained_recovery,low,2840,1191,167,5532.72476043806,education
HRS,early_recovery,low,2299,1888,163,4443.59428473648,education
MHAS,early_recovery,low,1378,1359,120,4028.04166666664,education
MHAS,sustained_recovery,low,888,643,53,2618.62499999999,education
MHAS,early_recovery,high,62,61,3,181.333333333332,education
MHAS,sustained_recovery,high,45,32,4,132.583333333333,education
CHARLS,early_recovery,high,586,559,8,1365.62500000001,wealth
CHARLS,sustained_recovery,high,341,266,12,810.336071184129,wealth
CHARLS,sustained_recovery,low,568,439,17,1383.83333333335,wealth
CHARLS,early_recovery,low,1020,979,26,2387.12500000001,wealth
ELSA,early_recovery,low,559,526,47,1081.625,wealth
ELSA,sustained_recovery,low,298,208,12,584.958333333336,wealth
ELSA,early_recovery,high,492,459,18,953.791666666669,wealth
ELSA,sustained_recovery,high,353,236,9,690.708333333332,wealth
HRS,sustained_recovery,high,3165,1113,139,6223.50273785079,wealth
HRS,early_recovery,low,3335,2731,195,6499.42761806981,wealth
HRS,sustained_recovery,low,4770,1910,251,9319.31356947296,wealth
HRS,early_recovery,high,1940,1584,119,3777.34702258727,wealth
MHAS,early_recovery,low,489,484,51,1410.37499999999,wealth
MHAS,early_recovery,high,456,453,31,1349.58333333333,wealth
MHAS,sustained_recovery,high,319,220,17,945.833333333328,wealth
MHAS,sustained_recovery,low,292,229,20,855.583333333331,wealth
