cohort,recovery_phase,level,intervals,persons,relapses,person_years,exposure
CHARLS,early_recovery,low,2714,2604,1120,6322.58333333337,education
CHARLS,sustained_recovery,low,1507,1162,445,3650.12500000004,education
CHARLS,early_recovery,high,23,22,6,52.7916666666672,education
CHARLS,sustained_recovery,high,6,5,2,15.375,education
ELSA,early_recovery,low,1207,1023,534,2489.04166666666,education
ELSA,sustained_recovery,low,1141,533,314,2440.79166666667,education
ELSA,early_recovery,high,344,287,113,739.708333333332,education
ELSA,sustained_recovery,high,565,209,86,1257.20833333333,education
HRS,sustained_recovery,high,1861,627,336,3855.33333333333,education
HRS,early_recovery,high,1028,853,321,2156,education
HRS,sustained_recovery,low,2598,1094,667,5424.75,education
HRS,early_recovery,low,2103,1721,866,4449.66666666667,education
MHAS,early_recovery,low,1225,1210,458,3608.99999999998,education
MHAS,sustained_recovery,low,781,564,223,2320.54166666665,education
MHAS,early_recovery,high,52,51,14,157.249999999999,education
MHAS,sustained_recovery,high,38,28,10,113.333333333333,education
CHARLS,early_recovery,high,582,555,221,1358.95833333334,wealth
CHARLS,sustained_recovery,high,340,265,84,810.333333333342,wealth
CHARLS,sustained_recovery,low,568,439,177,1383.83333333335,wealth
CHARLS,early_recovery,low,1007,966,434,2364.29166666668,wealth
ELSA,early_recovery,high,946,794,315,1991.54166666667,wealth
ELSA,sustained_recovery,high,1390,536,278,3056.66666666667,wealth
ELSA,early_recovery,low,1058,902,477,2220.83333333334,wealth
ELSA,sustained_recovery,low,1081,506,275,2378.75,wealth
HRS,sustained_recovery,high,2942,1028,586,6129.625,wealth
HRS,early_recovery,low,3083,2525,1216,6447.25,wealth
HRS,sustained_recovery,low,4449,1794,1042,9229.375,wealth
HRS,early_recovery,high,1792,1467,593,3764.41666666667,wealth
MHAS,early_recovery,low,444,439,165,1303.37499999999,wealth
MHAS,early_recovery,high,404,402,152,1206.70833333333,wealth
MHAS,sustained_recovery,high,283,197,84,840.499999999996,wealth
MHAS,sustained_recovery,low,259,199,82,766.666666666665,wealth
