cohort,exposure,sex,level,process,intervals,persons,events,person_years
CHARLS,education,female,low,onset,6643,3263,1603,15259.9583333334
CHARLS,education,male,low,onset,8295,3714,1381,19104.5416666668
CHARLS,education,male,high,onset,295,142,32,688.166666666669
CHARLS,education,female,high,onset,84,42,8,199.791666666667
ELSA,education,male,low,onset,3957,1257,471,8400.99999999999
ELSA,education,female,high,onset,2799,779,161,6073.75
ELSA,education,male,high,onset,4199,1077,239,9095.29166666666
ELSA,education,female,low,onset,6351,1855,780,13502.625
HRS,education,male,high,onset,11782,2506,708,24644.125
HRS,education,female,high,onset,10580,2196,716,21719.5
HRS,education,female,low,onset,10235,2712,1555,21408.9166666667
HRS,education,male,low,onset,7540,2222,977,16324.3333333333
MHAS,education,male,low,onset,7031,4070,767,19283.4999999999
MHAS,education,male,high,onset,1033,573,58,2972.66666666665
MHAS,education,female,high,onset,671,362,72,1947.04166666666
MHAS,education,female,low,onset,8981,5119,1500,24801.8333333332
CHARLS,wealth,male,low,onset,2313,993,464,5325.33333333336
CHARLS,wealth,female,low,onset,1963,917,559,4491.87500000002
CHARLS,wealth,female,high,onset,2085,964,363,4848.12500000002
CHARLS,wealth,male,high,onset,2858,1197,306,6647.0416666667
ELSA,wealth,male,low,onset,3313,1120,433,7051.375
ELSA,wealth,male,high,onset,8471,2066,536,18158.25
ELSA,wealth,female,high,onset,8521,2102,586,18311.5416666667
ELSA,wealth,female,low,onset,4171,1344,566,8898.29166666666
HRS,wealth,male,high,onset,16717,3694,1188,35358.75
HRS,wealth,female,high,onset,20958,4051,1564,43226.5416666667
HRS,wealth,male,low,onset,9549,2734,1087,20221.2916666667
HRS,wealth,female,low,onset,15560,3946,1962,32212
MHAS,wealth,male,high,onset,3302,1855,303,9171.4583333333
MHAS,wealth,female,high,onset,3679,2012,539,10271.9166666666
MHAS,wealth,female,low,onset,2795,1683,502,7709.49999999997
MHAS,wealth,male,low,onset,2222,1312,250,6184.20833333332
CHARLS,education,male,low,recovery,4433,2605,1466,10280.6250000001
CHARLS,education,female,low,recovery,6775,3665,2034,15800.7500000001
CHARLS,education,male,high,recovery,65,42,25,153.25
CHARLS,education,female,high,recovery,23,14,9,52.3750000000002
ELSA,education,female,high,recovery,486,236,175,1039.41666666667
ELSA,education,male,low,recovery,2374,1035,540,5000.5
ELSA,education,female,low,recovery,4047,1627,903,8490.83333333333
ELSA,education,male,high,recovery,690,325,228,1472.66666666667
HRS,education,male,high,recovery,1717,847,526,3600.54166666667
HRS,education,female,high,recovery,2342,986,636,4904.5
HRS,education,female,low,recovery,8706,3100,1531,18296.7916666667
HRS,education,male,low,recovery,3964,1777,848,8540.29166666667
MHAS,education,female,low,recovery,3958,2758,1234,10943.7499999999
MHAS,education,male,low,recovery,1658,1305,606,4518.49999999998
MHAS,education,male,high,recovery,90,76,33,248.583333333332
MHAS,education,female,high,recovery,106,87,48,301.874999999998
CHARLS,wealth,male,low,recovery,1618,874,528,3758.00000000002
CHARLS,wealth,male,high,recovery,793,481,325,1855.83333333334
CHARLS,wealth,female,low,recovery,2586,1296,794,6010.00000000004
CHARLS,wealth,female,high,recovery,1044,618,399,2458.25000000001
ELSA,wealth,male,high,recovery,1611,723,489,3389.70833333334
ELSA,wealth,female,high,recovery,1928,847,647,4087.875
ELSA,wealth,male,low,recovery,2111,978,511,4461.66666666666
ELSA,wealth,female,low,recovery,3423,1366,749,7205.41666666667
HRS,wealth,female,high,recovery,4653,1895,1182,9719.16666666667
HRS,wealth,male,high,recovery,2890,1436,874,6159.375
HRS,wealth,male,low,recovery,4945,2199,1182,10503.6666666667
HRS,wealth,female,low,recovery,11470,4203,2193,24040.2083333333
MHAS,wealth,female,low,recovery,1357,969,431,3725.62499999998
MHAS,wealth,female,high,recovery,1323,911,429,3673.12499999998
MHAS,wealth,male,high,recovery,591,472,213,1613.16666666666
MHAS,wealth,male,low,recovery,541,436,207,1492.29166666666
CHARLS,education,female,low,relapse,2487,1746,1037,5856.58333333338
CHARLS,education,male,low,relapse,1881,1254,588,4481.00000000003
CHARLS,education,female,high,relapse,11,7,3,24.5000000000002
CHARLS,education,male,high,relapse,20,17,6,48.791666666667
ELSA,education,male,low,relapse,923,422,327,1924.54166666667
ELSA,education,female,low,relapse,1493,686,543,3156.41666666667
ELSA,education,female,high,relapse,379,140,89,847.999999999999
ELSA,education,male,high,relapse,541,186,111,1171.66666666667
HRS,education,male,high,relapse,1322,457,278,2781.45833333333
HRS,education,female,high,relapse,1696,550,410,3520.625
HRS,education,female,low,relapse,3224,1269,1122,6735.20833333333
HRS,education,male,low,relapse,1805,764,524,3864.625
MHAS,education,female,low,relapse,1483,1078,558,4411.74999999997
MHAS,education,male,low,relapse,633,452,159,1840.20833333333
MHAS,education,male,high,relapse,42,25,10,123.083333333333
MHAS,education,female,high,relapse,54,41,15,164.333333333332
CHARLS,wealth,male,high,relapse,415,275,114,986.916666666675
