module,cohort,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
wealth_by_sex,CHARLS,onset,(Intercept),-3.01104923686463,0.0784250950288409,-38.3939507597322,1.11253692925361e-308,0.0492399872370552,0.0422241721095974,0.0574215247326131
wealth_by_sex,CHARLS,onset,sesmiddle,0.391261161483349,0.0759571226607317,5.15107929023256,2.58991655567396e-07,1.47884468025534,1.27428495421492,1.71624218043671
wealth_by_sex,CHARLS,onset,seslow,0.607505894200491,0.0748604763637851,8.11517537302744,4.85083767071517e-16,1.83584688766075,1.5853090309415,2.12597905465286
wealth_by_sex,CHARLS,onset,sex_factorfemale,0.594620146063857,0.0768425429350956,7.73816330578879,1.00863243703322e-14,1.81234238880303,1.55894414489203,2.10692919628608
wealth_by_sex,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.727767015850453,0.121609604825791,5.98445342284433,2.17117706703047e-09,2.07045215512195,1.63135701074165,2.62773390399707
wealth_by_sex,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.26358044127138,0.270849421959866,4.66525064786225,3.08241077561277e-06,3.5380666761268,2.08072330120656,6.01613669509067
wealth_by_sex,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",1.39353148171767,0.387818172864644,3.59325988110423,0.000326566588160321,4.02905348737862,1.88402013394232,8.61629433343138
wealth_by_sex,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.988945205029545,0.537732661156201,1.83910198592582,0.0659001869855029,2.68839726836082,0.937057332948925,7.71295375255746
wealth_by_sex,CHARLS,onset,period_factor2,-0.0373272587685929,0.0563566363694689,-0.662340075157765,0.507753298925287,0.963360815482087,0.862615465448751,1.07587227215259
wealth_by_sex,CHARLS,onset,period_factor3,-0.540205971835086,0.0567393501659076,-9.52083466334224,1.71793627849357e-21,0.582628235007578,0.521307553195344,0.651161983261818
wealth_by_sex,CHARLS,onset,period_factor4,-0.341267046203186,0.0558735390583121,-6.10784732728357,1.00983880448018e-09,0.710869047976587,0.637131516270325,0.79314049056825
wealth_by_sex,CHARLS,onset,sesmiddle:sex_factorfemale,-0.0307061666846819,0.103555897939989,-0.296517796624932,0.766834677992494,0.969760479153182,0.791618475056627,1.18799070077304
wealth_by_sex,CHARLS,onset,seslow:sex_factorfemale,-0.200993020868652,0.100555488171243,-1.9988269613526,0.0456270795494478,0.81791813989207,0.671607102942602,0.996103347676591
wealth_by_sex,CHARLS,recovery,(Intercept),-0.867676000969388,0.0747584179309099,-11.6063986502667,3.82383826258874e-31,0.419926324491597,0.362691561004693,0.486193054816461
wealth_by_sex,CHARLS,recovery,sesmiddle,-0.094694379758117,0.0727930803319952,-1.30087062295254,0.193302743149152,0.909650899718165,0.788700348108094,1.04914973264936
wealth_by_sex,CHARLS,recovery,seslow,-0.25891422625617,0.071259113902845,-3.63341911056003,0.000279690156810679,0.771889228033248,0.67127117401124,0.887589104703292
wealth_by_sex,CHARLS,recovery,sex_factorfemale,-0.121315968200651,0.074209857819806,-1.63476890759212,0.102097501032931,0.88575404526129,0.765851272341438,1.02442896817042
wealth_by_sex,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.693273112226385,0.112185433910888,-6.17970700881782,6.42206747012416e-10,0.49993703813131,0.40125563433034,0.622887308517498
wealth_by_sex,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-1.05892608304641,0.252031156765124,-4.20156815783401,2.65072414876197e-05,0.346828074953307,0.21163183310546,0.568391398452207
wealth_by_sex,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-1.94398938580915,0.481756061978293,-4.03521520378241,5.4552273588365e-05,0.143131801299073,0.0556745990608321,0.367972340864689
wealth_by_sex,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-2.05584028342713,0.68572985034398,-2.99803236273857,0.00271728816851982,0.127985246499652,0.0333775823957546,0.490755235875327
wealth_by_sex,CHARLS,recovery,origin_factorD2,0.247815180020362,0.0578462153811895,4.28403445907971,1.83534468168358e-05,1.28122311468042,1.14389213150929,1.43504149069154
wealth_by_sex,CHARLS,recovery,period_factor2,-0.169631156439386,0.056238775705985,-3.01626687832277,0.00255907912986822,0.84397605432679,0.755890195935427,0.942326787815443
wealth_by_sex,CHARLS,recovery,period_factor3,-0.746660654905112,0.0539969438714009,-13.8278317506887,1.73161695040717e-43,0.473946584339009,0.42635000379495,0.526856720551703
wealth_by_sex,CHARLS,recovery,period_factor4,-0.445940423973498,0.0534080342142066,-8.34968802979977,6.84435052826546e-17,0.640221912803143,0.576592113748406,0.710873575721793
wealth_by_sex,CHARLS,recovery,sesmiddle:sex_factorfemale,-0.0829332807801875,0.0974240325135016,-0.851261014767523,0.394624375937679,0.920412554379117,0.760419986510726,1.11406760117653
wealth_by_sex,CHARLS,recovery,seslow:sex_factorfemale,0.0275029505227932,0.0940854529368864,0.292318840631425,0.770042854869294,1.02788464789986,0.854785655126318,1.23603717850423
wealth_by_sex,CHARLS,relapse,(Intercept),-1.84980952876709,0.12659661253739,-14.611840646374,2.36053260849476e-48,0.157267118322962,0.12270908478969,0.201557582700564
wealth_by_sex,CHARLS,relapse,sesmiddle,0.214223432705357,0.121571006224629,1.76212601473028,0.0780480088232956,1.2388994345238,0.976231293602132,1.57224196655279
wealth_by_sex,CHARLS,relapse,seslow,0.241366074582203,0.11811599578131,2.04346644995558,0.0410062852832155,1.27298695819063,1.00990748015549,1.60459827020387
wealth_by_sex,CHARLS,relapse,sex_factorfemale,0.558917039703669,0.116324796915014,4.80479703834782,1.54908564841915e-06,1.7487776177129,1.39224901743745,2.19660643887004
wealth_by_sex,CHARLS,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.643492307410117,0.147884866991108,4.35130598892724,1.35329036266286e-05,1.90311555194796,1.42423947302143,2.54300549357943
wealth_by_sex,CHARLS,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",0.37064199216878,0.312927817065328,1.18443286903894,0.236241755418766,1.44866434735703,0.784509553330286,2.67508328279061
wealth_by_sex,CHARLS,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",0.768988314428929,0.425641425138338,1.80665759724632,0.0708156829628013,2.15758235432513,0.936815539632775,4.96913364344913
wealth_by_sex,CHARLS,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.688491779833913,0.587930818006391,1.17104216813895,0.241581827820153,1.99071083771117,0.628856226293765,6.30180552196595
wealth_by_sex,CHARLS,relapse,period_factor3,-0.605513230952811,0.0751375715650713,-8.05872772223439,7.70925979785117e-16,0.545794236248761,0.471053844851614,0.632393412299196
wealth_by_sex,CHARLS,relapse,period_factor4,-0.355668976872451,0.0692318524516417,-5.13736039521527,2.78624306853986e-07,0.700704531254603,0.611791703795984,0.802539225481985
wealth_by_sex,CHARLS,relapse,sesmiddle:sex_factorfemale,-0.0876002015828666,0.148366289165429,-0.590431978016192,0.554901076952921,0.916127069669115,0.684957745278681,1.22531471987231
wealth_by_sex,CHARLS,relapse,seslow:sex_factorfemale,-0.272246162391954,0.144785391888449,-1.88034275309838,0.0600613801335616,0.761666744303345,0.573483834363615,1.01159996954652
wealth_by_sex,CHARLS,death_pre,(Intercept),-24.737490695502,1317.35461788292,-0.0187781561317612,0.985018079632628,1.80569458145051e-11,0,Inf
wealth_by_sex,CHARLS,death_pre,sesmiddle,0.114692404076538,0.196712797117772,0.583044955676532,0.559863037156069,1.12152840694363,0.76271970196823,1.64913265559502
wealth_by_sex,CHARLS,death_pre,seslow,0.231176222218636,0.198131040892366,1.16678447343454,0.243297418794867,1.26008127420273,0.854566789044941,1.85802308017481
wealth_by_sex,CHARLS,death_pre,sex_factorfemale,-0.545948956086264,0.251678982998479,-2.16922744037615,0.0300654208359677,0.579291799946793,0.353723493536836,0.948704272170851
wealth_by_sex,CHARLS,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.81173437793903,0.365194974753467,4.96100577277134,7.01291074656804e-07,6.12105445308729,2.99203042074619,12.5223685420671
wealth_by_sex,CHARLS,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.53685363241148,0.733653697586948,2.09479436615167,0.0361892761574621,4.64993682000602,1.10394749201264,19.5859971479514
wealth_by_sex,CHARLS,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",3.16717344118679,1.02170400843049,3.0998933302142,0.0019359034834571,23.7402861163291,3.2047483990769,175.86440952666
wealth_by_sex,CHARLS,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.01164056272125,1.28132676123313,1.56996686839295,0.116422819382149,7.47557143658862,0.60667631170213,92.1152964531407
wealth_by_sex,CHARLS,death_pre,period_factor2,-0.00363998793995139,1852.16338790662,-1.96526287244315e-06,0.999998431947096,0.996366628785449,0,Inf
wealth_by_sex,CHARLS,death_pre,period_factor3,19.5116821327538,1317.35460292254,0.0148112604529314,0.988182756025058,297725396.908014,0,Inf
wealth_by_sex,CHARLS,death_pre,period_factor4,19.6336892641859,1317.35460286963,0.0149038757077383,0.988108867898933,336358887.073024,0,Inf
wealth_by_sex,CHARLS,death_pre,sesmiddle:sex_factorfemale,0.183646415924446,0.364417755428585,0.503944753483437,0.61430020025511,1.20159088457287,0.588244627336742,2.45445616804942
wealth_by_sex,CHARLS,death_pre,seslow:sex_factorfemale,-0.421352455706455,0.390423818828657,-1.0792181096189,0.280490508450784,0.656158793737518,0.305262523254342,1.41040687867324
wealth_by_sex,CHARLS,death_post,(Intercept),-23.6351827570819,1129.78116173423,-0.020920142375893,0.983309358847097,5.43714042695777e-11,0,Inf
wealth_by_sex,CHARLS,death_post,sesmiddle,0.0334267728309423,0.154571677229086,0.216254189837129,0.828789615349498,1.03399172466714,0.763735530097699,1.39988103806479
wealth_by_sex,CHARLS,death_post,seslow,0.168208181338658,0.138960264120643,1.21047683957065,0.22609597264265,1.18318290161067,0.901086576776734,1.55359297845883
wealth_by_sex,CHARLS,death_post,sex_factorfemale,-0.855005590363941,0.194186363266388,-4.40301561851195,1.06756477183728e-05,0.425280813601103,0.290657156608639,0.622258101357347
wealth_by_sex,CHARLS,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.81406887322991,0.207656152725566,8.73592643136054,2.41667226622697e-18,6.1353607183404,4.0839424714879,9.21723344708139
wealth_by_sex,CHARLS,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",2.02070959600034,0.290039567916007,6.96701353722028,3.23739531255263e-12,7.54367599720621,4.27264059694679,13.3189408890349
wealth_by_sex,CHARLS,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.90610282782777,0.480971017630229,6.04215788748831,1.52066545297226e-09,18.2853981826356,7.12350324544859,46.9369880488453
wealth_by_sex,CHARLS,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.16578573093711,0.449826800535129,4.81471030263341,1.47413586491431e-06,8.72145193996702,3.61150723521228,21.0614901167943
wealth_by_sex,CHARLS,death_post,origin_factorR1,-0.980010043531504,0.113736339737074,-8.61650766849896,6.90271759391399e-18,0.375307329421483,0.300312022624036,0.46903081097697
wealth_by_sex,CHARLS,death_post,origin_factorD2,-0.542444908132937,0.137456878952417,-3.94629146439963,7.93709872130834e-05,0.581325226724651,0.444031225695557,0.761070392509219
wealth_by_sex,CHARLS,death_post,period_factor2,0.185022354391359,1428.8114904017,0.000129493887496202,0.999896678826737,1.20324533764423,0,Inf
wealth_by_sex,CHARLS,death_post,period_factor3,19.2265077280703,1129.78114891916,0.0170179045264333,0.986422332093611,223854697.63535,0,Inf
wealth_by_sex,CHARLS,death_post,period_factor4,19.9801513567106,1129.78114784707,0.0176849750013842,0.985890166986705,475630265.259912,0,Inf
wealth_by_sex,CHARLS,death_post,sesmiddle:sex_factorfemale,-0.112409223235714,0.259435806902105,-0.433283379723024,0.664808911012788,0.893678468666181,0.537458675480012,1.48599555983395
wealth_by_sex,CHARLS,death_post,seslow:sex_factorfemale,0.228379179574848,0.226799740225642,1.00696402627108,0.313952061817815,1.25656169764161,0.805615811110793,1.95992590786283
wealth_by_sex,HRS,onset,(Intercept),-3.35831133178032,0.086010903352115,-39.0451814932338,0,0.0347939648260484,0.0293961165837397,0.041182990442552
wealth_by_sex,HRS,onset,sesmiddle,0.196473443234998,0.0438884312409543,4.4766567790115,7.58209943722526e-06,1.2171029981307,1.11678287397736,1.32643483579134
wealth_by_sex,HRS,onset,seslow,0.658433241064689,0.045114208275506,14.5948087361687,3.03061449816605e-48,1.93176335468427,1.76828366056954,2.11035691937519
wealth_by_sex,HRS,onset,sex_factorfemale,0.104438244771421,0.0400268072913221,2.60920747466321,0.00907522006114901,1.11008683808297,1.02632627444855,1.2006832707729
