rows,persons,events,low_rows,low_events,high_rows,high_events,module,cohort,process,converged,iterations,coefficient_abs_max,warning_n,warnings,formula
13845,6109,2542,4216,1007,4829,652,wealth_by_sex,CHARLS,onset,TRUE,5,3.01104923686463,1,non-integer #successes in a binomial glm!,"event ~ ses * sex_factor + ns(age_model, knots = c(70, 80, 90),      Boundary.knots = c(60, 95)) + period_factor + offset(log(interval_years))"
8884,4857,3088,4110,1304,1798,707,wealth_by_sex,CHARLS,recovery,TRUE,5,2.05584028342713,1,non-integer #successes in a binomial glm!,"event ~ ses * sex_factor + ns(age_model, knots = c(70, 80, 90),      Boundary.knots = c(60, 95)) + origin_factor + period_factor +      offset(log(interval_years))"
3940,2674,1462,1595,625,932,308,wealth_by_sex,CHARLS,relapse,TRUE,5,1.84980952876709,1,non-integer #successes in a binomial glm!,"event ~ ses * sex_factor + ns(age_model, knots = c(70, 80, 90),      Boundary.knots = c(60, 95)) + period_factor + offset(log(interval_years))"
14052,6192,200,4277,63,4908,65,wealth_by_sex,CHARLS,death_pre,TRUE,22,24.737490695502,1,non-integer #successes in a binomial glm!,"event ~ ses * sex_factor + ns(age_model, knots = c(70, 80, 90),      Boundary.knots = c(60, 95)) + period_factor + offset(log(interval_years))"
12993,5440,527,5795,275,2759,104,wealth_by_sex,CHARLS,death_post,TRUE,21,23.6351827570819,1,non-integer #successes in a binomial glm!,"event ~ ses * sex_factor + ns(age_model, knots = c(70, 80, 90),      Boundary.knots = c(60, 95)) + origin_factor + period_factor +      offset(log(interval_years))"
93990,21727,8588,24758,2991,36963,2698,wealth_by_sex,HRS,onset,TRUE,6,3.35831133178032,1,non-integer #successes in a binomial glm!,"event ~ ses * sex_factor + ns(age_model, knots = c(70, 80, 90),      Boundary.knots = c(60, 95)) + period_factor + proxy_factor +      offset(log(interval_years))"
31425,13415,7762,15191,3326,6990,2023,wealth_by_sex,HRS,recovery,TRUE,6,2.4852724408807,1,non-integer #successes in a binomial glm!,"event ~ ses * sex_factor + ns(age_model, knots = c(70, 80, 90),      Boundary.knots = c(60, 95)) + origin_factor + period_factor +      proxy_factor + offset(log(interval_years))"
18980,6877,5201,7912,2381,4984,1234,wealth_by_sex,HRS,relapse,TRUE,5,2.12077026703428,1,non-integer #successes in a binomial glm!,"event ~ ses * sex_factor + ns(age_model, knots = c(70, 80, 90),      Boundary.knots = c(60, 95)) + period_factor + proxy_factor +      offset(log(interval_years))"
101435,23458,3337,26767,1125,39780,1076,wealth_by_sex,HRS,death_pre,TRUE,7,5.09817617805108,1,non-integer #successes in a binomial glm!,"event ~ ses * sex_factor + ns(age_model, knots = c(70, 80, 90),      Boundary.knots = c(60, 95)) + period_factor + proxy_factor +      offset(log(interval_years))"
56577,16251,6287,25845,2843,13498,1480,wealth_by_sex,HRS,death_post,TRUE,8,2.8828684486929,1,non-integer #successes in a binomial glm!,"event ~ ses * sex_factor + ns(age_model, knots = c(70, 80, 90),      Boundary.knots = c(60, 95)) + origin_factor + period_factor +      proxy_factor + offset(log(interval_years))"
