module,stratum,cohort,recovery_relapse_contribution_years,dfle_gap,recovery_relapse_percent,point_threshold_met
wealth_by_sex,male,CHARLS,-1.42655824298313,-4.79113222849421,29.7749712374663,TRUE
wealth_by_sex,male,HRS,-0.98301949455454,-5.75395021481451,17.084254431392,FALSE
wealth_by_sex,male,ELSA,-1.03194285751707,-5.6844895494134,18.1536591552633,FALSE
wealth_by_sex,male,MHAS,-0.36061524345756,-2.600830492065,13.865388173423,FALSE
wealth_by_sex,female,CHARLS,-0.853887533518031,-2.93765414937282,29.0669864490458,TRUE
wealth_by_sex,female,HRS,-1.46430526634627,-5.76551536933793,25.3976474355392,TRUE
wealth_by_sex,female,ELSA,-1.9071542787372,-5.92232732659619,32.2027840334404,TRUE
wealth_by_sex,female,MHAS,0.322363745794616,-0.916739845855933,-35.1641468680391,FALSE
wealth_within_low_education,all,CHARLS,-1.01885872934966,-3.27849613801362,31.0770147793118,TRUE
wealth_within_low_education,all,HRS,-0.808023636000098,-3.68426088644325,21.9317703307421,TRUE
wealth_within_low_education,all,ELSA,-1.28295410918204,-5.33052129944052,24.06807959508,TRUE
wealth_within_low_education,all,MHAS,0.297449746318812,-1.06749600790022,-27.8642490573713,FALSE
