cohort,recovery_phase,ses,intervals,persons,relapses
CHARLS,early_recovery,middle,872,839,357
CHARLS,early_recovery,high,578,551,219
CHARLS,sustained_recovery,high,338,263,83
CHARLS,sustained_recovery,low,559,432,174
CHARLS,early_recovery,low,994,954,432
CHARLS,sustained_recovery,middle,511,393,162
HRS,sustained_recovery,high,2934,1027,583
HRS,early_recovery,low,3060,2508,1205
HRS,sustained_recovery,low,4439,1791,1040
HRS,early_recovery,high,1780,1458,591
HRS,early_recovery,middle,2163,1764,745
HRS,sustained_recovery,middle,3624,1294,745
ELSA,early_recovery,low,995,845,451
ELSA,sustained_recovery,low,1003,472,263
ELSA,early_recovery,middle,1019,850,397
ELSA,sustained_recovery,middle,1324,516,293
ELSA,early_recovery,high,911,760,304
ELSA,sustained_recovery,high,1321,508,266
MHAS,early_recovery,low,438,433,164
MHAS,early_recovery,high,398,396,151
MHAS,sustained_recovery,high,276,194,83
MHAS,sustained_recovery,low,258,199,82
MHAS,early_recovery,middle,458,450,162
MHAS,sustained_recovery,middle,294,211,70
