module,stratum,cohort,ses,age,process,origin_state,destination,annual_hazard,standardization_rows
wealth_by_sex,male,CHARLS,high,60,onset,I0,D1,0.0394721802460426,13845
wealth_by_sex,male,CHARLS,high,61,onset,I0,D1,0.0404729598025123,13845
wealth_by_sex,male,CHARLS,high,62,onset,I0,D1,0.0415085663738862,13845
wealth_by_sex,male,CHARLS,high,63,onset,I0,D1,0.0425900684485002,13845
wealth_by_sex,male,CHARLS,high,64,onset,I0,D1,0.0437296192415752,13845
wealth_by_sex,male,CHARLS,high,65,onset,I0,D1,0.0449405854178996,13845
wealth_by_sex,male,CHARLS,high,66,onset,I0,D1,0.0462377129594227,13845
wealth_by_sex,male,CHARLS,high,67,onset,I0,D1,0.0476373365017182,13845
wealth_by_sex,male,CHARLS,high,68,onset,I0,D1,0.0491576398345362,13845
wealth_by_sex,male,CHARLS,high,69,onset,I0,D1,0.0508189770435011,13845
wealth_by_sex,male,CHARLS,high,70,onset,I0,D1,0.0526442660649142,13845
wealth_by_sex,male,CHARLS,high,71,onset,I0,D1,0.054657389547029,13845
wealth_by_sex,male,CHARLS,high,72,onset,I0,D1,0.0568768637253884,13845
wealth_by_sex,male,CHARLS,high,73,onset,I0,D1,0.0593213608686787,13845
wealth_by_sex,male,CHARLS,high,74,onset,I0,D1,0.0620119010347034,13845
wealth_by_sex,male,CHARLS,high,75,onset,I0,D1,0.0649721480849325,13845
wealth_by_sex,male,CHARLS,high,76,onset,I0,D1,0.068228749473234,13845
wealth_by_sex,male,CHARLS,high,77,onset,I0,D1,0.0718117265290078,13845
wealth_by_sex,male,CHARLS,high,78,onset,I0,D1,0.0757549230891495,13845
wealth_by_sex,male,CHARLS,high,79,onset,I0,D1,0.0800965216676745,13845
wealth_by_sex,male,CHARLS,high,80,onset,I0,D1,0.0848796379241871,13845
wealth_by_sex,male,CHARLS,high,81,onset,I0,D1,0.0901303320632494,13845
wealth_by_sex,male,CHARLS,high,82,onset,I0,D1,0.0957788402706802,13845
wealth_by_sex,male,CHARLS,high,83,onset,I0,D1,0.101705314068895,13845
wealth_by_sex,male,CHARLS,high,84,onset,I0,D1,0.107755017674177,13845
wealth_by_sex,male,CHARLS,high,85,onset,I0,D1,0.113735348771415,13845
wealth_by_sex,male,CHARLS,high,86,onset,I0,D1,0.119415814988343,13845
wealth_by_sex,male,CHARLS,high,87,onset,I0,D1,0.124532002046786,13845
wealth_by_sex,male,CHARLS,high,88,onset,I0,D1,0.128794450687006,13845
wealth_by_sex,male,CHARLS,high,89,onset,I0,D1,0.131903010565925,13845
wealth_by_sex,male,CHARLS,high,90,onset,I0,D1,0.133566626985593,13845
wealth_by_sex,male,CHARLS,high,91,onset,I0,D1,0.133618369435487,13845
wealth_by_sex,male,CHARLS,high,92,onset,I0,D1,0.132305648573454,13845
wealth_by_sex,male,CHARLS,high,93,onset,I0,D1,0.130001574275719,13845
wealth_by_sex,male,CHARLS,high,94,onset,I0,D1,0.127083989968998,13845
wealth_by_sex,male,CHARLS,high,95,onset,I0,D1,0.123913628410899,13845
wealth_by_sex,male,CHARLS,high,96,onset,I0,D1,0.123913628410899,13845
wealth_by_sex,male,CHARLS,high,97,onset,I0,D1,0.123913628410899,13845
wealth_by_sex,male,CHARLS,high,98,onset,I0,D1,0.123913628410899,13845
wealth_by_sex,male,CHARLS,high,99,onset,I0,D1,0.123913628410899,13845
wealth_by_sex,male,CHARLS,middle,60,onset,I0,D1,0.05837322377494,13845
wealth_by_sex,male,CHARLS,middle,61,onset,I0,D1,0.0598532212981335,13845
wealth_by_sex,male,CHARLS,middle,62,onset,I0,D1,0.0613847225670472,13845
wealth_by_sex,male,CHARLS,middle,63,onset,I0,D1,0.0629840961567753,13845
wealth_by_sex,male,CHARLS,middle,64,onset,I0,D1,0.064669314784995,13845
wealth_by_sex,male,CHARLS,middle,65,onset,I0,D1,0.0664601456728214,13845
wealth_by_sex,male,CHARLS,middle,66,onset,I0,D1,0.0683783958372155,13845
wealth_by_sex,male,CHARLS,middle,67,onset,I0,D1,0.0704482216670994,13845
wealth_by_sex,male,CHARLS,middle,68,onset,I0,D1,0.0726965141632118,13845
wealth_by_sex,male,CHARLS,middle,69,onset,I0,D1,0.0751533738567998,13845
wealth_by_sex,male,CHARLS,middle,70,onset,I0,D1,0.077852692816045,13845
wealth_by_sex,male,CHARLS,middle,71,onset,I0,D1,0.0808297897682676,13845
wealth_by_sex,male,CHARLS,middle,72,onset,I0,D1,0.0841120473498984,13845
wealth_by_sex,male,CHARLS,middle,73,onset,I0,D1,0.0877270789461527,13845
wealth_by_sex,male,CHARLS,middle,74,onset,I0,D1,0.0917059699576917,13845
wealth_by_sex,male,CHARLS,middle,75,onset,I0,D1,0.0960837155601645,13845
wealth_by_sex,male,CHARLS,middle,76,onset,I0,D1,0.100899723198966,13845
wealth_by_sex,male,CHARLS,middle,77,onset,I0,D1,0.106198389757374,13845
wealth_by_sex,male,CHARLS,middle,78,onset,I0,D1,0.112029765013541,13845
wealth_by_sex,male,CHARLS,middle,79,onset,I0,D1,0.118450314975197,13845
wealth_by_sex,male,CHARLS,middle,80,onset,I0,D1,0.125523801006183,13845
wealth_by_sex,male,CHARLS,middle,81,onset,I0,D1,0.133288762101384,13845
wealth_by_sex,male,CHARLS,middle,82,onset,I0,D1,0.141642028415321,13845
wealth_by_sex,male,CHARLS,middle,83,onset,I0,D1,0.150406362664484,13845
wealth_by_sex,male,CHARLS,middle,84,onset,I0,D1,0.159352934658276,13845
wealth_by_sex,male,CHARLS,middle,85,onset,I0,D1,0.168196915487592,13845
wealth_by_sex,male,CHARLS,middle,86,onset,I0,D1,0.176597442733867,13845
wealth_by_sex,male,CHARLS,middle,87,onset,I0,D1,0.184163488748436,13845
wealth_by_sex,male,CHARLS,middle,88,onset,I0,D1,0.190466988244887,13845
wealth_by_sex,male,CHARLS,middle,89,onset,I0,D1,0.195064065485082,13845
wealth_by_sex,male,CHARLS,middle,90,onset,I0,D1,0.197524295777294,13845
wealth_by_sex,male,CHARLS,middle,91,onset,I0,D1,0.197600814824063,13845
wealth_by_sex,male,CHARLS,middle,92,onset,I0,D1,0.195659504560585,13845
wealth_by_sex,male,CHARLS,middle,93,onset,I0,D1,0.192252136542466,13845
wealth_by_sex,male,CHARLS,middle,94,onset,I0,D1,0.187937482511276,13845
wealth_by_sex,male,CHARLS,middle,95,onset,I0,D1,0.183249010186595,13845
wealth_by_sex,male,CHARLS,middle,96,onset,I0,D1,0.183249010186595,13845
wealth_by_sex,male,CHARLS,middle,97,onset,I0,D1,0.183249010186595,13845
wealth_by_sex,male,CHARLS,middle,98,onset,I0,D1,0.183249010186595,13845
wealth_by_sex,male,CHARLS,middle,99,onset,I0,D1,0.183249010186595,13845
wealth_by_sex,male,CHARLS,low,60,onset,I0,D1,0.0724648792538813,13845
wealth_by_sex,male,CHARLS,low,61,onset,I0,D1,0.0743021572878606,13845
